layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
1,residual,incentive_sign_q05,objective incentive sign,all,0.7534336419753087,0.7007054417937154,0.8050725773065535,576,144
1,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.48351885874851397,0.3555128003225278,0.6053342013888888,525,144
1,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.607421875,0.5054267170171625,0.700130953035425,576,144
1,residual,literal_J_choice,literal J/P choice control,pure,0.9948558474773308,0.9854464035782873,0.9999859767796698,525,144
1,residual,stimulus_control,strategically inert payoff control,all,0.5379774305555556,0.49165438618149104,0.5826207347275729,576,144
3,router_gate,incentive_sign_q05,objective incentive sign,all,0.8293338477366256,0.7765432300376253,0.8750307353144624,576,144
3,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.7235491192045823,0.6524009560846346,0.79441679154559,525,144
3,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.7838134765625,0.7246915179014943,0.8423442044069751,576,144
3,router_gate,literal_J_choice,literal J/P choice control,pure,0.9947686584515228,0.9853972710959384,0.9997040852585657,525,144
3,router_gate,stimulus_control,strategically inert payoff control,all,0.5798128858024691,0.5285391535035522,0.6289724137127082,576,144
3,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.7140817901234567,0.6563856738683128,0.7725254507359439,576,144
3,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.38598292445693283,0.2853934886389248,0.5053649951639632,525,144
3,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.613494873046875,0.5043563480135003,0.7286994247773537,576,144
3,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.8047401767030924,0.7617572991977923,0.841999125202701,525,144
3,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.4406467013888889,0.3803456963284671,0.5053950414817672,576,144
3,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.5906250000000001,0.5255321679352487,0.6563690560059263,576,144
3,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.34810331784286175,0.2471943590312349,0.44999170705237146,525,144
3,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.6085662841796875,0.5043464512960391,0.7174857454039698,576,144
3,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.4664830853289933,0.4241108520727874,0.5106168567230513,525,144
3,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.42121793016975306,0.354270608447617,0.49275442280619086,576,144
3,residual,incentive_sign_q05,objective incentive sign,all,0.8129243827160494,0.7654980772780652,0.8589587419374023,576,144
3,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.6529774127310062,0.5680808442163771,0.7339853736584414,525,144
3,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.764251708984375,0.6916118096346302,0.8288195822360115,576,144
3,residual,literal_J_choice,literal J/P choice control,pure,0.9962218088816555,0.9881300534448753,1.0,525,144
3,residual,stimulus_control,strategically inert payoff control,all,0.5199773341049383,0.4724534615366709,0.5720791965080565,576,144
6,router_gate,incentive_sign_q05,objective incentive sign,all,0.8034722222222221,0.7552520639311346,0.8481703169228112,576,144
6,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6949637955257755,0.5885360242476912,0.7836950416602235,525,144
6,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.8087158203125,0.7397258947513161,0.8691555215768642,576,144
6,router_gate,literal_J_choice,literal J/P choice control,pure,0.9891159032783075,0.9769509827195664,0.9973881041800087,525,144
