model,layer,depth_frac,auc,lo,hi,auc_gain_over_embedding,row_scope,n_obs,n_games
gptoss,0,0.0,0.33597211715119424,0.2331665748347025,0.45489063383085127,0.0,pure_commitment,525,144
gptoss,1,0.027777777777777776,0.5041608127093915,0.3812278409090909,0.6113697363412944,0.16818869555819727,pure_commitment,525,144
gptoss,2,0.05555555555555555,0.6141791851291473,0.5110257338897869,0.7188405594998283,0.278207067977953,pure_commitment,525,144
gptoss,3,0.08333333333333333,0.6161245001621095,0.5164403817802856,0.7214719379722015,0.2801523830109153,pure_commitment,525,144
gptoss,4,0.1111111111111111,0.6376310385820814,0.5223325058307824,0.7558642206508058,0.30165892143088713,pure_commitment,525,144
gptoss,5,0.1388888888888889,0.652545120501459,0.5624865658736828,0.7476047529214789,0.3165730033502647,pure_commitment,525,144
gptoss,6,0.16666666666666666,0.7116070463633417,0.6255885285407599,0.802001668380832,0.3756349292121475,pure_commitment,525,144
gptoss,7,0.19444444444444445,0.6370366367664541,0.5317868925312897,0.7447485326928583,0.3010645196152598,pure_commitment,525,144
gptoss,8,0.2222222222222222,0.6338484815735437,0.520996243115657,0.7444161392906095,0.29787636442234944,pure_commitment,525,144
gptoss,9,0.25,0.6944774667675347,0.6106003624020141,0.7926116356331454,0.3585053496163405,pure_commitment,525,144
gptoss,10,0.2777777777777778,0.6772398141143413,0.5786236082888833,0.7718546498296646,0.34126769696314707,pure_commitment,525,144
gptoss,11,0.3055555555555556,0.6667026910191289,0.5562145986921414,0.7764811910695522,0.3307305738679347,pure_commitment,525,144
gptoss,12,0.3333333333333333,0.6858856587052847,0.5902824318947549,0.7979523273761052,0.3499135415540905,pure_commitment,525,144
gptoss,13,0.3611111111111111,0.7331676213120069,0.6580599265605539,0.8154819224357155,0.3971955041608126,pure_commitment,525,144
gptoss,14,0.3888888888888889,0.7471630822435966,0.6704965429211783,0.8253618762912857,0.4111909650924024,pure_commitment,525,144
gptoss,15,0.4166666666666667,0.7414352102020966,0.6568765231833682,0.8282727978816994,0.40546309305090233,pure_commitment,525,144
gptoss,16,0.4444444444444444,0.7857992002593754,0.7087620598377194,0.8690596361484518,0.4498270831081812,pure_commitment,525,144
