layer,feature_set,target,scope,objective_baseline_auc,objective_baseline_auc_lo,objective_baseline_auc_hi,augmented_auc,augmented_auc_lo,augmented_auc_hi,logloss_improvement,logloss_improvement_lo,logloss_improvement_hi,objective_baseline_logloss,augmented_logloss,n,n_games
1,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7459202420836486,0.6544752549417621,0.8300125001173904,-0.01567190570608895,-0.051500372106651836,0.01570150795439515,0.24037625143514008,0.256048157141229,525,144
1,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7043661515184264,0.5989615861500778,0.8008688766132488,-0.01053759384491293,-0.025661172577953896,0.0011914869028086434,0.24037625143514008,0.250913845280053,525,144
1,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7077164162974171,0.6003419781732712,0.8126225998962118,-0.008193966415553339,-0.02056447901658105,0.002112225993571674,0.24037625143514008,0.24857021785069341,525,144
1,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.5059440181562737,0.37957651992081265,0.6332550010882504,-0.23545930283493333,-0.3587676025481509,-0.13061522948427157,0.24037625143514008,0.4758355542700734,525,144
3,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7591591916135306,0.6863856473530728,0.8281097648056411,-0.042198663640330925,-0.07573902341575044,-0.009337647350884827,0.24037625143514008,0.282574915075471,525,144
3,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.685777585647898,0.5723278154853001,0.7939645766656969,-0.016854958915363594,-0.0315844787587536,-0.0035114636821144255,0.24037625143514008,0.25723121035050367,525,144
3,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6852372203609641,0.5699124373433584,0.7931460948427472,-0.016845961432673084,-0.031755903907673334,-0.003291402696161708,0.24037625143514008,0.25722221286781316,525,144
3,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6477358694477466,0.5568329483735449,0.7407218174906854,-0.29644937271576777,-0.43109643046587787,-0.1791789047124404,0.24037625143514008,0.5368256241509078,525,144
6,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7398141143412946,0.6445295055821371,0.8319697276390201,-0.032706575169820895,-0.08469170798049946,0.011098895340012897,0.24037625143514008,0.27308282660496097,525,144
6,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6928563709067329,0.5916265985797492,0.7927479943873942,-0.013030967611905198,-0.0319039945619378,0.0006400066816614722,0.24037625143514008,0.2534072190470453,525,144
6,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7096887495947262,0.6084820734624788,0.810336697498887,-0.007242189973284047,-0.024915767019342522,0.005979588175630869,0.24037625143514008,0.24761844140842412,525,144
6,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6753485356100724,0.579996959726922,0.7602926286995084,-0.31748668881890274,-0.4890699533655556,-0.17171500566984693,0.24037625143514008,0.5578629402540428,525,144
9,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7066356857235492,0.6305989204976483,0.7761117840547782,-0.038197967670289656,-0.07607905345029174,-0.007798440788167649,0.24037625143514008,0.27857421910542973,525,144
9,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6359018696638928,0.5168030437905257,0.7469960487109729,-0.031540999875755704,-0.04926255293190773,-0.015779264256824632,0.24037625143514008,0.2719172513108958,525,144
9,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6388468604776829,0.5280269566132338,0.7468994882277462,-0.029506890623836823,-0.046219542242487074,-0.015594744387507195,0.24037625143514008,0.2698831420589769,525,144
9,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6459526640008646,0.5429315511763524,0.7302443272634043,-0.3607117105241855,-0.5290326386326416,-0.22214600304970913,0.24037625143514008,0.6010879619593256,525,144
12,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7001513022803414,0.6052962567756653,0.7851925416761493,-0.033125636624690424,-0.0704411026257171,0.00043695627995311013,0.24037625143514008,0.2735018880598305,525,144
12,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.701177996325516,0.5888287161337563,0.8057989005862288,-0.007579597438470642,-0.021815164863229347,0.006957171118838397,0.24037625143514008,0.24795584887361072,525,144
