model,macro_auc,macro_lo,macro_hi,bal_acc,auc_MP,auc_OD,auc_CO,n,n_games,stim_floor_macro_auc
qwen_instruct,0.8210573131001371,0.7724571591077796,0.8652840512157733,0.5964506172839507,0.8700396825396826,0.7621688528806584,0.8309634038800705,576,144,0.8342737268518517
qwen,0.7635007899764844,0.7127306059322942,0.813696977728553,0.5038580246913581,0.79293430335097,0.687548225308642,0.8100198412698413,576,144,0.8017171223958334
llama31_instruct,0.7819963440623163,0.7214721550499213,0.8387213283718552,0.5092592592592593,0.7743882275132276,0.7229456018518519,0.8486552028218696,576,144,0.8294180410879628
gptoss,0.8145354142171272,0.7780827119224488,0.8522298101642208,0.5779320987654321,0.7844190917107584,0.855147247942387,0.8040399029982362,576,144,0.5667815031828703
