model,embedding_auc,onset_depth_frac,peak_auc,peak_depth_frac,final_auc,collapse,row_scope,n_obs,n_games
gptoss,0.33597211715119424,0.1388888888888889,0.845131308764725,0.5833333333333334,0.8024424510969415,0.04268885766778352,pure_commitment,525,144
llama31_instruct,0.4183724569640062,0.3625,0.8412989045383412,0.75,0.7869953051643193,0.0543035993740219,parsed_generated_choice,576,144
qwen,0.4288652952886529,0.0125,0.8975890289758904,0.7875,0.8267197522671974,0.070869276708693,parsed_generated_choice,576,144
qwen_instruct,0.4408878929198716,0.0125,0.9166767609472471,0.775,0.8658015868209072,0.05087517412634,parsed_generated_choice,576,144
