layer,metric,outcome,spearman_rho,spearman_p,partial_pearson_r_control_objective,partial_pearson_p_control_objective,n_games,objective_control_r2,augmented_r2,delta_r2_over_objective
18,gate_margin,log_median_n_new_tokens,-0.6926168482277094,6.827706194239972e-22,-0.35120494592395113,1.5885897718900696e-05,144,,,
18,gate_margin,mixed_rate,-0.5273363891729727,1.1168683597665895e-11,-0.3668396450343251,6.114442237571266e-06,144,,,
18,gate_margin,pure_canonical_rate,0.4380580779876791,3.9978170988860703e-08,0.28868354051907796,0.0004497538600920811,144,,,
18,topk_binary_margin,log_median_n_new_tokens,-0.6230121609511848,7.55073869375473e-17,-0.1606817425602841,0.0543675970132728,144,,,
18,topk_binary_margin,mixed_rate,-0.37648114823437634,3.3084533676368617e-06,-0.01791162321587955,0.8312620036272347,144,,,
18,topk_binary_margin,pure_canonical_rate,0.33865831157560333,3.298081790853465e-05,0.08828995926036931,0.2926609005642818,144,,,
18,topk_weight_margin,log_median_n_new_tokens,-0.6264877932750519,4.529143367752351e-17,-0.1394776876793834,0.09545374573923103,144,,,
18,topk_weight_margin,mixed_rate,-0.3707462008040087,4.778729019608097e-06,0.003659369883788687,0.9652791566883175,144,,,
18,topk_weight_margin,pure_canonical_rate,0.3422214489226173,2.6886926573756625e-05,0.08513459274194449,0.31031819371200703,144,,,
18,residual_margin,log_median_n_new_tokens,-0.7120387917100672,1.4515129407960782e-23,-0.30294868020056953,0.00022353174379819086,144,,,
18,residual_margin,mixed_rate,-0.5563581635465362,4.4902792818704554e-13,-0.33915004386816044,3.206873624897191e-05,144,,,
18,residual_margin,pure_canonical_rate,0.3786947728783528,2.8653001245280653e-06,0.17693342126320444,0.03388279511308429,144,,,
18,gate_minus_topk_margin,log_median_n_new_tokens,-0.18108927665350885,0.02984633107599323,-0.25406250523366253,0.0021208853110077012,144,,,
18,gate_minus_topk_margin,mixed_rate,-0.293028357275791,0.0003648823411583192,-0.34459933555808997,2.3427662706693874e-05,144,,,
18,gate_minus_topk_margin,pure_canonical_rate,0.1469018038732172,0.07891731511583176,0.231973666885147,0.005146933839774204,144,,,
18,gate_margin,log_median_n_new_tokens,,,,,144,0.5960142655101415,0.6458438512047631,0.04982958569462159
18,topk_binary_margin,log_median_n_new_tokens,,,,,144,0.5960142655101415,0.6064446206407744,0.010430355130632951
18,topk_weight_margin,log_median_n_new_tokens,,,,,144,0.5960142655101415,0.6038734142341418,0.007859148724000287
18,residual_margin,log_median_n_new_tokens,,,,,144,0.5960142655101415,0.6330912289969854,0.03707696348684397
18,gate_minus_topk_margin,log_median_n_new_tokens,,,,,144,0.5960142655101415,0.6220906383559697,0.0260763728458282
