model,layer,depth_frac,angle_deg,null_lo,null_med,null_hi,perm_p,sig,gain_r,dec_cohen_d,belief,row_scope,n_obs,n_games
qwen_instruct,1,0.0125,62.8331151683272,58.520658527218266,76.628891546635,98.56515172486525,0.1144278606965174,False,0.093364191147856,0.8163024071706955,empirical,parsed_generated_choice,576,144
qwen_instruct,2,0.025,64.5838078735691,65.9301673569033,76.12555266572369,88.34793918643079,0.0199004975124378,True,0.1255594776234965,1.0354429229622255,empirical,parsed_generated_choice,576,144
qwen_instruct,3,0.0375,72.71166513348923,66.96040376582818,75.84989915194267,84.41697684455022,0.2686567164179104,False,0.1037154516319188,1.2086063253657546,empirical,parsed_generated_choice,576,144
qwen_instruct,4,0.05,74.08162307826572,67.92287518351756,76.86233816790067,83.15127513960697,0.2587064676616915,False,0.1030114812638353,1.2686558494495512,empirical,parsed_generated_choice,576,144
qwen_instruct,5,0.0625,73.11644958472847,69.60629234364474,76.21737630107359,83.4464225080313,0.2238805970149253,False,0.1074246427181255,1.2143143206381,empirical,parsed_generated_choice,576,144
qwen_instruct,6,0.075,74.43901248863232,70.78387975287824,76.7122240180673,83.00571107322298,0.2537313432835821,False,0.0984662730613126,1.2104089209678246,empirical,parsed_generated_choice,576,144
qwen_instruct,7,0.0875,75.95454495344855,70.57244058086063,76.66751678313956,81.30949247037321,0.4278606965174129,False,0.0929798690671528,1.233749944572306,empirical,parsed_generated_choice,576,144
qwen_instruct,8,0.1,75.97462307036199,71.03017033886783,76.46614175001436,82.40606463436784,0.4577114427860697,False,0.1058304007641023,1.4524078876202788,empirical,parsed_generated_choice,576,144
qwen_instruct,9,0.1125,77.19666817125851,71.86091345149892,76.70119663927593,81.16767249467651,0.6019900497512438,False,0.1110507217207012,1.7338977558071706,empirical,parsed_generated_choice,576,144
qwen_instruct,10,0.125,76.82952047629078,71.17442574663929,76.06664009799789,81.67588215145675,0.6019900497512438,False,0.1173186926347657,1.813949315386611,empirical,parsed_generated_choice,576,144
qwen_instruct,11,0.1375,76.25085951091019,71.2233373577053,76.22869913067157,80.77423072975823,0.5124378109452736,False,0.1218241814804468,1.806801651394736,empirical,parsed_generated_choice,576,144
qwen_instruct,12,0.15,77.4525226489092,71.67490754229432,76.26191520930728,81.1899620749536,0.6716417910447762,False,0.1202880048077553,1.933199316262342,empirical,parsed_generated_choice,576,144
qwen_instruct,13,0.1625,77.39018569240257,71.45063774092414,75.90619247433958,80.12819775311691,0.736318407960199,False,0.1126044676147487,1.7160514974903338,empirical,parsed_generated_choice,576,144
qwen_instruct,14,0.175,76.98142164417766,72.46558127356079,76.639697096687,80.93023890179457,0.5671641791044776,False,0.0907651562048435,1.1823208214150858,empirical,parsed_generated_choice,576,144
qwen_instruct,15,0.1875,77.56889042350303,72.29187123278317,76.35004950227709,81.08946004450539,0.7064676616915423,False,0.0926093397092523,1.2455946159280773,empirical,parsed_generated_choice,576,144
qwen_instruct,16,0.2,77.64266465138827,72.28991959511646,76.3571468046161,81.62928956018906,0.736318407960199,False,0.0760893961752869,0.9831139193970696,empirical,parsed_generated_choice,576,144
qwen_instruct,17,0.2125,77.43606357715852,71.47590343921955,76.33125640667298,81.35080500950097,0.6915422885572139,False,0.095543889003274,1.2604027420895232,empirical,parsed_generated_choice,576,144
qwen_instruct,18,0.225,78.24713521048245,72.39128026355566,76.35568699041949,80.3584021619614,0.8159203980099502,False,0.0932415346129842,1.3208452991269573,empirical,parsed_generated_choice,576,144
qwen_instruct,19,0.2375,78.72344252963177,72.72518383228426,76.5884271019736,80.35159571513375,0.835820895522388,False,0.0918641205608955,1.3256541207006505,empirical,parsed_generated_choice,576,144
qwen_instruct,20,0.25,78.96390124125287,72.18757451740531,76.35201309214597,80.42253057669174,0.8905472636815921,False,0.0859831531144671,1.2420465876252245,empirical,parsed_generated_choice,576,144
qwen_instruct,21,0.2625,79.96695533272226,73.03109042869724,76.65253692002743,81.13976162463497,0.9303482587064676,False,0.0677767533224535,1.0236722570488026,empirical,parsed_generated_choice,576,144
qwen_instruct,22,0.275,80.41786969757379,72.20961609168657,76.47875014584184,80.97624092322032,0.945273631840796,False,0.0582951297415412,0.9001052854539964,empirical,parsed_generated_choice,576,144
qwen_instruct,23,0.2875,80.30156731565337,72.51254722725565,76.68455454292194,81.88481478676644,0.9154228855721394,False,0.0461763294008623,0.6957367615120217,empirical,parsed_generated_choice,576,144
qwen_instruct,24,0.3,79.2743312540607,73.71125805326436,78.16922854851984,82.62299053791727,0.6417910447761194,False,0.022347375553719,0.3170286307280174,empirical,parsed_generated_choice,576,144
qwen_instruct,25,0.3125,79.61383126680413,73.20256243868822,77.70855262961575,81.64602403162878,0.8159203980099502,False,0.0213290239916243,0.3137535624469431,empirical,parsed_generated_choice,576,144
qwen_instruct,26,0.325,79.60663795821358,73.90103996112975,77.7757499425988,82.83366189519987,0.7860696517412935,False,0.0208424902303932,0.3070053278147288,empirical,parsed_generated_choice,576,144
qwen_instruct,27,0.3375,79.5578664400016,73.42732376877586,77.75041224080817,82.16008847455134,0.7960199004975125,False,0.0214092015911271,0.3193793710727111,empirical,parsed_generated_choice,576,144
qwen_instruct,28,0.35,79.5411782623981,73.91223594322803,77.567995496615,82.46525917627808,0.7910447761194029,False,0.0204045618813112,0.3066596043521711,empirical,parsed_generated_choice,576,144
qwen_instruct,29,0.3625,79.09479667933999,73.0587912601835,77.87590032190812,82.30078682921072,0.7313432835820896,False,0.021527689982874,0.3159696495336169,empirical,parsed_generated_choice,576,144
qwen_instruct,30,0.375,79.45586890407739,73.92400359888306,77.5116178555192,82.18464377716323,0.7761194029850746,False,0.022189650180241,0.3344733059785451,empirical,parsed_generated_choice,576,144
