model,layer,participation_ratio,top1_frac,depth_frac,null_spread,null_med
qwen_instruct,4,89.03264160877902,0.07899301970595224,0.05,12.960855080278108,57.18810697482824
qwen_instruct,8,132.04041123461175,0.06477823609927076,0.1,8.92500942455861,56.95778089389989
qwen_instruct,12,172.29157272574676,0.05468718265317993,0.15,7.544054909837371,56.38953918973286
qwen_instruct,16,48.57360468982066,0.13485670781597733,0.2,7.609015644948833,57.542399998571646
qwen_instruct,20,60.858651903527694,0.11894361589319812,0.25,7.243730639555736,56.79204093647947
qwen_instruct,24,7.068304840478927,0.37449257170667505,0.3,6.655179578532277,60.83846637750668
qwen_instruct,28,7.244876527435158,0.3697630966927945,0.35,8.140424624171864,60.28298990064389
qwen_instruct,32,9.987168121109912,0.3137999141250488,0.4,9.558556657549083,59.518524432302286
qwen_instruct,36,11.475634799521417,0.2897546305094209,0.45,14.030306129747238,59.18139337099621
qwen_instruct,40,15.81075850694327,0.24632123125645822,0.5,11.9364462031226,58.71019581136335
qwen_instruct,44,10.214347767594568,0.3098576448240884,0.55,9.225632576724585,58.948127345189945
qwen_instruct,48,11.274825143942236,0.293595576176103,0.6,12.361088302218718,58.70288243398699
qwen_instruct,52,15.222627172303296,0.24787554366977826,0.65,16.153096136500587,59.17217487945486
qwen_instruct,56,13.036282321940309,0.24067582825725148,0.7,25.953939826419813,60.09968739421626
qwen_instruct,60,12.871866332238698,0.19504112922530953,0.75,35.703667809146005,61.20905615739774
qwen_instruct,64,7.103347166881023,0.3306737651909512,0.8,47.74624969532122,61.63464720139162
qwen_instruct,68,6.224598525472349,0.3641600720923775,0.85,54.853574411910586,62.94408549250849
qwen_instruct,72,6.049964325627746,0.3696852016108548,0.9,56.077292474407926,62.079098165165135
qwen_instruct,76,5.780045470905485,0.380288864697446,0.95,57.68290811637412,61.62417245101831
qwen_instruct,80,4.248822609825909,0.4416575245193108,1.0,86.52325035185565,60.67855299443515
qwen,4,111.70511648368952,0.06761042468132625,0.05,11.306935339549334,55.01270805952182
qwen,8,115.79381220324919,0.07319295721127025,0.1,9.662950790830827,55.23023789754205
qwen,12,147.61233583123678,0.06274991018641289,0.15,7.779402189441136,54.54843207917418
qwen,16,52.25612799286612,0.12919585092672023,0.2,7.985699025124049,54.751882180328295
qwen,20,70.7955447571547,0.10804307175709435,0.25,7.3351608604734935,54.68649874522639
qwen,24,10.839999897226994,0.300646491733434,0.3,9.611908901422353,55.56896866444663
qwen,28,11.914270009855702,0.2859584506423927,0.35,9.167843640405088,55.604365980615285
qwen,32,17.44812746304984,0.23360534730288388,0.4,8.825832492453529,55.57308233190645
qwen,36,23.130954654886153,0.1958214781578159,0.45,12.303339762229363,54.91323532187537
qwen,40,34.29685570387596,0.1549407099390488,0.5,11.604215105679899,54.74483428168743
qwen,44,31.038931177335535,0.16652910086214462,0.55,12.474967571706983,54.44406500042601
qwen,48,29.231508844859338,0.17353389536792185,0.6,14.18150882322194,54.15661171275582
qwen,52,25.626348837452316,0.18076295652955793,0.65,20.450719726987685,55.08391024010865
qwen,56,10.38507652137796,0.2931977983513534,0.7,25.538140452246495,58.02953883693801
qwen,60,8.475280671460478,0.3177541540361353,0.75,29.94472478445808,59.85393624979027
qwen,64,7.012284453380837,0.3106596967864149,0.8,42.2767436799115,59.671563490038
qwen,68,6.711081298795143,0.3112190945299685,0.85,47.01358570020238,59.63824070006381
qwen,72,6.310951097001021,0.3257953551507444,0.9,46.687858067491014,61.47019048882211
qwen,76,6.3451995887721,0.31361070449643624,0.95,54.58747372868243,60.33228902139245
qwen,80,2.1804960407000418,0.6465334139390049,1.0,111.53022934956466,48.41357947857938
llama31_instruct,4,198.173647645399,0.0340787239357955,0.05,13.340795246928558,58.74484311937011
llama31_instruct,8,227.14942385675744,0.026954219769180384,0.1,9.50955270094699,58.30864813584592
llama31_instruct,12,152.73382056493435,0.04947935140925963,0.15,13.553680829595962,57.57499690774608
llama31_instruct,16,85.09463686994542,0.0670029517958325,0.2,15.272384635642233,57.63765555187618
llama31_instruct,20,3.2816753863658756,0.5510514175247793,0.25,10.659655947096773,59.749168263713386
llama31_instruct,24,3.9106354050509635,0.5040786696005307,0.3,14.47828708033149,60.15224261729279
llama31_instruct,28,8.495238319055225,0.32921050362299126,0.35,39.77018454565564,62.392166331210944
llama31_instruct,32,11.389034568936742,0.2370364054058545,0.4,47.80768097843785,65.37909317096126
llama31_instruct,36,10.349906613520856,0.2187462209621428,0.45,35.856090881681645,64.08501572782973
llama31_instruct,40,9.3776406717878,0.26503217803943185,0.5,40.88242598682943,62.7886502349183
llama31_instruct,44,8.89848450238663,0.27755059540109467,0.55,43.06358194904333,64.67612404310924
llama31_instruct,48,8.93032124120374,0.2737976201621483,0.6,45.32059165167305,63.44112967294252
llama31_instruct,52,9.368551765678427,0.25956110181005215,0.65,43.81412496895093,64.42913637623451
llama31_instruct,56,8.81557045861097,0.2751525358875805,0.7,49.30735530270983,63.26839951291228
llama31_instruct,60,8.967530290748565,0.2702581253664461,0.75,45.62099169103765,65.3549831364042
llama31_instruct,64,9.303622640415103,0.26472587923761065,0.8,47.989317367426615,63.05708621624782
llama31_instruct,68,8.991714007827925,0.27422424649120075,0.85,49.78151655473929,63.34164539833411
llama31_instruct,72,8.901625913435371,0.285704122106741,0.9,50.120405184849105,62.60870473510265
llama31_instruct,76,7.4045981601524975,0.32913335731954874,0.95,55.076092536672355,63.30061816028928
llama31_instruct,80,5.670227166224152,0.374747560151092,1.0,85.21766113845,65.02111521751848
gptoss,3,1.5225726217209137,0.8023732045721186,0.0833333333333333,74.21778263934848,48.67498610988412
gptoss,6,1.5837651821853116,0.7865528553915491,0.1666666666666666,63.9511477814156,41.36734827382335
gptoss,9,2.1038552027764257,0.63936599240091,0.25,50.01152383261423,41.908591367032834
gptoss,12,2.286733250273347,0.6130679690959773,0.3333333333333333,52.21904440750712,43.860159138866045
gptoss,15,2.3746343489507153,0.6100708863550601,0.4166666666666667,59.447950694141014,42.56968380676735
gptoss,18,3.016525073079325,0.5303762864766649,0.5,60.37866358927042,41.38516706966801
gptoss,21,3.025976389777511,0.5213853448752329,0.5833333333333334,62.643592230775326,41.20560346072647
gptoss,24,3.5071338962351244,0.4418894223347746,0.6666666666666666,56.713550530914006,45.558359365373214
gptoss,27,3.5032224483922016,0.4437812763416369,0.75,66.17065053227239,46.96958865065431
gptoss,30,3.6945151846045095,0.4248242267016488,0.8333333333333334,70.69833707770876,48.6717390720488
gptoss,33,3.8828600674840477,0.40943517152782843,0.9166666666666666,79.66406744358288,48.571789643165474
gptoss,36,3.9287666225597104,0.3476299882360946,1.0,86.47883480061454,48.285567775334144
