p_id,p_paired,is_symmetric,lk_type,emp_class,frac_choose_A,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,frac_choose_act0_canonical
91,14,False,OD2,A2,0.609756098,54,False,False,P1,0.609756098
92,15,False,DD,A1,0.89135255,42,True,True,P1,0.10864744999999998
93,16,False,DD,A1,0.88691796,102,False,False,P1,0.88691796
94,17,False,OD1,A1,0.241685144,30,True,True,P1,0.758314856
95,18,False,OD1,A1,0.838137472,91,True,False,P1,0.161862528
96,19,False,DD,A1,0.871396896,43,True,False,P1,0.12860310399999997
97,20,False,OD1,A1,0.310421286,6,False,False,P1,0.310421286
98,22,False,OD1,A1,0.32594235,138,False,False,P1,0.32594235
99,23,False,DD,A1,0.815964523,126,True,False,P1,0.184035477
100,24,False,DD,A1,0.88691796,106,False,False,P1,0.88691796
101,25,False,OD2,A2,0.498891353,142,False,False,P1,0.498891353
102,26,False,OD2,A2,0.505543237,10,False,False,P1,0.505543237
103,28,False,OD1,A1,0.838137472,58,False,False,P1,0.838137472
104,29,False,OD2,A2,0.463414634,34,True,True,P1,0.536585366
105,30,False,DD,A1,0.855875831,130,True,False,P1,0.14412416900000002
106,31,False,DD,A1,0.88248337,112,False,True,P1,0.88248337
107,32,False,OD2,A2,0.682926829,88,True,False,P1,0.317073171
108,33,False,OD1,A1,0.279379157,16,True,True,P1,0.7206208430000001
109,34,False,OD2,A2,0.505543237,22,True,False,P1,0.49445676299999997
110,35,False,OD2,A2,0.636363636,52,False,False,P1,0.636363636
111,37,False,DD,A1,0.840354767,100,False,False,P1,0.840354767
112,38,False,OD1,A1,0.310421286,28,True,False,P1,0.689578714
113,39,False,OD1,A1,0.862527716,94,True,False,P1,0.137472284
114,40,False,OD1,A1,0.195121951,4,False,False,P1,0.195121951
115,41,False,OD1,A1,0.246119734,136,False,True,P1,0.246119734
116,42,False,DD,A1,0.880266075,124,True,False,P1,0.11973392500000002
117,44,False,OD2,A2,0.55210643,141,False,False,P1,0.55210643
118,45,False,OD2,A2,0.494456763,9,False,False,P1,0.494456763
119,46,False,OD1,A1,0.858093126,57,False,False,P1,0.858093126
120,47,False,OD2,A2,0.321507761,33,True,True,P1,0.678492239
121,48,False,DD,A1,0.747228381,129,True,True,P1,0.252771619
122,49,False,OD2,A2,0.66962306,95,True,True,P1,0.33037693999999995
123,50,False,OD1,A1,0.22616408,23,True,True,P1,0.77383592
124,51,False,OD2,A2,0.323725055,21,True,False,P1,0.6762749450000001
125,52,False,OD2,A2,0.742793792,59,False,False,P1,0.742793792
126,53,False,OD1,A1,0.210643016,35,True,True,P1,0.789356984
127,54,False,OD1,B1,0.707317073,93,True,False,P1,0.292682927
128,55,False,OD1,B1,0.388026608,11,False,False,P1,0.388026608
129,56,False,OD1,B1,0.403547672,143,False,False,P1,0.403547672
130,58,False,CO2,A2,0.501108647,137,False,False,P1,0.501108647
131,59,False,CO2,A2,0.487804878,5,False,False,P1,0.487804878
