game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap
17,17,94,False,63,30,DlCh,ChDl,Bully,,"1,2,3,4","4,3,1,2","2,3,1,4","4,2,3,1",1,1,1,-1,P17,P94,OD1,OD1,A1,A1,O2,O2,0.849223947,0.241685144,0.1507760529999999,0.758314856,0.6118,0.7978,0,,,,,,
18,18,95,False,80,91,HaHr,HrHa,Harmony-Hero,,"3,4,1,2","4,1,2,3","3,1,2,4","2,4,1,3",1,1,0,0,P18,P95,OD1,OD1,A1,A1,O1,O1,0.902439024,0.838137472,0.902439024,0.161862528,0.4612,0.6387,12,0.8614066664246839,0.18497414873119053,0.05736599837390074,0.08868197910793724,268;471;478;651;673;172;440;444;477;593;660;719,0.047093538633351764
19,19,96,False,76,43,HaCm,CmHa,Harmony-Compromise,,"3,4,1,2","4,1,3,2","2,1,3,4","2,4,1,3",1,1,0,0,P19,P96,DD,DD,A1,A1,D3,D3,0.900221729,0.871396896,0.900221729,0.1286031039999999,0.4683,0.5536,4,0.9476422022586083,0.1217614510297437,0.022319524732975243,0.08339026828030581,13;191;315;378,0.04791147565495977
20,20,97,False,61,6,DlAs,AsDl,,AssuranceLock,"1,2,3,4","2,4,3,1","1,4,3,2","4,2,3,1",1,1,1,-1,P20,P97,OD1,OD1,A1,A1,O3,O3,0.873614191,0.310421286,0.1263858089999999,0.310421286,0.5474,0.8937,0,,,,,,
21,21,21,True,66,66,DlDl,DlDl,Deadlock,Deadlock,"1,2,3,4","4,2,3,1","1,2,3,4","4,2,3,1",1,1,1,0,P21,P21,DD,DD,A1,A1,D2,D2,0.862527716,0.862527716,0.137472284,0.137472284,0.5776,0.5776,3,0.13746249992939877,0.10668004728205127,0.06548647530302039,0.04203584046507041,3;93;149,0.03079223827236707
22,22,98,False,72,138,DlSh,ShDl,,Hamlet,"1,2,3,4","3,4,2,1","1,4,2,3","4,2,3,1",1,1,1,-1,P22,P98,OD1,OD1,A1,A1,O3,O3,0.840354767,0.32594235,0.159645233,0.32594235,0.6335,0.9107,0,,,,,,
23,23,99,False,71,126,DlPd,PdDl,,TotalConflict,"1,2,3,4","4,3,2,1","1,3,2,4","4,2,3,1",1,1,1,0,P23,P99,DD,DD,A1,A1,D2,D2,0.858093126,0.815964523,0.141906874,0.184035477,0.5892,0.6888,3,0.2774774774774775,0.2869554046024634,0.1335401366752273,0.04141713584451242,45;160;165,0.17021133929601673
24,24,100,False,117,106,PcNc,NcPc,,Concord-Peace,"3,4,2,1","3,4,1,2","2,4,1,3","1,4,2,3",1,1,0,1,P24,P100,DD,DD,A1,A1,D1,D1,0.935698448,0.88691796,0.935698448,0.88691796,0.3443,0.5091,5,0.8861978877633099,0.883267899814818,0.04044868991121268,0.051249379261669295,30;64;98;112;344,0.04963495142640556
25,25,101,False,120,142,PcSh,ShPc,PureAligned,,"3,4,2,1","3,4,2,1","1,4,2,3","1,4,2,3",1,1,0,-1,P25,P101,OD2,OD2,A2,A2,O4,O4,0.922394678,0.498891353,0.922394678,0.498891353,0.3937,1.0,0,,,,,,
26,26,102,False,109,10,PcAs,AsPc,Privileged,,"3,4,2,1","2,4,3,1","1,4,3,2","1,4,2,3",1,1,0,-1,P26,P102,OD2,OD2,A2,A2,O4,O4,0.909090909,0.505543237,0.909090909,0.505543237,0.4395,0.9999,0,,,,,,
27,27,27,True,118,118,PcPc,PcPc,Peace,Peace,"3,4,2,1","1,4,2,3","3,4,2,1","1,4,2,3",1,1,0,1,P27,P27,DD,DD,A1,A1,D1,D1,0.904656319,0.904656319,0.904656319,0.904656319,0.4541,0.4541,1,0.8918918918918919,0.902439024390244,0.0,0.0,12,0.012955577748007138
28,28,103,False,113,58,PcCo,CoPc,Peace-Coordination,,"3,4,2,1","1,4,3,2","2,4,3,1","1,4,2,3",1,1,0,1,P28,P103,OD1,OD1,A1,A1,O4,O4,0.902439024,0.838137472,0.902439024,0.838137472,0.4612,0.6387,12,0.9205310430400546,0.8472239691436495,0.03790408572886094,0.06166413972813144,196;447;554;657;677;23;132;226;244;313;426;439,0.02024563121483868
29,29,104,False,111,34,PcCh,ChPc,SamaritanType,,"3,4,2,1","4,3,1,2","2,3,1,4","1,4,2,3",1,1,0,-1,P29,P104,OD2,OD2,A2,A2,O1,O1,0.911308204,0.463414634,0.911308204,0.536585366,0.4321,0.9961,0,,,,,,
30,30,105,False,119,130,PcPd,PdPc,ImpureAltruist,,"3,4,2,1","4,3,2,1","1,3,2,4","1,4,2,3",1,1,0,0,P30,P105,DD,DD,A1,A1,D3,D3,0.875831486,0.855875831,0.875831486,0.144124169,0.5412,0.5949,5,0.9051513388439083,0.26211213512903225,0.024471605837165417,0.1227961496115667,151;185;508;18;77,0.12157637073894786
