game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap,game_code_x,canonical_action_p1_x,complexity_score_x,num_pure_ne_x,iesds_depth_x,dominance_profile_x,nagel_pcanon_x,nagel_pcanon_y,grif_rank_clean,payoff_scale_llm,payoff_scale_mgn,payoff_scale_griffiths
12,12,89,False,62,18,DlBa,BaDl,Deadlock-Battle,,"1,2,3,4","4,2,1,3","3,2,1,4","4,2,3,1",1,1,1,-1,P12,P89,OD1,OD1,A1,A1,O2,O2,0.88248337,0.22616408,0.11751663,0.77383592,0.5222,0.7713,0,,,,,,,DlBa,1,0.0384900179459749,1,1,1,0.88248337,0.77383592,False,rank_1to4_pm1,rank_1to4,cardinal
13,13,90,False,74,19,HaBa,BaHa,Harmony-Battle,,"3,4,1,2","4,2,1,3","3,2,1,4","2,4,1,3",1,1,0,-1,P13,P90,OD2,OD2,A2,A2,O1,O1,0.909090909,0.496674058,0.909090909,0.503325942,0.4395,1.0,0,,,,,,,HaBa,0,-0.4233901974057255,1,1,1,0.909090909,0.496674058,False,rank_1to4_pm1,rank_1to4,cardinal
14,14,91,False,65,54,DlCo,CoDl,,Coordination-Lock,"1,2,3,4","1,4,3,2","2,4,3,1","4,2,3,1",1,1,1,1,P14,P91,OD2,OD2,A2,A2,O3,O3,0.924611973,0.609756098,0.075388027,0.609756098,0.3857,0.965,16,0.1558796635368056,0.720288417022422,0.1216764806429673,0.1007659620323527,19;116;178;410;548;600;645;708;517;602;640;661;666;742;744;832,0.1367344035012684,DlCo,1,-0.3079201435678004,1,1,1,0.924611973,0.39024390200000003,True,rank_1to4_pm1,rank_1to4,cardinal
15,15,92,False,64,42,DlCm,CmDl,AsymLock,,"1,2,3,4","4,1,3,2","2,1,3,4","4,2,3,1",1,1,1,0,P15,P92,DD,DD,A1,A1,D2,D2,0.937915743,0.89135255,0.0620842569999999,0.1086474499999999,0.3357,0.4958,5,0.0779045902129198,0.1671103196519368,0.0334266796229162,0.0625965790966179,300;504;240;263;360,0.0605655848721631,DlCm,1,0.0384900179459749,1,1,0,0.9379157430000001,0.8913525500000001,True,rank_1to4_pm1,rank_1to4,cardinal
16,16,93,False,69,102,DlNc,NcDl,,BlackmailType,"1,2,3,4","3,4,1,2","2,4,1,3","4,2,3,1",1,1,1,1,P16,P93,DD,DD,A1,A1,D3,D3,0.840354767,0.88691796,0.159645233,0.88691796,0.6335,0.5091,5,0.2203573648330863,0.9106798917391942,0.1189614531410237,0.0578964623531179,212;340;386;38;78,0.0651965670238562,DlNc,1,0.1539600717839002,1,1,0,0.840354767,0.88691796,True,rank_1to4_pm1,rank_1to4,cardinal
17,17,94,False,63,30,DlCh,ChDl,Bully,,"1,2,3,4","4,3,1,2","2,3,1,4","4,2,3,1",1,1,1,-1,P17,P94,OD1,OD1,A1,A1,O2,O2,0.849223947,0.241685144,0.1507760529999999,0.758314856,0.6118,0.7978,0,,,,,,,DlCh,1,0.2694301256218253,1,1,1,0.849223947,0.758314856,False,rank_1to4_pm1,rank_1to4,cardinal
18,18,95,False,80,91,HaHr,HrHa,Harmony-Hero,,"3,4,1,2","4,1,2,3","3,1,2,4","2,4,1,3",1,1,0,0,P18,P95,OD1,OD1,A1,A1,O1,O1,0.902439024,0.838137472,0.902439024,0.161862528,0.4612,0.6387,12,0.8614066664246839,0.1849741487311905,0.0573659983739007,0.0886819791079372,268;471;478;651;673;172;440;444;477;593;660;719,0.0470935386333517,HaHr,0,-0.0769800358919501,1,1,1,0.902439024,0.838137472,True,rank_1to4_pm1,rank_1to4,cardinal
19,19,96,False,76,43,HaCm,CmHa,Harmony-Compromise,,"3,4,1,2","4,1,3,2","2,1,3,4","2,4,1,3",1,1,0,0,P19,P96,DD,DD,A1,A1,D3,D3,0.900221729,0.871396896,0.900221729,0.1286031039999999,0.4683,0.5536,4,0.9476422022586084,0.1217614510297437,0.0223195247329752,0.0833902682803058,13;191;315;378,0.0479114756549597,HaCm,0,0.0384900179459749,1,1,0,0.900221729,0.871396896,True,rank_1to4_pm1,rank_1to4,cardinal
20,20,97,False,61,6,DlAs,AsDl,,AssuranceLock,"1,2,3,4","2,4,3,1","1,4,3,2","4,2,3,1",1,1,1,-1,P20,P97,OD1,OD1,A1,A1,O3,O3,0.873614191,0.310421286,0.1263858089999999,0.310421286,0.5474,0.8937,0,,,,,,,DlAs,1,0.0384900179459749,1,1,1,0.8736141910000002,0.689578714,False,rank_1to4_pm1,rank_1to4,cardinal
21,21,21,True,66,66,DlDl,DlDl,Deadlock,Deadlock,"1,2,3,4","4,2,3,1","1,2,3,4","4,2,3,1",1,1,1,0,P21,P21,DD,DD,A1,A1,D2,D2,0.862527716,0.862527716,0.137472284,0.137472284,0.5776,0.5776,3,0.1374624999293987,0.1066800472820512,0.0654864753030203,0.0420358404650704,3;93;149,0.030792238272367,DlDl,1,0.2694301256218253,1,1,0,0.862527716,0.862527716,True,rank_1to4_pm1,rank_1to4,cardinal
