unique_id,game_id,role,topology_raw,up_choice,has_ties,cardinal_p1,cardinal_p2,ordinal_p1,ordinal_p2,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,up_choice_canonical
41,21,rowplayer,"('chicken', 'safecoord')",0.22,True,"19,5,31,5","41,6,34,35",,,,,,,
42,21,colplayer,"('safecoord', 'chicken')",0.9047619047619048,True,"41,34,6,35","19,31,5,5",,,,,,,
43,22,rowplayer,"('harmony', 'dilemma')",0.8947368421052632,True,"14,9,9,2","19,25,5,8",,,,,,,
44,22,colplayer,"('dilemma', 'harmony')",0.3055555555555556,True,"19,5,25,8","14,9,9,2",,,,,,,
45,23,rowplayer,"('safecoord', 'peace')",0.8275862068965517,False,"17,7,1,12","41,5,25,9","4,2,1,3","4,1,3,2",58.0,False,True,P1,0.8275862068965517
46,23,colplayer,"('peace', 'safecoord')",0.8620689655172413,False,"41,25,5,9","17,1,7,12","4,3,1,2","4,1,2,3",113.0,False,True,P1,0.8620689655172413
47,24,rowplayer,"('dilemma', 'assurance')",0.4042553191489361,False,"27,8,42,21","25,10,5,13","3,1,4,2","4,2,1,3",121.0,False,True,P1,0.4042553191489361
48,24,colplayer,"('assurance', 'dilemma')",0.3809523809523809,False,"25,5,10,13","27,42,8,21","4,1,2,3","3,4,1,2",11.0,False,True,P1,0.3809523809523809
49,25,rowplayer,"('safecoord', 'concord')",0.9142857142857144,False,"18,7,3,9","38,20,14,2","4,2,1,3","4,3,2,1",57.0,False,True,P1,0.9142857142857144
50,25,colplayer,"('concord', 'safecoord')",0.9032258064516128,False,"38,14,20,2","18,3,7,9","4,2,3,1","4,1,2,3",101.0,False,True,P1,0.9032258064516128
51,26,rowplayer,"('chicken', 'dilemma')",0.7575757575757576,False,"14,11,27,7","15,21,1,3","3,2,4,1","3,4,1,2",35.0,False,True,P1,0.7575757575757576
52,26,colplayer,"('dilemma', 'chicken')",0.2727272727272727,False,"15,1,21,3","14,27,11,7","3,1,4,2","3,4,2,1",123.0,False,True,P1,0.2727272727272727
