unique_id,game_id,role,topology_raw,up_choice,has_ties,cardinal_p1,cardinal_p2,ordinal_p1,ordinal_p2,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,up_choice_canonical
623,312,rowplayer,"('concord', 'assurance')",0.9230769230769232,False,"25,4,14,1","39,12,4,24","4,2,3,1","4,2,1,3",97.0,False,True,P1,0.9230769230769232
624,312,colplayer,"('assurance', 'concord')",0.75,False,"39,4,12,24","25,14,4,1","4,1,2,3","4,3,2,1",9.0,False,True,P1,0.75
625,313,rowplayer,"('safecoord', 'peace')",0.7727272727272727,False,"16,6,1,14","19,2,17,16","4,2,1,3","4,1,3,2",58.0,False,True,P1,0.7727272727272727
626,313,colplayer,"('peace', 'safecoord')",1.0,False,"19,17,2,16","16,1,6,14","4,3,1,2","4,1,2,3",113.0,False,True,P1,1.0
627,314,rowplayer,"('deadlock', 'hero')",0.0277777777777777,False,"7,3,17,13","5,38,29,11","2,1,4,3","1,4,3,2",68.0,False,True,P1,0.0277777777777777
628,314,colplayer,"('hero', 'deadlock')",0.5277777777777778,False,"5,29,38,11","7,17,3,13","1,3,4,2","2,4,1,3",90.0,False,True,P1,0.5277777777777778
629,315,rowplayer,"('harmony', 'compromise')",0.9736842105263158,False,"18,12,8,1","5,13,9,10","4,3,2,1","1,4,2,3",76.0,False,True,P1,0.9736842105263158
630,315,colplayer,"('compromise', 'harmony')",0.1891891891891892,False,"5,9,13,10","18,8,12,1","1,2,4,3","4,2,3,1",43.0,False,True,P1,0.1891891891891892
631,316,rowplayer,"('concord', 'hero')",0.5952380952380952,False,"20,9,15,5","5,30,28,8","4,2,3,1","1,4,3,2",104.0,False,True,P1,0.5952380952380952
632,316,colplayer,"('hero', 'concord')",0.391304348,False,"5,28,30,8","20,15,9,5","1,3,4,2","4,3,2,1",93.0,False,True,P1,0.391304348
633,317,rowplayer,"('concord', 'staghunt')",0.9047619047619048,False,"37,5,34,1","11,8,3,7","4,2,3,1","4,3,1,2",108.0,False,True,P1,0.9047619047619048
634,317,colplayer,"('staghunt', 'concord')",0.5,False,"11,3,8,7","37,34,5,1","4,1,3,2","4,3,2,1",141.0,False,True,P1,0.5
635,318,rowplayer,"('harmony', 'staghunt')",0.8717948717948718,True,"18,13,2,1","40,31,5,5",,,,,,,
636,318,colplayer,"('staghunt', 'harmony')",0.9166666666666666,True,"40,5,31,5","18,2,13,1",,,,,,,
637,319,rowplayer,"('chicken', 'deadlock')",0.918918919,False,"31,30,35,4","4,16,1,6","3,2,4,1","2,4,1,3",30.0,False,True,P1,0.918918919
638,319,colplayer,"('deadlock', 'chicken')",0.2272727272727272,False,"4,1,16,6","31,35,30,4","2,1,4,3","3,4,2,1",63.0,False,True,P1,0.2272727272727272
639,320,rowplayer,"('deadlock', 'staghunt')",0.2666666666666666,False,"17,4,40,22","15,11,1,6","2,1,4,3","4,3,1,2",72.0,False,True,P1,0.2666666666666666
640,320,colplayer,"('staghunt', 'deadlock')",0.3939393939393939,False,"15,1,11,6","17,40,4,22","4,1,3,2","2,4,1,3",138.0,False,True,P1,0.3939393939393939
641,321,rowplayer,"('compromise', 'compromise')",0.1111111111111111,True,"3,5,22,8","1,18,1,14",,,,,,,
642,321,colplayer,"('compromise', 'compromise')",0.1351351351351351,True,"1,1,18,14","3,22,5,8",,,,,,,
643,322,rowplayer,"('peace', 'deadlock')",0.9130434782608696,False,"19,14,5,13","14,29,12,27","4,3,1,2","2,4,1,3",114.0,False,True,P1,0.9130434782608696
644,322,colplayer,"('deadlock', 'peace')",0.131578947368421,False,"14,12,29,27","19,5,14,13","2,1,4,3","4,1,3,2",70.0,False,True,P1,0.131578947368421
645,323,rowplayer,"('staghunt', 'safecoord')",0.9047619047619048,False,"37,7,9,8","33,2,6,29","4,1,3,2","4,1,2,3",137.0,False,True,P1,0.9047619047619048
646,323,colplayer,"('safecoord', 'staghunt')",0.902439024390244,False,"33,6,2,29","37,9,7,8","4,2,1,3","4,3,1,2",60.0,False,True,P1,0.902439024390244
647,324,rowplayer,"('harmony', 'harmony')",0.9230769230769232,False,"40,25,21,6","17,10,13,8","4,3,2,1","4,2,3,1",79.0,False,True,P1,0.9230769230769232
648,324,colplayer,"('harmony', 'harmony')",0.951219512195122,False,"17,13,10,8","40,21,25,6","4,3,2,1","4,2,3,1",79.0,False,True,P1,0.951219512195122
649,325,rowplayer,"('safecoord', 'dilemma')",0.71875,False,"37,6,4,35","19,31,2,10","4,2,1,3","3,4,1,2",59.0,False,True,P1,0.71875
650,325,colplayer,"('dilemma', 'safecoord')",0.3076923076923077,False,"19,2,31,10","37,4,6,35","3,1,4,2","4,1,2,3",125.0,False,True,P1,0.3076923076923077
651,326,rowplayer,"('hero', 'dilemma')",0.34375,True,"3,10,26,9","21,21,2,19",,,,,,,
652,326,colplayer,"('dilemma', 'hero')",0.078947368,True,"21,2,21,19","3,26,10,9",,,,,,,
653,327,rowplayer,"('hero', 'deadlock')",0.3333333333333333,False,"1,7,14,5","2,15,1,3","1,3,4,2","2,4,1,3",90.0,False,True,P1,0.3333333333333333
654,327,colplayer,"('deadlock', 'hero')",0.057142857,False,"2,1,15,3","1,14,7,5","2,1,4,3","1,4,3,2",68.0,False,True,P1,0.057142857
655,328,rowplayer,"('dilemma', 'leader')",0.1666666666666666,False,"10,1,14,6","3,13,6,2","3,1,4,2","2,4,3,1",122.0,False,True,P1,0.1666666666666666
656,328,colplayer,"('leader', 'dilemma')",0.5714285714285714,False,"3,6,13,2","10,14,1,6","2,3,4,1","3,4,1,2",23.0,False,True,P1,0.5714285714285714
657,329,rowplayer,"('assurance', 'harmony')",0.5476190476190477,False,"14,1,6,13","29,17,20,1","4,1,2,3","4,2,3,1",7.0,False,True,P1,0.5476190476190477
658,329,colplayer,"('harmony', 'assurance')",0.918918919,False,"29,20,17,1","14,6,1,13","4,3,2,1","4,2,1,3",73.0,False,True,P1,0.918918919
659,330,rowplayer,"('assurance', 'compromise')",0.0454545454545454,False,"38,2,23,35","1,28,11,17","4,1,2,3","1,4,2,3",4.0,False,True,P1,0.0454545454545454
660,330,colplayer,"('compromise', 'assurance')",0.1764705882352941,False,"1,11,28,17","38,23,2,35","1,2,4,3","4,2,1,3",37.0,False,True,P1,0.1764705882352941
661,331,rowplayer,"('peace', 'assurance')",0.926829268,False,"8,5,1,4","36,13,12,19","4,3,1,2","4,2,1,3",109.0,False,True,P1,0.926829268
662,331,colplayer,"('assurance', 'peace')",0.8,False,"36,12,13,19","8,1,5,4","4,1,2,3","4,1,3,2",10.0,False,True,P1,0.8
663,332,rowplayer,"('leader', 'leader')",0.4,False,"12,17,37,10","5,29,17,1","2,3,4,1","2,4,3,1",14.0,False,True,P1,0.4
664,332,colplayer,"('leader', 'leader')",0.6808510638297872,False,"5,17,29,1","12,37,17,10","2,3,4,1","2,4,3,1",14.0,False,True,P1,0.6808510638297872
665,333,rowplayer,"('peace', 'chicken')",0.9047619047619048,False,"39,5,1,3","6,15,2,1","4,3,1,2","3,4,2,1",111.0,False,True,P1,0.9047619047619048
666,333,colplayer,"('chicken', 'peace')",0.4,False,"6,2,15,1","39,1,5,3","3,2,4,1","4,1,3,2",34.0,False,True,P1,0.4
667,334,rowplayer,"('compromise', 'safecoord')",0.085714286,False,"4,10,28,14","39,5,7,25","1,2,4,3","4,1,2,3",41.0,False,True,P1,0.085714286
668,334,colplayer,"('safecoord', 'compromise')",0.675,False,"39,7,5,25","4,28,10,14","4,2,1,3","1,4,2,3",52.0,False,True,P1,0.675
669,335,rowplayer,"('concord', 'chicken')",0.8260869565217391,True,"15,6,10,2","5,19,5,4",,,,,,,
670,335,colplayer,"('chicken', 'concord')",0.35,True,"5,5,19,4","15,10,6,2",,,,,,,
671,336,rowplayer,"('peace', 'hero')",0.935483870967742,False,"22,17,3,4","7,29,24,21","4,3,1,2","1,4,3,2",116.0,False,True,P1,0.935483870967742
672,336,colplayer,"('hero', 'peace')",0.095238095,False,"7,24,29,21","22,3,17,4","1,3,4,2","4,1,3,2",94.0,False,True,P1,0.095238095
673,337,rowplayer,"('deadlock', 'chicken')",0.1777777777777777,False,"7,1,14,13","21,23,7,6","2,1,4,3","3,4,2,1",63.0,False,True,P1,0.1777777777777777
674,337,colplayer,"('chicken', 'deadlock')",0.7333333333333333,False,"21,7,23,6","7,14,1,13","3,2,4,1","2,4,1,3",30.0,False,True,P1,0.7333333333333333
675,338,rowplayer,"('safecoord', 'safecoord')",0.9583333333333334,False,"21,3,1,17","39,6,8,9","4,2,1,3","4,1,2,3",53.0,False,True,P1,0.9583333333333334
676,338,colplayer,"('safecoord', 'safecoord')",0.8333333333333334,False,"39,8,6,9","21,1,3,17","4,2,1,3","4,1,2,3",53.0,False,True,P1,0.8333333333333334
677,339,rowplayer,"('staghunt', 'deadlock')",0.8611111111111112,False,"26,5,15,6","6,38,4,16","4,1,3,2","2,4,1,3",138.0,False,True,P1,0.8611111111111112
678,339,colplayer,"('deadlock', 'staghunt')",0.073170732,False,"6,4,38,16","26,15,5,6","2,1,4,3","4,3,1,2",72.0,False,True,P1,0.073170732
679,340,rowplayer,"('deadlock', 'concord')",0.2272727272727272,False,"10,4,30,20","26,20,8,2","2,1,4,3","4,3,2,1",69.0,False,True,P1,0.2272727272727272
680,340,colplayer,"('concord', 'deadlock')",0.96875,False,"26,8,20,2","10,30,4,20","4,2,3,1","2,4,1,3",102.0,False,True,P1,0.96875
681,341,rowplayer,"('compromise', 'leader')",0.2553191489361702,False,"4,6,14,13","12,24,15,5","1,2,4,3","2,4,3,1",38.0,False,True,P1,0.2553191489361702
682,341,colplayer,"('leader', 'compromise')",0.6,False,"12,15,24,5","4,14,6,13","2,3,4,1","1,4,2,3",16.0,False,True,P1,0.6
683,342,rowplayer,"('deadlock', 'harmony')",0.0294117647058823,False,"5,3,14,13","32,8,18,3","2,1,4,3","4,2,3,1",67.0,False,True,P1,0.0294117647058823
684,342,colplayer,"('harmony', 'deadlock')",0.8125,False,"32,18,8,3","5,14,3,13","4,3,2,1","2,4,1,3",78.0,False,True,P1,0.8125
685,343,rowplayer,"('safecoord', 'harmony')",0.9772727272727272,False,"27,4,2,8","23,11,21,9","4,2,1,3","4,2,3,1",55.0,False,True,P1,0.9772727272727272
686,343,colplayer,"('harmony', 'safecoord')",0.8648648648648649,False,"23,21,11,9","27,2,4,8","4,3,2,1","4,1,2,3",77.0,False,True,P1,0.8648648648648649
687,344,rowplayer,"('concord', 'peace')",0.8780487804878049,False,"35,5,6,1","25,4,13,5","4,2,3,1","4,1,3,2",106.0,False,True,P1,0.8780487804878049
688,344,colplayer,"('peace', 'concord')",0.8484848484848485,False,"25,13,4,5","35,6,5,1","4,3,1,2","4,3,2,1",117.0,False,True,P1,0.8484848484848485
689,345,rowplayer,"('deadlock', 'leader')",0.2,False,"18,1,30,22","5,21,9,1","2,1,4,3","2,4,3,1",62.0,False,True,P1,0.2
690,345,colplayer,"('leader', 'deadlock')",0.7333333333333333,False,"5,9,21,1","18,30,1,22","2,3,4,1","2,4,1,3",18.0,False,True,P1,0.7333333333333333
691,346,rowplayer,"('concord', 'hero')",0.8387096774193549,False,"18,9,15,1","1,10,6,3","4,2,3,1","1,4,3,2",104.0,False,True,P1,0.8387096774193549
692,346,colplayer,"('hero', 'concord')",0.217391304347826,False,"1,6,10,3","18,15,9,1","1,3,4,2","4,3,2,1",93.0,False,True,P1,0.217391304347826
693,347,rowplayer,"('assurance', 'harmony')",0.6666666666666666,False,"19,3,9,13","44,9,33,5","4,1,2,3","4,2,3,1",7.0,False,True,P1,0.6666666666666666
694,347,colplayer,"('harmony', 'assurance')",0.9069767441860463,False,"44,33,9,5","19,9,3,13","4,3,2,1","4,2,1,3",73.0,False,True,P1,0.9069767441860463
695,348,rowplayer,"('safecoord', 'chicken')",0.9411764705882352,True,"12,6,3,7","24,31,1,1",,,,,,,
696,348,colplayer,"('chicken', 'safecoord')",0.5641025641025641,True,"24,1,31,1","12,3,6,7",,,,,,,
697,349,rowplayer,"('harmony', 'chicken')",0.8857142857142857,False,"41,38,17,1","4,18,3,2","4,3,2,1","3,4,2,1",75.0,False,True,P1,0.8857142857142857
698,349,colplayer,"('chicken', 'harmony')",0.2272727272727272,False,"4,3,18,2","41,17,38,1","3,2,4,1","4,2,3,1",31.0,False,True,P1,0.2272727272727272
699,350,rowplayer,"('leader', 'dilemma')",0.6923076923076923,False,"6,30,43,1","19,32,4,10","2,3,4,1","3,4,1,2",23.0,False,True,P1,0.6923076923076923
700,350,colplayer,"('dilemma', 'leader')",0.1176470588235294,False,"19,4,32,10","6,43,30,1","3,1,4,2","2,4,3,1",122.0,False,True,P1,0.1176470588235294
701,351,rowplayer,"('staghunt', 'assurance')",0.5161290322580645,True,"23,6,13,12","11,2,1,11",,,,,,,
702,351,colplayer,"('assurance', 'staghunt')",0.6428571428571429,True,"11,1,2,11","23,13,6,12",,,,,,,
703,352,rowplayer,"('chicken', 'chicken')",0.2903225806451613,False,"16,9,29,7","22,26,19,2","3,2,4,1","3,4,2,1",27.0,False,True,P1,0.2903225806451613
704,352,colplayer,"('chicken', 'chicken')",0.8823529411764706,False,"22,19,26,2","16,29,9,7","3,2,4,1","3,4,2,1",27.0,False,True,P1,0.8823529411764706
705,353,rowplayer,"('staghunt', 'assurance')",0.4642857142857143,False,"46,2,41,14","35,26,8,34","4,1,3,2","4,2,1,3",133.0,False,True,P1,0.4642857142857143
706,353,colplayer,"('assurance', 'staghunt')",0.4411764705882353,False,"35,8,26,34","46,41,2,14","4,1,2,3","4,3,1,2",12.0,False,True,P1,0.4411764705882353
707,354,rowplayer,"('hero', 'compromise')",0.4634146341463415,False,"1,6,13,3","1,29,2,15","1,3,4,2","1,4,2,3",88.0,False,True,P1,0.4634146341463415
708,354,colplayer,"('compromise', 'hero')",0.1351351351351351,False,"1,2,29,15","1,13,6,3","1,2,4,3","1,4,3,2",44.0,False,True,P1,0.1351351351351351
709,355,rowplayer,"('compromise', 'leader')",0.2682926829268293,False,"2,10,27,22","6,15,13,5","1,2,4,3","2,4,3,1",38.0,False,True,P1,0.2682926829268293
710,355,colplayer,"('leader', 'compromise')",0.6097560975609756,False,"6,13,15,5","2,27,10,22","2,3,4,1","1,4,2,3",16.0,False,True,P1,0.6097560975609756
711,356,rowplayer,"('compromise', 'concord')",0.1282051282051282,False,"1,2,7,3","40,16,10,3","1,2,4,3","4,3,2,1",45.0,False,True,P1,0.1282051282051282
712,356,colplayer,"('concord', 'compromise')",0.8421052631578947,False,"40,10,16,3","1,7,2,3","4,2,3,1","1,4,2,3",100.0,False,True,P1,0.8421052631578947
713,357,rowplayer,"('peace', 'peace')",0.9302325581395348,True,"29,9,1,6","23,4,13,4",,,,,,,
714,357,colplayer,"('peace', 'peace')",0.8235294117647058,True,"23,13,4,4","29,1,9,6",,,,,,,
715,358,rowplayer,"('hero', 'chicken')",0.4666666666666667,False,"1,25,27,5","21,31,16,2","1,3,4,2","3,4,2,1",87.0,False,True,P1,0.4666666666666667
716,358,colplayer,"('chicken', 'hero')",0.4878048780487805,False,"21,16,31,2","1,27,25,5","3,2,4,1","1,4,3,2",32.0,False,True,P1,0.4878048780487805
717,359,rowplayer,"('staghunt', 'dilemma')",0.8333333333333334,False,"27,6,17,9","23,28,1,5","4,1,3,2","3,4,1,2",143.0,False,True,P1,0.8333333333333334
718,359,colplayer,"('dilemma', 'staghunt')",0.4897959183673469,False,"23,1,28,5","27,17,6,9","3,1,4,2","4,3,1,2",132.0,False,True,P1,0.4897959183673469
719,360,rowplayer,"('compromise', 'deadlock')",0.071428571,False,"1,10,27,17","10,16,2,14","1,2,4,3","2,4,1,3",42.0,False,True,P1,0.071428571
720,360,colplayer,"('deadlock', 'compromise')",0.1111111111111111,False,"10,2,16,14","1,27,10,17","2,1,4,3","1,4,2,3",64.0,False,True,P1,0.1111111111111111
721,361,rowplayer,"('compromise', 'leader')",0.054054054,False,"1,6,28,13","21,24,23,6","1,2,4,3","2,4,3,1",38.0,False,True,P1,0.054054054
722,361,colplayer,"('leader', 'compromise')",0.8604651162790697,False,"21,23,24,6","1,28,6,13","2,3,4,1","1,4,2,3",16.0,False,True,P1,0.8604651162790697
723,362,rowplayer,"('assurance', 'compromise')",0.4473684210526316,True,"30,4,7,26","1,48,1,2",,,,,,,
724,362,colplayer,"('compromise', 'assurance')",0.073170732,True,"1,1,48,2","30,7,4,26",,,,,,,
725,363,rowplayer,"('hero', 'concord')",0.36,False,"3,17,27,4","38,23,6,1","1,3,4,2","4,3,2,1",93.0,False,True,P1,0.36
726,363,colplayer,"('concord', 'hero')",0.7391304347826086,False,"38,6,23,1","3,27,17,4","4,2,3,1","1,4,3,2",104.0,False,True,P1,0.7391304347826086
727,364,rowplayer,"('staghunt', 'staghunt')",0.85,False,"26,2,8,3","18,15,2,5","4,1,3,2","4,3,1,2",144.0,False,True,P1,0.85
728,364,colplayer,"('staghunt', 'staghunt')",0.7272727272727273,False,"18,2,15,5","26,8,2,3","4,1,3,2","4,3,1,2",144.0,False,True,P1,0.7272727272727273
729,365,rowplayer,"('chicken', 'concord')",0.7428571428571429,False,"12,4,13,1","26,15,6,3","3,2,4,1","4,3,2,1",33.0,False,True,P1,0.7428571428571429
730,365,colplayer,"('concord', 'chicken')",0.9285714285714286,False,"26,6,15,3","12,13,4,1","4,2,3,1","3,4,2,1",99.0,False,True,P1,0.9285714285714286
731,366,rowplayer,"('peace', 'assurance')",0.9736842105263158,False,"29,13,2,5","26,4,1,14","4,3,1,2","4,2,1,3",109.0,False,True,P1,0.9736842105263158
732,366,colplayer,"('assurance', 'peace')",0.7647058823529411,False,"26,1,4,14","29,2,13,5","4,1,2,3","4,1,3,2",10.0,False,True,P1,0.7647058823529411
733,367,rowplayer,"('harmony', 'chicken')",0.9473684210526316,False,"15,11,7,4","7,30,2,1","4,3,2,1","3,4,2,1",75.0,False,True,P1,0.9473684210526316
734,367,colplayer,"('chicken', 'harmony')",0.4411764705882353,False,"7,2,30,1","15,7,11,4","3,2,4,1","4,2,3,1",31.0,False,True,P1,0.4411764705882353
735,368,rowplayer,"('compromise', 'chicken')",0.1891891891891892,False,"2,13,39,38","8,16,3,2","1,2,4,3","3,4,2,1",39.0,False,True,P1,0.1891891891891892
736,368,colplayer,"('chicken', 'compromise')",0.2972972972972973,False,"8,3,16,2","2,39,13,38","3,2,4,1","1,4,2,3",28.0,False,True,P1,0.2972972972972973
737,369,rowplayer,"('chicken', 'dilemma')",0.8571428571428571,False,"16,13,17,2","12,25,7,9","3,2,4,1","3,4,1,2",35.0,False,True,P1,0.8571428571428571
738,369,colplayer,"('dilemma', 'chicken')",0.3555555555555555,False,"12,7,25,9","16,17,13,2","3,1,4,2","3,4,2,1",123.0,False,True,P1,0.3555555555555555
739,370,rowplayer,"('compromise', 'leader')",0.3255813953488372,False,"7,10,17,12","4,9,8,2","1,2,4,3","2,4,3,1",38.0,False,True,P1,0.3255813953488372
740,370,colplayer,"('leader', 'compromise')",0.7368421052631579,False,"4,8,9,2","7,17,10,12","2,3,4,1","1,4,2,3",16.0,False,True,P1,0.7368421052631579
741,371,rowplayer,"('compromise', 'leader')",0.2564102564102564,False,"4,14,25,18","10,15,14,5","1,2,4,3","2,4,3,1",38.0,False,True,P1,0.2564102564102564
742,371,colplayer,"('leader', 'compromise')",0.7692307692307693,False,"10,14,15,5","4,25,14,18","2,3,4,1","1,4,2,3",16.0,False,True,P1,0.7692307692307693
743,372,rowplayer,"('harmony', 'leader')",0.9166666666666666,False,"26,7,5,1","3,36,28,2","4,3,2,1","2,4,3,1",74.0,False,True,P1,0.9166666666666666
744,372,colplayer,"('leader', 'harmony')",0.35,False,"3,28,36,2","26,5,7,1","2,3,4,1","4,2,3,1",19.0,False,True,P1,0.35
745,373,rowplayer,"('dilemma', 'chicken')",0.3658536585365853,False,"34,4,40,11","9,25,3,2","3,1,4,2","3,4,2,1",123.0,False,True,P1,0.3658536585365853
746,373,colplayer,"('chicken', 'dilemma')",0.28125,False,"9,3,25,2","34,40,4,11","3,2,4,1","3,4,1,2",35.0,False,True,P1,0.28125
747,374,rowplayer,"('leader', 'safecoord')",0.5454545454545454,True,"17,35,38,6","14,2,13,13",,,,,,,
748,374,colplayer,"('safecoord', 'leader')",0.8780487804878049,True,"14,13,2,13","17,38,35,6",,,,,,,
749,375,rowplayer,"('chicken', 'hero')",0.7222222222222222,True,"14,13,19,9","5,17,6,6",,,,,,,
750,375,colplayer,"('hero', 'chicken')",0.1724137931034483,True,"5,6,17,6","14,19,13,9",,,,,,,
751,376,rowplayer,"('leader', 'concord')",0.4705882352941176,False,"9,15,47,3","24,13,5,4","2,3,4,1","4,3,2,1",21.0,False,True,P1,0.4705882352941176
752,376,colplayer,"('concord', 'leader')",0.7142857142857143,False,"24,5,13,4","9,47,15,3","4,2,3,1","2,4,3,1",98.0,False,True,P1,0.7142857142857143
753,377,rowplayer,"('leader', 'peace')",0.1379310344827586,True,"3,35,36,3","33,1,20,18",,,,,,,
754,377,colplayer,"('peace', 'leader')",0.9375,True,"33,20,1,18","3,36,35,3",,,,,,,
755,378,rowplayer,"('compromise', 'harmony')",0.1515151515151515,False,"2,7,28,13","7,5,6,1","1,2,4,3","4,2,3,1",43.0,False,True,P1,0.1515151515151515
756,378,colplayer,"('harmony', 'compromise')",0.92,False,"7,6,5,1","2,28,7,13","4,3,2,1","1,4,2,3",76.0,False,True,P1,0.92
757,379,rowplayer,"('harmony', 'leader')",0.8125,True,"17,16,2,1","5,6,6,3",,,,,,,
758,379,colplayer,"('leader', 'harmony')",0.7346938775510204,True,"5,6,6,3","17,2,16,1",,,,,,,
759,380,rowplayer,"('leader', 'peace')",0.5555555555555556,False,"18,25,34,9","18,3,12,5","2,3,4,1","4,1,3,2",22.0,False,True,P1,0.5555555555555556
760,380,colplayer,"('peace', 'leader')",0.9411764705882352,False,"18,12,3,5","18,34,25,9","4,3,1,2","2,4,3,1",110.0,False,True,P1,0.9411764705882352
761,381,rowplayer,"('assurance', 'peace')",0.8095238095238095,False,"40,3,5,12","10,1,9,8","4,1,2,3","4,1,3,2",10.0,False,True,P1,0.8095238095238095
762,381,colplayer,"('peace', 'assurance')",0.8823529411764706,False,"10,9,1,8","40,5,3,12","4,3,1,2","4,2,1,3",109.0,False,True,P1,0.8823529411764706
763,382,rowplayer,"('hero', 'compromise')",0.1951219512195122,False,"6,11,37,9","7,45,21,32","1,3,4,2","1,4,2,3",88.0,False,True,P1,0.1951219512195122
764,382,colplayer,"('compromise', 'hero')",0.3265306122448979,False,"7,21,45,32","6,37,11,9","1,2,4,3","1,4,3,2",44.0,False,True,P1,0.3265306122448979
765,383,rowplayer,"('deadlock', 'assurance')",0.09375,False,"7,6,40,16","36,4,3,12","2,1,4,3","4,2,1,3",61.0,False,True,P1,0.09375
766,383,colplayer,"('assurance', 'deadlock')",0.5882352941176471,False,"36,3,4,12","7,40,6,16","4,1,2,3","2,4,1,3",6.0,False,True,P1,0.5882352941176471
767,384,rowplayer,"('staghunt', 'assurance')",0.7352941176470589,False,"30,1,14,4","27,9,2,23","4,1,3,2","4,2,1,3",133.0,False,True,P1,0.7352941176470589
768,384,colplayer,"('assurance', 'staghunt')",0.631578947,False,"27,2,9,23","30,14,1,4","4,1,2,3","4,3,1,2",12.0,False,True,P1,0.631578947
769,385,rowplayer,"('staghunt', 'safecoord')",0.9111111111111112,True,"25,3,16,3","23,1,2,4",,,,,,,
770,385,colplayer,"('safecoord', 'staghunt')",0.8857142857142857,True,"23,2,1,4","25,16,3,3",,,,,,,
771,386,rowplayer,"('deadlock', 'concord')",0.064516129,False,"5,1,23,16","29,27,16,7","2,1,4,3","4,3,2,1",69.0,False,True,P1,0.064516129
772,386,colplayer,"('concord', 'deadlock')",0.9142857142857144,False,"29,16,27,7","5,23,1,16","4,2,3,1","2,4,1,3",102.0,False,True,P1,0.9142857142857144
773,387,rowplayer,"('harmony', 'staghunt')",0.8918918918918919,True,"17,17,3,1","27,20,5,18",,,,,,,
774,387,colplayer,"('staghunt', 'harmony')",0.3823529411764705,True,"27,5,20,18","17,3,17,1",,,,,,,
775,388,rowplayer,"('hero', 'compromise')",0.4722222222222222,False,"6,14,30,8","1,20,5,16","1,3,4,2","1,4,2,3",88.0,False,True,P1,0.4722222222222222
776,388,colplayer,"('compromise', 'hero')",0.075,False,"1,5,20,16","6,30,14,8","1,2,4,3","1,4,3,2",44.0,False,True,P1,0.075
777,389,rowplayer,"('staghunt', 'safecoord')",0.6857142857142857,False,"14,6,13,10","17,2,3,5","4,1,3,2","4,1,2,3",137.0,False,True,P1,0.6857142857142857
778,389,colplayer,"('safecoord', 'staghunt')",0.8717948717948718,False,"17,3,2,5","14,13,6,10","4,2,1,3","4,3,1,2",60.0,False,True,P1,0.8717948717948718
779,390,rowplayer,"('chicken', 'concord')",0.5263157894736842,False,"11,5,38,1","21,13,8,6","3,2,4,1","4,3,2,1",33.0,False,True,P1,0.5263157894736842
780,390,colplayer,"('concord', 'chicken')",0.7551020408163265,False,"21,8,13,6","11,38,5,1","4,2,3,1","3,4,2,1",99.0,False,True,P1,0.7551020408163265
781,391,rowplayer,"('peace', 'hero')",0.8947368421052632,True,"20,15,7,9","2,14,14,3",,,,,,,
782,391,colplayer,"('hero', 'peace')",0.1428571428571428,True,"2,14,14,3","20,7,15,9",,,,,,,
783,392,rowplayer,"('hero', 'hero')",0.125,False,"2,10,37,6","1,21,20,13","1,3,4,2","1,4,3,2",92.0,False,True,P1,0.125
784,392,colplayer,"('hero', 'hero')",0.3846153846153846,False,"1,20,21,13","2,37,10,6","1,3,4,2","1,4,3,2",92.0,False,True,P1,0.3846153846153846
785,393,rowplayer,"('staghunt', 'deadlock')",0.5172413793103449,False,"41,11,24,20","10,32,9,28","4,1,3,2","2,4,1,3",138.0,False,True,P1,0.5172413793103449
786,393,colplayer,"('deadlock', 'staghunt')",0.1923076923076923,False,"10,9,32,28","41,24,11,20","2,1,4,3","4,3,1,2",72.0,False,True,P1,0.1923076923076923
787,394,rowplayer,"('assurance', 'staghunt')",0.7,False,"42,19,22,39","15,13,5,8","4,1,2,3","4,3,1,2",12.0,False,True,P1,0.7
788,394,colplayer,"('staghunt', 'assurance')",0.5135135135135135,False,"15,5,13,8","42,22,19,39","4,1,3,2","4,2,1,3",133.0,False,True,P1,0.5135135135135135
789,395,rowplayer,"('harmony', 'concord')",0.7857142857142857,False,"32,25,19,5","16,15,4,2","4,3,2,1","4,3,2,1",81.0,False,True,P1,0.7857142857142857
790,395,colplayer,"('concord', 'harmony')",0.8478260869565217,False,"16,4,15,2","32,19,25,5","4,2,3,1","4,2,3,1",103.0,False,True,P1,0.8478260869565217
791,396,rowplayer,"('assurance', 'deadlock')",0.4545454545454545,False,"17,3,8,13","21,28,1,22","4,1,2,3","2,4,1,3",6.0,False,True,P1,0.4545454545454545
792,396,colplayer,"('deadlock', 'assurance')",0.2424242424242424,False,"21,1,28,22","17,8,3,13","2,1,4,3","4,2,1,3",61.0,False,True,P1,0.2424242424242424
793,397,rowplayer,"('compromise', 'hero')",0.088235294,True,"1,1,22,3","2,16,14,8",,,,,,,
794,397,colplayer,"('hero', 'compromise')",0.5833333333333334,True,"2,14,16,8","1,22,1,3",,,,,,,
795,398,rowplayer,"('leader', 'deadlock')",0.5434782608695652,True,"8,12,18,5","2,30,1,2",,,,,,,
796,398,colplayer,"('deadlock', 'leader')",0.060606061,True,"2,1,30,2","8,18,12,5",,,,,,,
797,399,rowplayer,"('staghunt', 'assurance')",0.875,True,"27,3,10,3","39,2,1,11",,,,,,,
798,399,colplayer,"('assurance', 'staghunt')",0.8095238095238095,True,"39,1,2,11","27,10,3,3",,,,,,,
