model,layer,cos_dinc_vs_mean_residual,cos_injected_vs_locally_fitted,cos_random_vs_dinc,cos_random_vs_dchoice,cos_random_vs_mean_residual,cos_refit_vs_shipped,cos_perm0_vs_true_perp,cos_perm1_vs_true_perp,cos_perm2_vs_true_perp
qwen,65,-0.030790043226932393,0.9200290660817333,0.03232918338779596,0.01763310058356862,0.011847941102753522,0.9999999999999998,-0.40757645720148994,-0.08040645391624136,-0.14752863822256368
qwen,79,0.11053079032937077,0.5676431604169926,0.013489259635904537,0.005532788710365411,0.007895506091479232,0.9999999999999998,-0.3619933429656549,-0.05467382059432947,-0.20157812490568436
qwen_instruct,65,-0.0806974614014748,0.9061752099015727,0.00012486182134995158,0.0016997607330719961,0.007444624852894193,0.9999999999999996,-0.742606163911814,-0.2831834077971869,-0.2532979736898694
qwen_instruct,79,0.12915947939402822,0.7732283270403724,0.007926823561310966,0.009569101143804076,0.008657374316889233,0.9999999999999998,-0.6845785429067746,-0.42062152641513606,-0.4333245648324066
llama31_instruct,65,0.10745722464076629,0.9750182836374455,0.0017857252565580206,0.005052466768959077,0.0007262113841429649,0.9999999999999998,-0.6785313386002688,-0.25389459921187435,0.2663151636625685
llama31_instruct,79,0.15393419252675977,0.7074037386921329,0.015541548507347208,0.017014324728661986,0.003065111697112226,0.9999999999999998,-0.6542418119144751,-0.1416675719491561,0.13451549000478982
