model,mode,steer_layer,variant,game_code,counterbalance_id,range_letter,range_act0,range_canon,flip_letter,flip_action,flip_canon,family,wave
llama31_instruct,h1_dinc,65,main,BaCh,2,0.8135,0.8135,0.8135,1,1,1,CO2,4
llama31_instruct,h1_dinc,65,main,BaCh,3,0.6819,0.6819,0.6819,1,1,1,CO2,4
llama31_instruct,h1_dinc,65,main,BaCm,0,0.7842,0.7842,0.7842,1,1,1,OD1,1
llama31_instruct,h1_dinc,65,main,BaCm,1,0.7483,0.7483,0.7483,1,1,1,OD1,1
llama31_instruct,h1_dinc,65,main,BaCm,2,0.7698,0.7698,0.7698,1,1,1,OD1,1
llama31_instruct,h1_dinc,65,main,BaCm,3,0.7219,0.7219,0.7219,1,1,1,OD1,1
llama31_instruct,h1_dinc,65,main,BaCo,0,0.7908000000000001,0.7908000000000001,0.7908000000000001,1,1,1,MP,3
llama31_instruct,h1_dinc,65,main,BaCo,1,0.7617,0.7617,0.7617,1,1,1,MP,3
llama31_instruct,h1_dinc,65,main,BaCo,2,0.7313999999999999,0.7313999999999999,0.7313999999999999,1,1,1,MP,3
llama31_instruct,h1_dinc,65,main,BaCo,3,0.7443,0.7443,0.7443,1,1,1,MP,3
llama31_instruct,h1_dinc,65,main,BaDl,0,0.8082,0.8082,0.8082,1,1,1,OD1,3
llama31_instruct,h1_dinc,65,main,BaDl,1,0.703,0.703,0.703,1,1,1,OD1,3
llama31_instruct,h1_dinc,65,main,BaDl,2,0.7759,0.7759,0.7759,1,1,1,OD1,3
llama31_instruct,h1_dinc,65,main,BaDl,3,0.7111999999999999,0.7111999999999999,0.7111999999999999,1,1,1,OD1,3
llama31_instruct,h1_dinc,65,main,BaHa,0,0.7677,0.7677,0.7676999999999999,1,1,1,OD2,2
llama31_instruct,h1_dinc,65,main,BaHa,1,0.7026,0.7026,0.7026,1,1,1,OD2,2
llama31_instruct,h1_dinc,65,main,BaHa,2,0.6978,0.6978,0.6978,1,1,1,OD2,2
llama31_instruct,h1_dinc,65,main,BaHa,3,0.7096,0.7096,0.7096,1,1,1,OD2,2
llama31_instruct,h1_dinc,65,main,BaHr,0,0.8065,0.8065,0.8065,1,1,1,CO1,5
llama31_instruct,h1_dinc,65,main,BaHr,1,0.7604,0.7604,0.7604,1,1,1,CO1,5
llama31_instruct,h1_dinc,65,main,BaHr,2,0.7014,0.7014,0.7014,1,1,1,CO1,5
llama31_instruct,h1_dinc,65,main,BaHr,3,0.7705,0.7705000000000001,0.7705000000000001,1,1,1,CO1,5
llama31_instruct,h1_dinc,65,main,BaNc,0,0.7743,0.7743,0.7743,1,1,1,OD2,4
llama31_instruct,h1_dinc,65,main,BaNc,1,0.6823,0.6823,0.6823,1,1,1,OD2,4
llama31_instruct,h1_dinc,65,main,BaNc,2,0.7878000000000001,0.7878,0.7878,1,1,1,OD2,4
llama31_instruct,h1_dinc,65,main,BaNc,3,0.7864,0.7864,0.7864,1,1,1,OD2,4
llama31_instruct,h1_dinc,65,main,BaPc,0,0.776,0.776,0.776,1,1,1,OD2,6
llama31_instruct,h1_dinc,65,main,BaPc,1,0.7713,0.7713,0.7713,1,1,1,OD2,6
llama31_instruct,h1_dinc,65,main,BaPc,2,0.7799,0.7799,0.7799,1,1,1,OD2,6
llama31_instruct,h1_dinc,65,main,BaPc,3,0.7421,0.7421000000000001,0.7421000000000001,1,1,1,OD2,6
llama31_instruct,h1_dinc,65,main,BaPd,0,0.7908000000000001,0.7908000000000001,0.7908000000000001,1,1,1,OD1,5
llama31_instruct,h1_dinc,65,main,BaPd,1,0.7097,0.7097,0.7097,1,1,1,OD1,5
llama31_instruct,h1_dinc,65,main,BaPd,2,0.7675000000000001,0.7675000000000001,0.7675000000000001,1,1,1,OD1,5
llama31_instruct,h1_dinc,65,main,BaPd,3,0.6465,0.6465,0.6465,1,1,1,OD1,5
llama31_instruct,h1_dinc,65,main,BaSh,0,0.8173,0.8173,0.8173,1,1,1,MP,5
llama31_instruct,h1_dinc,65,main,BaSh,1,0.6791999999999999,0.6791999999999999,0.6791999999999999,1,1,1,MP,5
llama31_instruct,h1_dinc,65,main,BaSh,2,0.7602,0.7602,0.7602,1,1,1,MP,5
llama31_instruct,h1_dinc,65,main,BaSh,3,0.7617,0.7617,0.7617,1,1,1,MP,5
llama31_instruct,h1_dinc,65,main,ChAs,0,0.7961,0.7961,0.7961,1,1,1,MP,7
