model,mode,steer_layer,variant,game_code,d_letter_slope,d_letter_range,d_letter_at_pos025,d_letter_at_neg025,d_act0_slope,d_act0_range,d_act0_at_pos025,d_act0_at_neg025,d_canon_slope,d_canon_range,d_canon_at_pos025,d_canon_at_neg025,d_beh_letter_slope,d_beh_letter_range,d_beh_letter_at_pos025,d_beh_letter_at_neg025,d_beh_act0_slope,d_beh_act0_range,d_beh_act0_at_pos025,d_beh_act0_at_neg025,d_beh_canon_slope,d_beh_canon_range,d_beh_canon_at_pos025,d_beh_canon_at_neg025,wave,family,num_pure_ne,complexity_score,payoff_conflict
qwen_instruct,h1_dinc,65,main_perp,ChHr,1.2369833333333333,0.6415,0.369325,-0.272175,-0.3393499999999998,0.319575,0.13382499999999997,0.259775,-0.3393499999999998,0.319575,0.13382499999999997,0.259775,0.9999999999999999,0.5,0.0,-0.5,-0.9999999999999999,0.5,0.0,0.5,-0.9999999999999999,0.5,0.0,0.5,6,CO1,2,0.3294593112989456,1.0
qwen_instruct,h1_dinc,65,main,CoSh,1.1924333333333332,0.600325,0.358675,-0.24164999999999998,0.5021166666666667,0.31952499999999995,-0.027724999999999972,-0.23164999999999997,0.5021166666666667,0.31952499999999995,-0.027724999999999972,-0.23164999999999997,1.0833333333333333,0.5,0.25,-0.25,1.0833333333333333,0.5,0.25,-0.25,1.0833333333333333,0.5,0.25,-0.25,8,CO2,2,-0.5169508502148299,0.2
qwen_instruct,h1_dinc,79,main,ChHr,0.9403250000000001,0.466425,0.19225,-0.274175,-0.6166250000000001,0.31935,-0.027499999999999997,0.26217500000000005,-0.6166250000000001,0.31935,-0.027499999999999997,0.26217500000000005,1.083333333333333,0.5,0.0,-0.5,-1.083333333333333,0.5,0.0,0.5,-1.083333333333333,0.5,0.0,0.5,6,CO1,2,0.3294593112989456,1.0
qwen_instruct,h1_dinc,65,main,ChHr,1.2640916666666666,0.6492249999999999,0.377,-0.272225,-0.33945833333333325,0.31899999999999995,0.14084999999999998,0.259775,-0.33945833333333325,0.31899999999999995,0.14084999999999998,0.259775,0.9999999999999999,0.5,0.0,-0.5,-0.9999999999999999,0.5,0.0,0.5,-0.9999999999999999,0.5,0.0,0.5,6,CO1,2,0.3294593112989456,1.0
qwen_instruct,h2_choice,79,main,CoSh,-0.7990416666666665,0.394775,-0.219825,0.17495000000000002,-0.6550083333333333,0.318275,-0.21082499999999996,0.10745000000000002,-0.6550083333333333,0.318275,-0.21082499999999996,0.10745000000000002,-1.0833333333333333,0.5,-0.25,0.25,-1.0833333333333333,0.5,-0.25,0.25,-1.0833333333333333,0.5,-0.25,0.25,8,CO2,2,-0.5169508502148299,0.2
qwen_instruct,h1_dinc,79,main,ChDl,1.003283333333333,0.49125,0.23459999999999998,-0.25665000000000004,-0.6590833333333332,0.31747499999999995,-0.06154999999999998,0.24265,-0.6590833333333332,0.31747499999999995,-0.06154999999999998,0.24265,1.0833333333333333,0.5,0.25,-0.25,-1.0833333333333333,0.5,-0.25,0.25,-1.0833333333333333,0.5,-0.25,0.25,9,OD1,1,0.7408346464128569,1.7999999999999998
qwen_instruct,h1_dinc,65,main,CoAs,1.3663416666666666,0.685575,0.42015,-0.26542499999999997,0.41877499999999995,0.31745,-0.08889999999999998,-0.239275,0.41877499999999995,0.31745,-0.08889999999999998,-0.239275,1.666666666666667,0.75,0.5,-0.25,0.8333333333333331,0.5,0.0,-0.25,0.8333333333333331,0.5,0.0,-0.25,7,CO2,2,-0.6035533905932737,0.0
llama31_instruct,h1_dinc,79,main,CmHa,2.5386583333333337,1.0,0.43835,-0.56165,0.05444166666666683,0.31655,0.31655,0.31655,-0.05444166666666683,0.31655,-0.31655,-0.31655,2.583333333333333,1.0,0.5,-0.5,0.08333333333333365,0.5,0.5,0.5,-0.08333333333333365,0.5,-0.5,-0.5,6,DD,1,0.0384900179459749,1.4
qwen_instruct,h1_dinc,65,main_perp,CoAs,1.3423499999999997,0.6761,0.4141,-0.262,0.41649999999999987,0.312075,-0.08414999999999997,-0.23609999999999998,0.41649999999999987,0.312075,-0.08414999999999997,-0.23609999999999998,1.666666666666667,0.75,0.5,-0.25,0.49999999999999994,0.5,0.0,-0.25,0.49999999999999994,0.5,0.0,-0.25,7,CO2,2,-0.6035533905932737,0.0
qwen_instruct,h1_dinc,79,main,ChCm,1.1754666666666664,0.577225,0.2897,-0.287525,-0.5554166666666666,0.308525,0.006749999999999978,0.25432499999999997,-0.5554166666666666,0.308525,0.006749999999999978,0.25432499999999997,1.083333333333333,0.5,0.0,-0.5,-1.083333333333333,0.5,0.0,0.5,-1.083333333333333,0.5,0.0,0.5,7,OD1,1,0.6253645925749319,1.6
qwen_instruct,h1_dinc,79,main,BaCm,1.1179333333333332,0.56655,0.254575,-0.311975,-0.4458999999999999,0.30624999999999997,0.07622500000000003,0.280875,-0.4458999999999999,0.30624999999999997,0.07622500000000003,0.280875,0.9999999999999999,0.5,0.0,-0.5,-0.9999999999999999,0.5,0.0,0.5,-0.9999999999999999,0.5,0.0,0.5,1,OD1,1,0.2789544310611563,1.0
llama31_instruct,h1_dinc,79,main,HaAs,2.5746749999999996,0.9999750000000001,0.4859,-0.5140750000000001,-0.006291666666666783,0.300775,-0.30075,-0.300775,-0.006291666666666783,0.300775,-0.30075,-0.300775,2.666666666666667,1.0,0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,7,OD2,1,-0.4233901974057255,0.6000000000000001
qwen_instruct,h1_dinc,65,main_perp,ChDl,1.242025,0.6312,0.39259999999999995,-0.23860000000000003,-0.39379166666666665,0.30074999999999996,0.07794999999999999,0.22415,-0.39379166666666665,0.30074999999999996,0.07794999999999999,0.22415,1.0833333333333333,0.5,0.25,-0.25,-1.0833333333333333,0.5,-0.25,0.25,-1.0833333333333333,0.5,-0.25,0.25,9,OD1,1,0.7408346464128569,1.7999999999999998
qwen_instruct,h1_dinc,65,main,CoCo,1.4131333333333331,0.7229,0.463825,-0.259075,0.29624999999999996,0.29955,-0.14742500000000003,-0.237425,0.29624999999999996,0.29955,-0.14742500000000003,-0.237425,1.083333333333333,0.5,0.0,-0.5,1.083333333333333,0.5,0.0,-0.5,1.083333333333333,0.5,0.0,-0.5,7,CO1,2,-0.5169508502148299,0.2
qwen_instruct,h1_dinc,79,main,HrAs,1.1385916666666667,0.5655749999999999,0.275175,-0.2904,-0.5067416666666664,0.298425,0.01727500000000004,0.25105,0.5067416666666664,0.29842500000000005,-0.017275000000000013,-0.25105,1.083333333333333,0.5,0.0,-0.5,-1.083333333333333,0.5,0.0,0.5,1.083333333333333,0.5,0.0,-0.5,8,MP,0,0.68329601758822,2.0
qwen_instruct,h1_dinc,65,main_perp,ChCm,1.4565333333333337,0.7343,0.456125,-0.278175,-0.30089999999999995,0.297625,0.15172499999999997,0.244525,-0.30089999999999995,0.297625,0.15172499999999997,0.244525,1.083333333333333,0.5,0.0,-0.5,-1.083333333333333,0.5,0.0,0.5,-1.083333333333333,0.5,0.0,0.5,7,OD1,1,0.6253645925749319,1.6
