model,mode,steer_layer,variant,family,n_games,d_letter_slope_mean,d_letter_range_mean,d_canon_slope_mean,d_canon_range_mean,d_beh_canon_slope_mean,d_beh_canon_range_mean,flip_canon_rate,cell_canon_range_mean
llama31_instruct,h1_dinc,65,main,CO1,9,1.4886277777777774,0.7262833333333333,0.09769074074074074,0.10809444444444444,0.25,0.4166666666666667,1.0,0.7262833333333334
llama31_instruct,h1_dinc,65,main,CO2,9,1.4739296296296296,0.7185027777777777,0.09380185185185184,0.11405555555555555,0.20370370370370366,0.3611111111111111,0.9722222222222222,0.7185027777777777
llama31_instruct,h1_dinc,65,main,DD,9,1.1620166666666667,0.5844277777777778,0.1002018518518518,0.21084444444444445,0.19444444444444434,0.5,0.8055555555555556,0.5844277777777779
llama31_instruct,h1_dinc,65,main,MP,9,1.5243055555555554,0.7375527777777777,-0.06997592592592591,0.107975,-0.18518518518518515,0.4444444444444444,1.0,0.7375527777777777
llama31_instruct,h1_dinc,65,main,OD1,9,1.4217,0.6914305555555554,-0.11514444444444444,0.09857499999999998,-0.19444444444444445,0.3333333333333333,0.9722222222222222,0.6914305555555555
llama31_instruct,h1_dinc,65,main,OD2,9,1.4748416666666666,0.7142027777777779,0.09226759259259261,0.11623333333333334,0.1481481481481481,0.4166666666666667,1.0,0.7142027777777779
llama31_instruct,h1_dinc,65,main_perp,CO1,9,1.401787037037037,0.6896305555555555,0.10441296296296294,0.1053888888888889,0.18518518518518512,0.3888888888888889,1.0,0.6896305555555555
llama31_instruct,h1_dinc,65,main_perp,CO2,9,1.3918648148148147,0.6831777777777778,0.09226111111111111,0.10778333333333333,0.18518518518518512,0.3888888888888889,0.9722222222222222,0.6831777777777777
llama31_instruct,h1_dinc,65,main_perp,DD,9,1.0780009259259258,0.5409333333333333,0.09141018518518515,0.19714722222222222,0.2129629629629629,0.5,0.7777777777777778,0.5409333333333335
llama31_instruct,h1_dinc,65,main_perp,MP,9,1.4347379629629629,0.6968055555555555,-0.06483611111111107,0.10513888888888889,-0.12037037037037024,0.4444444444444444,1.0,0.6968055555555557
llama31_instruct,h1_dinc,65,main_perp,OD1,9,1.3477768518518518,0.6615166666666668,-0.11702685185185183,0.09023055555555556,-0.3981481481481482,0.3333333333333333,0.8611111111111112,0.6615166666666668
llama31_instruct,h1_dinc,65,main_perp,OD2,9,1.3792935185185184,0.6731694444444444,0.07970277777777776,0.10655555555555557,0.25,0.4166666666666667,0.9444444444444444,0.6731694444444445
llama31_instruct,h1_dinc,65,random,CO1,9,0.17651574074074075,0.09217777777777778,0.06640277777777778,0.04066944444444445,0.1574074074074074,0.1111111111111111,0.1388888888888889,0.09964166666666667
llama31_instruct,h1_dinc,65,random,CO2,9,0.16180555555555556,0.08293333333333335,0.04752037037037036,0.033647222222222224,0.05555555555555553,0.1388888888888889,0.2222222222222222,0.09155555555555556
llama31_instruct,h1_dinc,65,random,DD,9,0.1074148148148148,0.05550833333333333,0.06285740740740739,0.03637222222222222,0.12037037037037036,0.05555555555555555,0.05555555555555555,0.06294722222222222
llama31_instruct,h1_dinc,65,random,MP,9,0.18012685185185184,0.09474166666666667,-0.02560833333333335,0.03361944444444444,0.05555555555555555,0.1111111111111111,0.1388888888888889,0.1038166666666667
llama31_instruct,h1_dinc,65,random,OD1,9,0.16328240740740738,0.08413611111111112,-0.050915740740740734,0.03925555555555556,-0.2314814814814815,0.16666666666666666,0.16666666666666666,0.09019166666666667
llama31_instruct,h1_dinc,65,random,OD2,9,0.1902351851851852,0.0970527777777778,0.03251481481481484,0.03320555555555557,-1.2335811384723961e-17,0.16666666666666666,0.16666666666666666,0.10014722222222222
llama31_instruct,h1_dinc,79,main,CO1,9,2.600414814814815,0.9999833333333333,0.011877777777777767,0.11996111111111112,-7.705065917140437e-18,0.25,1.0,0.9999833333333332
llama31_instruct,h1_dinc,79,main,CO2,9,2.601460185185185,0.9999833333333333,0.011871296296296277,0.11375833333333334,-1.5410131834280875e-17,0.16666666666666666,1.0,0.9999833333333332
llama31_instruct,h1_dinc,79,main,DD,9,2.5552444444444444,0.9999694444444445,0.009612962962962875,0.30683333333333335,0.009259259259259195,0.4722222222222222,1.0,0.9999694444444445
llama31_instruct,h1_dinc,79,main,MP,9,2.608850925925926,1.0,-0.00687129629629629,0.12438055555555556,1.5410131834280875e-17,0.2777777777777778,1.0,1.0
llama31_instruct,h1_dinc,79,main,OD1,9,2.5947351851851854,0.999986111111111,-0.016692592592592582,0.10935277777777778,-0.00925925925925929,0.16666666666666666,1.0,0.999986111111111
llama31_instruct,h1_dinc,79,main,OD2,9,2.5999203703703704,0.9999805555555555,0.009137037037036992,0.12437777777777777,-2.0546842445707832e-17,0.2222222222222222,1.0,0.9999805555555553
llama31_instruct,h1_dinc,79,main_perp,CO1,9,0.024012037037037026,0.027591666666666664,-0.015949074074074084,0.028191666666666677,-0.03703703703703703,0.05555555555555555,0.05555555555555555,0.044777777777777784
llama31_instruct,h1_dinc,79,main_perp,CO2,9,0.020242592592592583,0.023363888888888885,-0.01400740740740742,0.025305555555555553,0.12962962962962962,0.05555555555555555,0.05555555555555555,0.03928888888888889
llama31_instruct,h1_dinc,79,main_perp,DD,9,0.0016166666666666643,0.012463888888888885,-0.060025925925925955,0.04658055555555556,0.0,0.0,0.0,0.049163888888888896
llama31_instruct,h1_dinc,79,main_perp,MP,9,0.008639814814814803,0.024033333333333334,0.010487962962962977,0.026638888888888886,0.0,0.0,0.0,0.03665555555555556
llama31_instruct,h1_dinc,79,main_perp,OD1,9,0.015409259259259254,0.024097222222222214,0.0025333333333333505,0.023497222222222232,0.027777777777777762,0.027777777777777776,0.027777777777777776,0.0412861111111111
llama31_instruct,h1_dinc,79,main_perp,OD2,9,0.003684259259259239,0.025352777777777776,-0.021565740740740753,0.023363888888888882,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.03937500000000001
llama31_instruct,h1_dinc,79,random,CO1,9,-0.8288277777777776,0.4048194444444444,-0.06934259259259258,0.05461944444444443,-0.574074074074074,0.4444444444444444,0.6388888888888888,0.4048194444444444
