variant,n_sessions,n_obs,lambda,lambda_clust_lo,lambda_clust_hi,spearman_rho_complexity,dropped_session
sessions_451,451,64944,0.907110429965547,0.8305224734106607,0.9836983865204334,-0.4355632141565588,
dedup_keep_first,450,64800,0.9139428891012505,0.8376514807154216,0.9902342974870795,-0.43564408843480706,R_2knsYUXDLbh9TmO
dedup_keep_second,450,64800,0.9088670153541949,0.832066933443536,0.9856670972648538,-0.43700875992519167,R_2hKb8TLhaEccf6r
