agent,display,subset,n_games,intercept,slope,spearman_rho,partial_slope_ctrl_delta1c,partial_r_ctrl_delta1c,slope_ci_lo,slope_ci_hi,rho_ci_lo,rho_ci_hi,partial_slope_ci_lo,partial_slope_ci_hi,partial_r_ci_lo,partial_r_ci_hi
qwen,Qwen2.5,all,144,0.715507623708262,-0.2928740053457103,-0.40684177071023203,-0.012363461309027796,-0.026888826718925236,-0.3976360438186526,-0.18372969322595487,-0.5343122515536692,-0.25820232395256815,-0.08182577478200044,0.05482914502481325,-0.1696602172882317,0.12235697300219389
qwen_instruct,Qwen2.5-I,all,144,0.7275966756964727,-0.2833805999256329,-0.3957382420590416,-0.019305459423529403,-0.03863284469854058,-0.393757608926911,-0.17784576270873267,-0.527742208147285,-0.24739464262598235,-0.09643341302864787,0.05495392712779076,-0.18276874870366092,0.11137824693528457
llama31_instruct,Llama,all,144,0.7418324967330251,-0.33506403222838627,-0.42482598650918657,-0.09585751327066795,-0.18166472091177066,-0.4484820532100198,-0.21538453752754427,-0.5560773868755763,-0.2709928013129414,-0.18345141496699133,-0.010319626886334017,-0.3301021946674621,-0.021515655473491088
gptoss,GPT-OSS,all,144,0.8893460935807688,-0.06811103525692436,-0.17542770732206062,0.013422319179363484,0.024624498665795472,-0.13976296239993355,0.005939930666034031,-0.3197227707301966,-0.02364128989917825,-0.06583265837728684,0.09335637559141503,-0.11936049237575547,0.17239725798120936
nagel,Moore et al.,all,144,0.7543968336609091,-0.11595018539665433,-0.4355632141565588,0.04392263089438006,0.16638930260522217,-0.17373235965932995,-0.06044488290605055,-0.5640653951344825,-0.2854009151127912,-0.001272385218556861,0.0893803678115799,-0.005129396280658773,0.32287647516996754
