agent,display,depth_pi,sharpness,lambda_QLk,pi_L0,pi_L1,pi_L2,pi_L3,lambda_QLk_boundary,depth_pi_ci_lo,depth_pi_ci_hi,sharpness_ci_lo,sharpness_ci_hi,lambda_QLk_ci_lo,lambda_QLk_ci_hi,n_games,ci_method
qwen,Qwen2.5,1.0699380663450857,0.7774831606906594,1.842374346825118,0.00032356898502095206,0.9645455502571922,1.261854670856985e-07,0.03513075457231978,False,0.8567547462574239,1.2854967903877341,0.7369590046495853,0.8076542986536944,1.632422433074529,18.488320912729943,144,"bootstrap by game, n=500; panel y is mean modal-action probability"
qwen_instruct,Qwen2.5-I,1.2154285188056817,0.7751602480889033,1.8777947620025708,0.0002991779497162109,0.8918368987533074,1.4983855533879745e-07,0.10786377345842117,False,0.9056874916911772,1.4337709670621932,0.7343821962167605,0.8071642108488719,1.6184354209075598,18.5923246858541,144,"bootstrap by game, n=500; panel y is mean modal-action probability"
llama31_instruct,Llama,0.9996689208196283,0.7791074337082086,1.8355432556031743,0.0003353493955948884,0.9996624592481989,1.124971895117803e-07,2.078859016800553e-06,False,0.8071582398036043,1.217796231592887,0.7405469469960806,0.8143891086622541,1.5926211945481406,19.536306527060002,144,"bootstrap by game, n=500; panel y is mean modal-action probability"
gptoss,GPT-OSS,2.0673112652356918,0.855311502589966,50.0,0.07110466953265283,0.07989111918115582,0.5595924878040378,0.2894117234821535,True,1.7285087841906055,2.3493197304306865,0.8142421128450696,0.8923226324977075,15.787950246793951,50.0,144,"bootstrap by game, n=500; panel y is mean modal-action probability"
nagel,Moore et al.,1.0267000998982472,0.7449679307458522,1.913565246316389,0.16627114594860798,0.6522062128737546,0.17007403650841976,0.011448604669217682,False,0.9638515323825846,1.1294250073043801,0.7175358668771658,0.7699726605853574,1.524083250473788,2.5084293538754636,144,"bootstrap by game, n=500; panel y is mean modal-action probability"
