agent,display,n_games,spearman_rho,spearman_ci_lo,spearman_ci_hi
qwen,Qwen2.5,144,-0.40684177071023203,-0.5343122515536692,-0.25820232395256815
qwen_instruct,Qwen2.5-I,144,-0.3957382420590416,-0.527742208147285,-0.24739464262598235
llama31_instruct,Llama,144,-0.42482598650918657,-0.5560773868755763,-0.2709928013129414
gptoss,GPT-OSS,144,-0.17542770732206062,-0.3197227707301966,-0.02364128989917825
nagel,Moore et al.,144,-0.43490146536902674,-0.5629548377439275,-0.28488930959462483
