agent,display,belief_q,lam_action,lam_action_ci_lo,lam_action_ci_hi,alpha_action,lam_soft_calibration,lam_soft_calibration_ci_lo,lam_soft_calibration_ci_hi,alpha_soft_calibration,lam_soft_empq2_calibration,lam_soft_empq2_ci_lo,lam_soft_empq2_ci_hi,alpha_soft_empq2,n_games,n_observations,n_sessions,n_unique_participants,ci_method
qwen,Qwen2.5,q=0.5,2.0423815729445822,1.7672834132393866,2.4002367269174583,-0.34711272637202345,0.35392905349459186,0.328772163371456,0.3808690167164555,-0.021088079229717012,0.35392905349459186,0.328772163371456,0.3808690167164555,-0.021088079229717012,144,576,,,counterbalance decisions; bootstrap by game
qwen_instruct,Qwen2.5-I,q=0.5,1.9240182105921593,1.6308335872428665,2.321038749299804,-0.20910725359459434,1.6160345068193456,1.4430064714316906,1.8275819898349486,-0.1445466556403894,1.6160345068193456,1.4430064714316906,1.8275819898349486,-0.1445466556403894,144,576,,,counterbalance decisions; bootstrap by game
llama31_instruct,Llama,q=0.5,1.8940878585627752,1.5984239833381266,2.299508119214449,-0.09259947020484746,0.7866897178596313,0.7228054882956304,0.856338962634797,-0.04405851092205999,0.7866897178596313,0.7228054882956304,0.856338962634797,-0.04405851092205999,144,576,,,counterbalance decisions; bootstrap by game
gptoss,GPT-OSS,q=0.5,0.8729616417866006,0.5868957288197382,1.2762413506998016,1.5167348576634667,0.826014453644931,0.5396202821117543,1.2135046126416764,1.5691668587700507,0.826014453644931,0.5396202821117543,1.2135046126416764,1.5691668587700507,144,576,,,counterbalance decisions; bootstrap by game
nagel,Moore et al.,q=0.5,0.907110429965762,0.8246732762354463,0.9870359833609815,0.4500176004520556,,,,,,,,,144,64944,451.0,450.0,individual decisions; bootstrap by game; session-clustered CI in f3_human_lambda.csv
