model,agent,n_games,pearson_r_hard,pearson_lo,pearson_hi,spearman_rho_hard
qwen,Qwen2.5,144,0.6305681002996035,0.5337221215511333,0.7220477080636453,0.67470814557247
qwen_instruct,Qwen2.5-I,144,0.6219064380036194,0.5183185346852122,0.7199092549903163,0.6664613757664687
llama31_instruct,Llama,144,0.5402390354629698,0.41680424944155725,0.6631871339645441,0.6106025220707985
gptoss,GPT-OSS,144,0.3579932430094892,0.22181803646491582,0.5018545456426013,0.4610902247192418
