delta_c,shap_delta_c,model
0.0,-1.1681702217131873,qwen
0.0,-1.4569827415030152,qwen
0.0,-1.3793337823834309,qwen
0.0,-1.167179632806139,qwen
0.0,-0.9186970047036016,qwen
0.0,-0.8557661287755995,qwen
0.0,-0.6504597337658377,qwen
0.0,-1.1681702217131873,qwen
0.0,-1.4569827415030152,qwen
0.0,-1.3793337823834309,qwen
0.0,-1.167179632806139,qwen
0.0,-0.9186970047036016,qwen
0.0,-0.8557661287755995,qwen
0.0,-0.6504597337658377,qwen
0.0,-1.1681702217131873,qwen
0.0,-1.4569827415030152,qwen
0.0,-1.3793337823834309,qwen
0.0,-1.167179632806139,qwen
0.0,-0.9186970047036016,qwen
0.0,-0.8557661287755995,qwen
0.0,-0.6504597337658377,qwen
0.0,-1.1681702217131873,qwen
0.0,-1.4569827415030152,qwen
0.0,-1.3793337823834309,qwen
-0.0,-1.0090206697716868,qwen
-0.0,-0.730788664519283,qwen
-0.0,-0.6712619310638807,qwen
-0.0,-0.29322034319915186,qwen
-0.0,-1.0096474052399464,qwen
-0.0,-1.2745251871954553,qwen
-0.0,-1.2306389911906987,qwen
-0.0,-1.0090206697716868,qwen
-0.0,-0.730788664519283,qwen
-0.0,-0.6712619310638807,qwen
-0.0,-0.29322034319915186,qwen
-0.0,-1.0096474052399464,qwen
-0.0,-1.2745251871954553,qwen
-0.0,-1.2306389911906987,qwen
-0.0,-1.0090206697716868,qwen
-0.0,-0.730788664519283,qwen
-0.0,-0.6712619310638807,qwen
-0.0,-0.29322034319915186,qwen
-0.0,-1.0096474052399464,qwen
-0.0,-1.2745251871954553,qwen
-0.0,-1.2306389911906987,qwen
-0.0,-1.0090206697716868,qwen
-0.0,-0.730788664519283,qwen
-0.0,-0.6712619310638807,qwen
-0.0,-0.29322034319915186,qwen
-0.0,-1.0096474052399464,qwen
-0.0,-1.2745251871954553,qwen
-0.0,-1.2306389911906987,qwen
0.0,-1.334284117947914,qwen
0.0,-1.0189659811253209,qwen
0.0,-1.0313097858182638,qwen
0.0,-0.8289335468350536,qwen
0.0,-1.3406811674616443,qwen
0.0,-1.7193270395307843,qwen
0.0,-1.6079471345518201,qwen
0.0,-1.334284117947914,qwen
0.0,-1.0189659811253209,qwen
0.0,-1.0313097858182638,qwen
0.0,-0.8289335468350536,qwen
0.0,-1.3406811674616443,qwen
0.0,-1.7193270395307843,qwen
0.0,-1.6079471345518201,qwen
0.0,-1.334284117947914,qwen
0.0,-1.0189659811253209,qwen
0.0,-1.0313097858182638,qwen
0.0,-0.8289335468350536,qwen
0.0,-1.3406811674616443,qwen
0.0,-1.7193270395307843,qwen
0.0,-1.6079471345518201,qwen
0.0,-1.334284117947914,qwen
0.0,-1.0189659811253209,qwen
0.0,-1.0313097858182638,qwen
0.0,-0.8289335468350536,qwen
0.0,-1.3406811674616443,qwen
0.0,-1.7193270395307843,qwen
0.0,-1.6079471345518201,qwen
0.0,-1.2466771013700002,qwen
0.0,-0.9305833782804209,qwen
0.0,-0.964919573502299,qwen
0.0,-0.7249140488729923,qwen
0.0,-1.2708428033652444,qwen
0.0,-1.586429540500647,qwen
0.0,-1.5538371973850453,qwen
0.0,-1.2466771013700002,qwen
0.0,-0.9305833782804209,qwen
0.0,-0.964919573502299,qwen
0.0,-0.7249140488729923,qwen
0.0,-1.2708428033652444,qwen
0.0,-1.586429540500647,qwen
0.0,-1.5538371973850453,qwen
0.0,-1.2466771013700002,qwen
0.0,-0.9305833782804209,qwen
0.0,-0.964919573502299,qwen
0.0,-0.7249140488729923,qwen
0.0,-1.2708428033652444,qwen
0.0,-1.586429540500647,qwen
0.0,-1.5538371973850453,qwen
0.0,-1.2466771013700002,qwen
0.0,-0.9305833782804209,qwen
0.0,-0.964919573502299,qwen
0.0,-0.7249140488729923,qwen
0.0,-1.2708428033652444,qwen
0.0,-1.586429540500647,qwen
0.0,-1.5538371973850453,qwen
-0.0,-1.1996572890430195,qwen
-0.0,-0.8633908487296685,qwen
-0.0,-0.8948884763034771,qwen
-0.0,-0.5168729686421694,qwen
-0.0,-1.2130040037381453,qwen
-0.0,-1.5845301827388427,qwen
-0.0,-1.4816174497152832,qwen
-0.0,-1.1996572890430195,qwen
-0.0,-0.8633908487296685,qwen
-0.0,-0.8948884763034771,qwen
-0.0,-0.5168729686421694,qwen
-0.0,-1.2130040037381453,qwen
-0.0,-1.5845301827388427,qwen
-0.0,-1.4816174497152832,qwen
-0.0,-1.1996572890430195,qwen
-0.0,-0.8633908487296685,qwen
-0.0,-0.8948884763034771,qwen
-0.0,-0.5168729686421694,qwen
-0.0,-1.2130040037381453,qwen
-0.0,-1.5845301827388427,qwen
-0.0,-1.4816174497152832,qwen
-0.0,-1.1996572890430195,qwen
-0.0,-0.8633908487296685,qwen
-0.0,-0.8948884763034771,qwen
-0.0,-0.5168729686421694,qwen
-0.0,-1.2130040037381453,qwen
-0.0,-1.5845301827388427,qwen
-0.0,-1.4816174497152832,qwen
0.0,-1.3052503352193296,qwen
0.0,-1.0592782962037623,qwen
0.0,-1.0500908866454421,qwen
0.0,-0.8223685776052683,qwen
0.0,-1.3198588333400245,qwen
0.0,-1.587017012788591,qwen
0.0,-1.6119724011053198,qwen
0.0,-1.3052503352193296,qwen
0.0,-1.0592782962037623,qwen
0.0,-1.0500908866454421,qwen
0.0,-0.8223685776052683,qwen
0.0,-1.3198588333400245,qwen
0.0,-1.587017012788591,qwen
0.0,-1.6119724011053198,qwen
0.0,-1.3052503352193296,qwen
0.0,-1.0592782962037623,qwen
0.0,-1.0500908866454421,qwen
0.0,-0.8223685776052683,qwen
0.0,-1.3198588333400245,qwen
0.0,-1.587017012788591,qwen
0.0,-1.6119724011053198,qwen
0.0,-1.3052503352193296,qwen
0.0,-1.0592782962037623,qwen
0.0,-1.0500908866454421,qwen
0.0,-0.8223685776052683,qwen
0.0,-1.3198588333400245,qwen
0.0,-1.587017012788591,qwen
0.0,-1.6119724011053198,qwen
0.0,-1.0586433579363055,qwen
0.0,-0.788753731795749,qwen
0.0,-0.6885885042098165,qwen
0.0,-0.21105968178366796,qwen
0.0,-1.061921282549786,qwen
0.0,-1.369176508505386,qwen
0.0,-1.2949624565385158,qwen
0.0,-1.0586433579363055,qwen
0.0,-0.788753731795749,qwen
0.0,-0.6885885042098165,qwen
0.0,-0.21105968178366796,qwen
0.0,-1.061921282549786,qwen
0.0,-1.369176508505386,qwen
0.0,-1.2949624565385158,qwen
0.0,-1.0586433579363055,qwen
0.0,-0.788753731795749,qwen
0.0,-0.6885885042098165,qwen
0.0,-0.21105968178366796,qwen
0.0,-1.061921282549786,qwen
0.0,-1.369176508505386,qwen
0.0,-1.2949624565385158,qwen
0.0,-1.0586433579363055,qwen
0.0,-0.788753731795749,qwen
0.0,-0.6885885042098165,qwen
0.0,-0.21105968178366796,qwen
0.0,-1.061921282549786,qwen
0.0,-1.369176508505386,qwen
0.0,-1.2949624565385158,qwen
0.0,-1.1530085719912984,qwen
0.0,-0.7983527627747158,qwen
0.0,-0.8712510441235971,qwen
0.0,-0.6312455194942906,qwen
0.0,-1.1771742739865425,qwen
0.0,-1.562173965820279,qwen
0.0,-1.4631986535079708,qwen
0.0,-1.1530085719912984,qwen
0.0,-0.7983527627747158,qwen
0.0,-0.8712510441235971,qwen
0.0,-0.6312455194942906,qwen
0.0,-1.1771742739865425,qwen
0.0,-1.562173965820279,qwen
0.0,-1.4631986535079708,qwen
0.0,-1.1530085719912984,qwen
0.0,-0.7983527627747158,qwen
0.0,-0.8712510441235971,qwen
0.0,-0.6312455194942906,qwen
0.0,-1.1771742739865425,qwen
0.0,-1.562173965820279,qwen
0.0,-1.4631986535079708,qwen
0.0,-1.1530085719912984,qwen
0.0,-0.7983527627747158,qwen
0.0,-0.8712510441235971,qwen
0.0,-0.6312455194942906,qwen
0.0,-1.1771742739865425,qwen
0.0,-1.562173965820279,qwen
0.0,-1.4631986535079708,qwen
0.0,-1.3021208597976621,qwen
0.0,-1.0040196736385287,qwen
0.0,-0.9542944701475191,qwen
0.0,-0.7750035647271591,qwen
0.0,-1.30311144870471,qwen
0.0,-1.5855359567081022,qwen
0.0,-1.5188490649930446,qwen
0.0,-1.3021208597976621,qwen
0.0,-1.0040196736385287,qwen
0.0,-0.9542944701475191,qwen
0.0,-0.7750035647271591,qwen
0.0,-1.30311144870471,qwen
0.0,-1.5855359567081022,qwen
0.0,-1.5188490649930446,qwen
0.0,-1.3021208597976621,qwen
0.0,-1.0040196736385287,qwen
0.0,-0.9542944701475191,qwen
0.0,-0.7750035647271591,qwen
0.0,-1.30311144870471,qwen
