model,layer,variant,row_scope,raw,raw_lo,raw_hi,partial,partial_lo,partial_hi,n_rows,n_games
gptoss,36,V1_gamez,pure_commitment,0.0261235290053385,0.0014868815454453,0.0538019503440191,0.0055125294122026,-0.0291639993574876,0.0368430553805897,525,144
gptoss,36,V1_gamez,heterogeneous_all,0.0899715880951319,0.0614903000201073,0.1193528714049305,0.0716033214657808,0.0326626883971896,0.1093880759953575,576,144
gptoss,36,V1_gamez,pure_complete_games,0.0239117705317505,-0.0005439937404271,0.0526140257911769,0.002659193878063,-0.0293057736791803,0.0343937642928026,432,108
