model,final_layer,angle_decision_incentive_deg,decision_coordinate_delta1c_r,incentive_coordinate_delta1c_r,decision_coordinate_choice_r,layer,slope_pcanonical_per_sd_neural_inc,ci_lo,ci_hi,r,partial_slope_control_delta1c,partial_ci_lo,partial_ci_hi,partial_r,n_games,n,spearman_geometry_behavior_rho,row_scope,n_rows
gptoss,36,85.83621415059281,0.013971713709537705,0.25786366601614275,0.10643090578580389,36,0.0261235290053385,0.0014868815454453,0.0538019503440191,0.13657675390680984,0.0055125294122026,-0.0291639993574876,0.0368430553805897,0.027199569629842088,144,144,1.0,pure_commitment,525
qwen_instruct,80,30.957383683131592,0.3374026952332472,0.3558037079129263,0.2708189902312806,80,0.1793101993602478,0.1494786163464533,0.2111675777455798,0.5820797957234383,0.0466578460498657,0.0106568977823149,0.0823876802961844,0.20763413261625,144,144,1.0,parsed_generated_choice,576
qwen,80,26.68876138172859,0.1062875406933734,0.1395823342278171,0.0990069358227118,80,0.0546649395835861,0.0070721879480101,0.1002097779397685,0.1753422992289802,-0.0121368058764042,-0.0407129077654139,0.0175920557679633,-0.0708815537541114,144,144,1.0,parsed_generated_choice,576
llama31_instruct,80,29.972817572065455,0.2607223430945901,0.3893553109035098,0.2373774893661988,80,0.1345993560240177,0.0982395446740807,0.1732647202408772,0.4398542749485473,0.0056003891933007,-0.0336090703476766,0.0457399621910582,0.0246777287165722,144,144,1.0,parsed_generated_choice,576
