model,layer,slope_pcanonical_per_sd_neural_inc,ci_lo,ci_hi,partial_slope_control_delta1c,partial_ci_lo,partial_ci_hi,row_scope,n_rows,n_games
gptoss,36,0.0261235290053385,0.0014868815454453,0.0538019503440191,0.0055125294122026,-0.0291639993574876,0.0368430553805897,pure_commitment,525,144
llama31_instruct,80,0.1345993560240178,0.0982395446740807,0.1732647202408773,0.0056003891933007,-0.0326277512109423,0.0456278742633562,parsed_generated_choice,576,144
qwen,80,0.0546649395835861,0.00707218794801,0.1002097779397685,-0.0121368058764042,-0.040294512192035,0.0187800909282406,parsed_generated_choice,576,144
qwen_instruct,80,0.1793101993602477,0.1494786163464533,0.2111675777455794,0.0466578460498656,0.0108336449945439,0.0847964024917773,parsed_generated_choice,576,144
