model,round,trait,family,game,a_star,dose,base0,cue0,null0,shift0,nullshift0,abs_shift,abs_nullshift,shift_pref,nullshift_pref,net_pref,base_pref,n_pairs,flips,flips_aligned,source
qwen,1,risk,trait,BaNc,0,1.0,0.5,0.75,0.5,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.5,4,3,2,corrected_integrated_root
qwen,1,risk,trait,BaPc,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,BaPd,0,1.0,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,BaSh,0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4,4,2,corrected_integrated_root
qwen,1,risk,trait,ChAs,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,ChBa,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,ChCh,0,1.0,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,ChCm,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,ChCo,0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,4,2,2,corrected_integrated_root
qwen,1,risk,trait,ChDl,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,ChHa,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,ChHr,0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,4,2,2,corrected_integrated_root
qwen,1,risk,trait,ChNc,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,ChPc,0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,4,2,2,corrected_integrated_root
qwen,1,risk,trait,ChPd,0,1.0,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,ChSh,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
