game_code,dominance_profile,iesds_depth,num_pure_ne,pure_ne_cells,ne_pareto_rankable,ne_distributional_conflict,payoff_variance,payoff_conflict,p1_maximin_action,p2_maximin_action,joint_maximin_cell,maximin_is_ne,maximin_to_ne_action_distance,maximin_to_ne_payoff_distance,l1_action_p1,l1_action_p2,l2_action_p1,l2_action_p2,near_equal_split_cell,pareto_efficient_cells,source,frac_choose_A,entropy_binary,lk_type,emp_class,up_choice,topology,delta_norm,dominant_action_p1,dominant_action_p2,nash_action_p1,nash_action_p2,payoff_dominant_ne_p1,payoff_dominant_ne_p2,risk_dominant_ne_p1,risk_dominant_ne_p2,l0_action_p1,l0_action_p2,cooperative_action_p1,cooperative_action_p2,canonical_action_p1,canonical_action_p2,complexity_score,complexity_score_n_components
CmPc,0,1,1,"(1,1)",,,1.25,1.2,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,-0.07698003589195014,3
CmCo,1,1,1,"(1,0)",,,1.25,1.4,1,1,"(1,1)",False,1.0,2.0,1,1,1,0,"(1,0)","(0,1);(1,0);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,0.03849001794597499,3
CmAs,1,1,1,"(1,0)",,,1.25,1.7999999999999998,1,0,"(1,0)",True,0.0,0.0,1,-1,-1,0,"(0,0)","(0,1);(1,0);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,0.2694301256218253,3
CmSh,1,1,1,"(1,0)",,,1.25,2.0,1,0,"(1,0)",True,0.0,0.0,1,-1,-1,0,"(0,0)","(0,0);(0,1);(1,0);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,0.38490017945975047,3
DlNc,0,1,1,"(1,1)",,,1.25,1.6,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,0.15396007178390023,3
DlHa,0,1,1,"(1,1)",,,1.25,1.0,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,-0.1924500897298753,3
DlPc,0,1,1,"(1,1)",,,1.25,0.6000000000000001,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,-0.42339019740572553,3
DlCo,1,1,1,"(1,0)",,,1.25,0.8,1,1,"(1,1)",False,1.0,2.0,1,1,1,0,"(0,0)","(0,1);(1,0);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,-0.30792014356780045,3
DlAs,1,1,1,"(1,0)",,,1.25,1.4,1,0,"(1,0)",True,0.0,0.0,1,-1,-1,0,"(1,0)","(0,1);(1,0);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,0.03849001794597499,3
DlSh,1,1,1,"(1,0)",,,1.25,1.7999999999999998,1,0,"(1,0)",True,0.0,0.0,1,-1,-1,0,"(1,0)","(0,1);(1,0);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,0.2694301256218253,3
PdNc,0,1,1,"(1,1)",,,1.25,1.0,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,1)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,-0.1924500897298753,3
PdHa,0,1,1,"(1,1)",,,1.25,0.3999999999999999,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,-0.5388602512436508,3
PdPc,0,1,1,"(1,1)",,,1.25,0.20000000000000007,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,-0.6543303050815759,3
PdCo,1,1,1,"(1,0)",,,1.25,0.6000000000000001,1,1,"(1,1)",False,1.0,3.0,1,1,1,0,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,-0.42339019740572553,3
PdAs,1,1,1,"(1,0)",,,1.25,1.2,1,0,"(1,0)",True,0.0,0.0,1,-1,-1,0,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,-0.07698003589195014,3
PdSh,1,1,1,"(1,0)",,,1.25,1.4,1,0,"(1,0)",True,0.0,0.0,1,-1,-1,0,"(1,0)","(0,1);(1,1)",bruns,,,,,,,,1,,1,0,,,,,1,1,,,1,0,0.03849001794597499,3
ChPd,1,2,1,"(0,0)",,,1.25,1.4,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.5098945387370066,3
ChDl,1,2,1,"(0,0)",,,1.25,1.7999999999999998,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.7408346464128569,3
ChCm,1,2,1,"(0,0)",,,1.25,1.6,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.6253645925749319,3
ChHr,2,0,2,"(0,0);(1,1)",False,True,1.25,1.0,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(1,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,0,0,1,0,,,0,0,0.3294593112989456,4
ChBa,2,0,2,"(0,0);(1,1)",False,True,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,2.0,-1,-1,-1,-1,"(1,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,0.15625423054205792,4
ChCh,2,0,2,"(0,0);(1,1)",False,True,1.25,0.8,0,1,"(0,1)",False,1.0,2.0,-1,-1,-1,-1,"(0,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,0.24285677092050179,4
BaPd,1,2,1,"(0,0)",,,1.25,1.2,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.3944244848990815,3
BaDl,1,2,1,"(0,0)",,,1.25,1.4,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.5098945387370066,3
BaCm,1,2,1,"(0,0)",,,1.25,1.0,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.27895443106115636,3
BaHr,2,0,2,"(0,0);(1,1)",False,True,1.25,0.3999999999999999,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,0,0,1,0,,,0,0,0.069651690163614,4
BaBa,2,0,2,"(0,0);(1,1)",False,True,1.25,0.20000000000000007,0,1,"(0,1)",False,1.0,3.0,-1,-1,-1,-1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,-0.016950850214829838,4
BaCh,2,0,2,"(0,0);(1,1)",False,True,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,2.0,-1,-1,-1,-1,"(1,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,0.15625423054205792,4
HrPd,1,2,1,"(0,0)",,,1.25,1.4,1,0,"(1,0)",False,1.0,3.0,1,0,0,0,"(1,0)","(0,0);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.5098945387370066,3
HrDl,1,2,1,"(0,0)",,,1.25,1.2,1,0,"(1,0)",False,1.0,2.0,1,0,0,0,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.3944244848990815,3
HrCm,1,2,1,"(0,0)",,,1.25,0.6000000000000001,1,0,"(1,0)",False,1.0,2.0,1,0,0,0,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,,0,0,0,,,,,1,0,,,0,0,0.04801432338530609,3
HrHr,2,0,2,"(0,0);(1,1)",False,True,1.25,0.20000000000000007,1,0,"(1,0)",False,1.0,3.0,1,0,0,1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,1,0,-0.016950850214829838,4
HrBa,2,0,2,"(0,0);(1,1)",False,True,1.25,0.3999999999999999,1,1,"(1,1)",True,0.0,0.0,1,-1,-1,1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,1,1,1,0,,,1,1,0.069651690163614,4
HrCh,2,0,2,"(0,0);(1,1)",False,True,1.25,1.0,1,1,"(1,1)",True,0.0,0.0,1,-1,-1,1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,1,1,1,0,,,1,1,0.3294593112989456,4
CmPd,0,1,1,"(1,0)",,,1.25,1.7999999999999998,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(1,0)","(0,0);(1,0);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,,,1,0,0.2694301256218253,3
CmDl,0,1,1,"(1,0)",,,1.25,1.4,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(1,0)","(0,0);(1,0);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,,,1,0,0.03849001794597499,3
CmCm,0,1,1,"(1,0)",,,1.25,0.8,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(0,1)","(0,0);(1,0);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,,,1,0,-0.30792014356780045,3
CmHr,1,1,1,"(1,1)",,,1.25,0.6000000000000001,1,0,"(1,0)",False,1.0,2.0,1,0,1,1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,1,,1,1,,,,,1,0,,,1,1,-0.42339019740572553,3
CmBa,1,1,1,"(1,1)",,,1.25,1.0,1,1,"(1,1)",True,0.0,0.0,1,-1,-1,1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,1,,1,1,,,,,1,0,,,1,1,-0.1924500897298753,3
CmCh,1,1,1,"(1,1)",,,1.25,1.6,1,1,"(1,1)",True,0.0,0.0,1,-1,-1,1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,1,,1,1,,,,,1,0,,,1,1,0.15396007178390023,3
DlPd,0,1,1,"(1,0)",,,1.25,2.0,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(0,1)","(0,0);(0,1);(1,0);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,,,1,0,0.38490017945975047,3
DlDl,0,1,1,"(1,0)",,,1.25,1.7999999999999998,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(0,1)","(0,0);(1,0);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,,,1,0,0.2694301256218253,3
DlCm,0,1,1,"(1,0)",,,1.25,1.4,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(1,0)","(0,0);(1,0);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,,,1,0,0.03849001794597499,3
DlHr,1,1,1,"(1,1)",,,1.25,1.2,1,0,"(1,0)",False,1.0,2.0,1,0,1,1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,1,,1,1,,,,,1,0,,,1,1,-0.07698003589195014,3
DlBa,1,1,1,"(1,1)",,,1.25,1.4,1,1,"(1,1)",True,0.0,0.0,1,-1,-1,1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,1,,1,1,,,,,1,0,,,1,1,0.03849001794597499,3
DlCh,1,1,1,"(1,1)",,,1.25,1.7999999999999998,1,1,"(1,1)",True,0.0,0.0,1,-1,-1,1,"(0,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,1,,1,1,,,,,1,0,,,1,1,0.2694301256218253,3
PdPd,0,1,1,"(1,0)",,,1.25,1.7999999999999998,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(0,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,0,1,1,0,0.2694301256218253,3
PdDl,0,1,1,"(1,0)",,,1.25,2.0,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(0,1)","(0,0);(0,1);(1,0);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,,,1,0,0.38490017945975047,3
PdCm,0,1,1,"(1,0)",,,1.25,1.7999999999999998,1,0,"(1,0)",True,0.0,0.0,1,0,1,0,"(1,0)","(0,0);(1,0);(1,1)",bruns,,,,,,,,1,0,1,0,,,,,1,0,,,1,0,0.2694301256218253,3
PdHr,1,1,1,"(1,1)",,,1.25,1.4,1,0,"(1,0)",False,1.0,3.0,1,0,1,1,"(1,0)","(0,0);(1,1)",bruns,,,,,,,,1,,1,1,,,,,1,0,,,1,1,0.03849001794597499,3
