game_code,dominance_profile,iesds_depth,num_pure_ne,pure_ne_cells,ne_pareto_rankable,ne_distributional_conflict,payoff_variance,payoff_conflict,p1_maximin_action,p2_maximin_action,joint_maximin_cell,maximin_is_ne,maximin_to_ne_action_distance,maximin_to_ne_payoff_distance,l1_action_p1,l1_action_p2,l2_action_p1,l2_action_p2,near_equal_split_cell,pareto_efficient_cells,source,frac_choose_A,entropy_binary,lk_type,emp_class,up_choice,topology,delta_norm,dominant_action_p1,dominant_action_p2,nash_action_p1,nash_action_p2,payoff_dominant_ne_p1,payoff_dominant_ne_p2,risk_dominant_ne_p1,risk_dominant_ne_p2,l0_action_p1,l0_action_p2,cooperative_action_p1,cooperative_action_p2,canonical_action_p1,canonical_action_p2,complexity_score,complexity_score_n_components
PcNc,0,1,1,"(0,1)",,,1.25,0.20000000000000007,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,0)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.6543303050815759,3
PcHa,0,1,1,"(0,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.42339019740572553,3
PcPc,0,1,1,"(0,1)",,,1.25,0.8,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.30792014356780045,3
PcCo,1,1,1,"(0,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.42339019740572553,3
PcAs,1,1,1,"(0,1)",,,1.25,0.20000000000000007,0,0,"(0,0)",False,1.0,3.0,0,-1,-1,1,"(0,1)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.6543303050815759,3
PcSh,1,1,1,"(0,1)",,,1.25,0.0,0,0,"(0,0)",False,1.0,2.0,0,-1,-1,1,"(0,0)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.7698003589195012,3
HaNc,0,1,1,"(0,1)",,,1.25,0.0,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,0)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.7698003589195012,3
HaHa,0,1,1,"(0,1)",,,1.25,0.20000000000000007,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.6543303050815759,3
HaPc,0,1,1,"(0,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.42339019740572553,3
HaCo,1,1,1,"(0,1)",,,1.25,0.8,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.30792014356780045,3
HaAs,1,1,1,"(0,1)",,,1.25,0.6000000000000001,0,0,"(0,0)",False,1.0,3.0,0,-1,-1,1,"(0,1)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.42339019740572553,3
HaSh,1,1,1,"(0,1)",,,1.25,0.20000000000000007,0,0,"(0,0)",False,1.0,2.0,0,-1,-1,1,"(0,0)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.6543303050815759,3
NcNc,0,1,1,"(0,1)",,,1.25,0.20000000000000007,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.6543303050815759,3
NcHa,0,1,1,"(0,1)",,,1.25,0.0,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,0)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.7698003589195012,3
NcPc,0,1,1,"(0,1)",,,1.25,0.20000000000000007,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,1,0,1,,,,,0,1,,,0,1,-0.6543303050815759,3
NcCo,1,1,1,"(0,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.42339019740572553,3
NcAs,1,1,1,"(0,1)",,,1.25,0.8,0,0,"(0,0)",False,1.0,4.0,0,-1,-1,1,"(0,0)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.30792014356780045,3
NcSh,1,1,1,"(0,1)",,,1.25,0.6000000000000001,0,0,"(0,0)",False,1.0,3.0,0,-1,-1,1,"(0,1)","(0,1)",bruns,,,,,,,,0,,0,1,,,,,0,1,,,0,1,-0.42339019740572553,3
ShPd,1,2,1,"(1,0)",,,1.25,1.4,1,0,"(1,0)",True,0.0,0.0,-1,0,1,-1,"(1,0)","(0,0);(0,1)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.5098945387370066,3
ShDl,1,2,1,"(1,0)",,,1.25,1.7999999999999998,1,0,"(1,0)",True,0.0,0.0,-1,0,1,-1,"(1,0)","(0,0);(0,1);(1,0)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.7408346464128569,3
ShCm,1,2,1,"(1,0)",,,1.25,2.0,1,0,"(1,0)",True,0.0,0.0,-1,0,1,-1,"(1,0)","(0,0);(0,1);(1,0);(1,1)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.8563047002507821,3
ShHr,2,0,0,,,,1.25,1.7999999999999998,1,0,"(1,0)",False,,,-1,0,1,-1,"(1,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,0,0.5678259637502947,3
ShBa,2,0,0,,,,1.25,1.4,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.3368858560744445,3
ShCh,2,0,0,,,,1.25,1.2,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(0,1)","(0,0);(0,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.22141580223651927,3
AsPd,1,2,1,"(1,0)",,,1.25,1.2,1,0,"(1,0)",True,0.0,0.0,-1,0,1,-1,"(0,1)","(0,0);(0,1)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.3944244848990815,3
AsDl,1,2,1,"(1,0)",,,1.25,1.4,1,0,"(1,0)",True,0.0,0.0,-1,0,1,-1,"(1,0)","(0,0);(0,1);(1,0)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.5098945387370066,3
AsCm,1,2,1,"(1,0)",,,1.25,1.7999999999999998,1,0,"(1,0)",True,0.0,0.0,-1,0,1,-1,"(1,0)","(0,0);(0,1);(1,0)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.7408346464128569,3
AsHr,2,0,0,,,,1.25,2.0,1,0,"(1,0)",False,,,-1,0,1,-1,"(1,0)","(0,0);(0,1);(1,0);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,0,0.68329601758822,3
AsBa,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
AsCh,2,0,0,,,,1.25,1.4,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.3368858560744445,3
CoPd,1,2,1,"(1,0)",,,1.25,0.6000000000000001,0,0,"(0,0)",False,1.0,3.0,0,0,1,0,"(1,1)","(0,0);(0,1)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.04801432338530609,3
CoDl,1,2,1,"(1,0)",,,1.25,0.8,0,0,"(0,0)",False,1.0,2.0,0,0,1,0,"(1,0)","(0,0);(0,1);(1,0)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.16348437722323123,3
CoCm,1,2,1,"(1,0)",,,1.25,1.4,0,0,"(0,0)",False,1.0,2.0,0,0,1,0,"(1,0)","(0,0);(0,1);(1,0)",bruns,,,,,,,,,0,1,0,,,,,0,0,,,1,0,0.5098945387370066,3
CoHr,2,0,0,,,,1.25,1.7999999999999998,0,0,"(0,0)",False,,,0,0,1,0,"(1,0)","(0,0);(0,1);(1,0)",bruns,,,,,,,,,,,,,,,,0,0,,,0,0,0.5678259637502947,3
CoBa,2,0,0,,,,1.25,1.6,0,1,"(0,1)",False,,,0,-1,-1,0,"(0,0)","(0,0);(0,1)",bruns,,,,,,,,,,,,,,,,0,0,,,0,1,0.4523559099123697,3
CoCh,2,0,0,,,,1.25,1.0,0,1,"(0,1)",False,,,0,-1,-1,0,"(0,1)","(0,0);(0,1)",bruns,,,,,,,,,,,,,,,,0,0,,,0,1,0.10594574839859416,3
PcPd,0,1,1,"(0,0)",,,1.25,0.20000000000000007,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(1,0)","(0,0);(0,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,-0.6543303050815759,3
PcDl,0,1,1,"(0,0)",,,1.25,0.6000000000000001,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(1,1)","(0,0);(0,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,-0.42339019740572553,3
PcCm,0,1,1,"(0,0)",,,1.25,1.2,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(0,0)","(0,0);(0,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,-0.07698003589195014,3
PcHr,1,1,1,"(0,0)",,,1.25,1.4,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(1,0)","(0,0);(0,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,0.03849001794597499,3
PcBa,1,1,1,"(0,0)",,,1.25,1.0,0,1,"(0,1)",False,1.0,3.0,0,-1,-1,0,"(0,0)","(0,0);(0,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,-0.1924500897298753,3
PcCh,1,1,1,"(0,0)",,,1.25,0.3999999999999999,0,1,"(0,1)",False,1.0,2.0,0,-1,-1,0,"(0,0)","(0,0);(0,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,-0.5388602512436508,3
HaPd,0,1,1,"(0,0)",,,1.25,0.3999999999999999,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(0,0)","(0,0);(0,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,-0.5388602512436508,3
HaDl,0,1,1,"(0,0)",,,1.25,1.0,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(0,0)","(0,0);(0,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,-0.1924500897298753,3
HaCm,0,1,1,"(0,0)",,,1.25,1.4,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(1,1)","(0,0);(0,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,0.03849001794597499,3
HaHr,1,1,1,"(0,0)",,,1.25,1.2,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(0,0)","(0,0);(0,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,-0.07698003589195014,3
HaBa,1,1,1,"(0,0)",,,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,3.0,0,-1,-1,0,"(1,0)","(0,0);(0,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,-0.42339019740572553,3
HaCh,1,1,1,"(0,0)",,,1.25,0.20000000000000007,0,1,"(0,1)",False,1.0,2.0,0,-1,-1,0,"(1,0)","(0,0);(0,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,-0.6543303050815759,3
NcPd,0,1,1,"(0,0)",,,1.25,1.0,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(0,1)","(0,0);(0,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,-0.1924500897298753,3
NcDl,0,1,1,"(0,0)",,,1.25,1.6,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(0,0)","(0,0);(0,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,0.15396007178390023,3
NcCm,0,1,1,"(0,0)",,,1.25,1.7999999999999998,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,0,0,0,0,,,,,0,0,,,0,0,0.2694301256218253,3
NcHr,1,1,1,"(0,0)",,,1.25,1.4,0,0,"(0,0)",True,0.0,0.0,0,0,0,0,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,0.03849001794597499,3
NcBa,1,1,1,"(0,0)",,,1.25,0.8,0,1,"(0,1)",False,1.0,4.0,0,-1,-1,0,"(1,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,-0.30792014356780045,3
NcCh,1,1,1,"(0,0)",,,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,3.0,0,-1,-1,0,"(1,0)","(0,0);(0,1)",bruns,,,,,,,,0,,0,0,,,,,0,0,,,0,0,-0.42339019740572553,3
