unique_id,game_id,up_choice,p1_AA,p1_AB,p1_BA,p1_BB,p2_AA,p2_AB,p2_BA,p2_BB,role,topology_raw,choice_br,choice_psne
921,461,0.7894736842105263,40,1,14,9,20,16,1,12,rowplayer,"('staghunt', 'staghunt')",0.7894736842105263,1
970,485,0.7714285714285715,36,15,10,30,22,2,16,20,colplayer,"('safecoord', 'safecoord')",0.7714285714285715,1
969,485,0.8285714285714286,22,16,2,20,36,10,15,30,rowplayer,"('safecoord', 'safecoord')",0.8285714285714286,1
974,487,1.0,46,5,16,1,42,32,30,15,colplayer,"('concord', 'concord')",1,1
973,487,1.0,42,30,32,15,46,16,5,1,rowplayer,"('concord', 'concord')",1,1
1026,513,0.59375,25,3,33,1,13,32,12,4,colplayer,"('chicken', 'chicken')",0.40625,1
1025,513,0.7222222222222222,13,12,32,4,25,33,3,1,rowplayer,"('chicken', 'chicken')",0.2777777777777778,1
1076,538,0.5116279069767442,15,9,11,13,39,9,5,24,colplayer,"('assurance', 'assurance')",0.5116279069767442,1
1075,538,0.6444444444444445,39,5,9,24,15,11,9,13,rowplayer,"('assurance', 'assurance')",0.6444444444444445,1
1094,547,0.6923076923076923,13,3,5,9,30,8,7,16,colplayer,"('assurance', 'assurance')",0.6923076923076923,1
1093,547,0.8367346938775511,30,7,8,16,13,5,3,9,rowplayer,"('assurance', 'assurance')",0.8367346938775511,1
1106,553,0.9428571428571428,26,4,2,6,32,1,7,28,colplayer,"('safecoord', 'safecoord')",0.9428571428571428,1
1105,553,0.8,32,7,1,28,26,2,4,6,rowplayer,"('safecoord', 'safecoord')",0.8,1
1120,560,0.85,34,1,10,3,21,7,1,6,colplayer,"('staghunt', 'staghunt')",0.85,1
1119,560,0.7647058823529411,21,1,7,6,34,10,1,3,rowplayer,"('staghunt', 'staghunt')",0.7647058823529411,1
1164,582,0.3684210526315789,1,13,14,3,11,18,17,13,colplayer,"('hero', 'hero')",0.631578947,1
1163,582,0.4827586206896552,11,17,18,13,1,14,13,3,rowplayer,"('hero', 'hero')",0.5172413793103449,1
1230,615,0.5853658536585366,7,31,40,3,3,39,34,1,colplayer,"('leader', 'leader')",0.4146341463414634,1
1229,615,0.6875,3,34,39,1,7,40,31,3,rowplayer,"('leader', 'leader')",0.3125,1
1250,625,0.2727272727272727,12,6,42,4,21,24,14,3,colplayer,"('chicken', 'chicken')",0.7272727272727273,1
1249,625,0.8181818181818182,21,14,24,3,12,42,6,4,rowplayer,"('chicken', 'chicken')",0.8181818181818182,1
