model,layer,depth_frac,angle_deg,null_lo,null_med,null_hi,perm_p,sig,gain_r,dec_cohen_d,belief,row_scope,n_obs,n_games
qwen_instruct,1,0.0125,70.42086968946474,43.50405350710415,56.90845864363513,71.79044366614966,0.9353233830845771,False,0.07259182528587284,0.8163024071706955,uniform,parsed_generated_choice,576,144
qwen_instruct,2,0.025,60.01623576409267,49.94294065264035,57.00283094941632,66.24029863009294,0.736318407960199,False,0.16519213278202075,1.0354429229622255,uniform,parsed_generated_choice,576,144
qwen_instruct,3,0.0375,57.55539048675603,49.31524695096097,56.81360224921518,65.14665003354658,0.5970149253731343,False,0.2043341104972412,1.2086063253657546,uniform,parsed_generated_choice,576,144
qwen_instruct,4,0.05,57.435927730101014,50.127252084126305,57.188106974828244,63.08810716440442,0.5422885572139303,False,0.2241098569904411,1.2686558494495512,uniform,parsed_generated_choice,576,144
qwen_instruct,5,0.0625,57.23173225468682,51.14213083785696,57.008684005659156,62.24005344464107,0.5522388059701493,False,0.2176384777525628,1.2143143206381,uniform,parsed_generated_choice,576,144
qwen_instruct,6,0.075,57.204813147719506,50.659320413790304,57.02459605221939,63.41967698898439,0.5223880597014925,False,0.21633871538727673,1.2104089209678246,uniform,parsed_generated_choice,576,144
qwen_instruct,7,0.0875,56.19430946918872,51.823645987601736,57.13671485513309,61.31411161879366,0.3482587064676617,False,0.22852660039151998,1.233749944572306,uniform,parsed_generated_choice,576,144
qwen_instruct,8,0.1,57.92803979414522,52.59282653310991,56.957780893899894,61.51783595766852,0.6467661691542289,False,0.24429709545491737,1.4524078876202788,uniform,parsed_generated_choice,576,144
qwen_instruct,9,0.1125,60.70572490849339,52.94032088910353,56.63420328986124,61.08218847479724,0.9651741293532339,False,0.257522590718464,1.7338977558071706,uniform,parsed_generated_choice,576,144
qwen_instruct,10,0.125,60.01110060064679,52.878769477563395,56.68340043357094,60.65348348817935,0.9402985074626866,False,0.27145844809453545,1.813949315386611,uniform,parsed_generated_choice,576,144
qwen_instruct,11,0.1375,59.37683773486657,53.03484279805682,56.71402832598001,60.10674831963144,0.9253731343283582,False,0.27282595313105246,1.8068016513947354,uniform,parsed_generated_choice,576,144
qwen_instruct,12,0.15,59.391788681378046,52.84812810681604,56.38953918973286,60.39218301665341,0.945273631840796,False,0.29090609649137705,1.933199316262342,uniform,parsed_generated_choice,576,144
qwen_instruct,13,0.1625,59.973400421339214,52.29771300572603,56.58602619206403,61.67885739350894,0.9353233830845771,False,0.2643868354542088,1.7160514974903338,uniform,parsed_generated_choice,576,144
qwen_instruct,14,0.175,60.11001595617496,53.73456723875669,57.26215816976762,61.125341215683015,0.9303482587064676,False,0.20159717089785362,1.1823208214150858,uniform,parsed_generated_choice,576,144
qwen_instruct,15,0.1875,60.673593250854836,53.10598150916592,56.92774517646758,60.84302859987695,0.9651741293532339,False,0.21535247236930855,1.2455946159280773,uniform,parsed_generated_choice,576,144
qwen_instruct,16,0.2,61.01990474707383,53.20408193642618,57.542399998571646,60.813097581375004,0.9800995024875622,False,0.1765820402562206,0.9831139193970697,uniform,parsed_generated_choice,576,144
qwen_instruct,17,0.2125,59.47028431604701,53.728294629399194,57.54057601859465,60.96903877661477,0.8955223880597015,False,0.22889873424726412,1.2604027420895232,uniform,parsed_generated_choice,576,144
qwen_instruct,18,0.225,58.80000013855718,53.638869268998995,57.25160224524581,61.44512840348412,0.7810945273631841,False,0.24248426046323465,1.3208452991269573,uniform,parsed_generated_choice,576,144
qwen_instruct,19,0.2375,59.27716164501383,53.08123148816185,57.04608576018623,60.73011023246174,0.8208955223880597,False,0.23689741091687389,1.3256541207006503,uniform,parsed_generated_choice,576,144
qwen_instruct,20,0.25,58.35694488901027,53.44264095856885,56.79204093647947,60.68637159812459,0.736318407960199,False,0.2304985880574912,1.2420465876252245,uniform,parsed_generated_choice,576,144
qwen_instruct,21,0.2625,58.307667512535446,53.60009193845456,57.049092422343136,60.88336182204826,0.7213930348258707,False,0.19689561479240897,1.0236722570488026,uniform,parsed_generated_choice,576,144
qwen_instruct,22,0.275,59.497291139887196,54.23294455212812,57.53601735055224,60.939101860927,0.8656716417910447,False,0.1696650195038536,0.9001052854539964,uniform,parsed_generated_choice,576,144
qwen_instruct,23,0.2875,60.125483653180545,53.98152299090205,57.98653059927793,61.31609039532966,0.8656716417910447,False,0.13152990177533902,0.6957367615120217,uniform,parsed_generated_choice,576,144
qwen_instruct,24,0.3,63.32924028771448,57.50964173672505,60.83846637750668,64.16482131525733,0.9054726368159204,False,0.053153892590863755,0.3170286307280174,uniform,parsed_generated_choice,576,144
qwen_instruct,25,0.3125,64.4186456080657,56.974846242925864,61.13347162327656,64.50647936650702,0.9651741293532339,False,0.05027114219645623,0.3137535624469431,uniform,parsed_generated_choice,576,144
qwen_instruct,26,0.325,64.33919469960253,57.40652729026267,60.67319244575161,64.7532497288007,0.9651741293532339,False,0.04902530877675553,0.30700532781472883,uniform,parsed_generated_choice,576,144
qwen_instruct,27,0.3375,63.324183277414654,56.442735730592865,60.45584349668652,64.26379364484735,0.9303482587064676,False,0.05307758099154512,0.3193793710727111,uniform,parsed_generated_choice,576,144
qwen_instruct,28,0.35,63.364899401347856,56.20984463167408,60.282989900643884,64.35026925584594,0.9154228855721394,False,0.05012201754029308,0.3066596043521711,uniform,parsed_generated_choice,576,144
qwen_instruct,29,0.3625,63.51633475154895,56.26961812910242,60.32862002165075,63.95947707500758,0.9402985074626866,False,0.050901058857920095,0.31596964953361695,uniform,parsed_generated_choice,576,144
