substrate,belief,layer,depth_frac,angle_deg,null_lo,null_med,null_hi,perm_p,sig,n,n_games,row_scope
router_gate,uniform,1,0.02857142857142857,90.90847308029772,32.44470022895915,69.59917395208551,133.10668824077803,0.7661691542288557,False,432,108,pure_complete_games
router_gate,uniform,3,0.08571428571428572,93.67609201810488,32.2963944200151,72.66400041433994,115.26380686081173,0.8059701492537313,False,432,108,pure_complete_games
router_gate,uniform,6,0.17142857142857143,134.3822902748396,18.78834766661076,70.16894964978827,146.5723208304143,0.9104477611940298,False,432,108,pure_complete_games
router_gate,uniform,9,0.2571428571428571,129.75665161565945,16.15988355890405,69.04104883047033,158.68802806617487,0.7761194029850746,False,432,108,pure_complete_games
router_gate,uniform,12,0.34285714285714286,134.73352462670857,12.455689255039532,71.58717827339461,157.1715933947069,0.8208955223880597,False,432,108,pure_complete_games
router_gate,uniform,15,0.42857142857142855,126.55744079922255,13.139492320765894,74.62681134578963,156.5114350065939,0.8258706467661692,False,432,108,pure_complete_games
router_gate,uniform,18,0.5142857142857142,123.09860837486852,19.08277701808137,66.95141313442029,153.47391522962545,0.8258706467661692,False,432,108,pure_complete_games
router_gate,uniform,21,0.6,126.64700728045264,22.74464452264021,73.59345270852482,144.41261139155478,0.8308457711442786,False,432,108,pure_complete_games
router_gate,uniform,22,0.6285714285714286,123.6667171526732,22.73247202983949,72.07908654965986,146.89818132264466,0.8756218905472637,False,432,108,pure_complete_games
router_gate,uniform,24,0.6857142857142857,130.80894977681544,20.3063505455366,74.65847237141122,147.18154627671547,0.9303482587064676,False,432,108,pure_complete_games
router_gate,uniform,27,0.7714285714285715,118.06239524349539,25.00254234832007,77.25428216882489,136.82572330140485,0.8805970149253731,False,432,108,pure_complete_games
router_gate,uniform,30,0.8571428571428571,131.37460375521778,18.856758695532505,72.08843471785164,143.24723052311515,0.9253731343283582,False,432,108,pure_complete_games
router_gate,uniform,33,0.9428571428571428,109.93003002065386,21.563534024442202,78.48134297597562,142.48018835314272,0.8059701492537313,False,432,108,pure_complete_games
router_gate,uniform,35,1.0,104.41131760514581,24.939871382651557,76.0644707396074,145.78763429487535,0.7711442786069652,False,432,108,pure_complete_games
router_gate,empirical,1,0.02857142857142857,80.54479053822888,36.026570085033605,88.38816638809048,140.40343877074233,0.4129353233830846,False,432,108,pure_complete_games
router_gate,empirical,3,0.08571428571428572,86.6303184878365,39.17569794415215,89.47447278542049,129.91908682510336,0.47761194029850745,False,432,108,pure_complete_games
router_gate,empirical,6,0.17142857142857143,116.35991989411826,20.049752706747988,87.96058216636987,152.99382420651074,0.7562189054726368,False,432,108,pure_complete_games
router_gate,empirical,9,0.2571428571428571,92.19792046512916,17.363426928001036,89.50290864837135,165.17998251064992,0.5124378109452736,False,432,108,pure_complete_games
router_gate,empirical,12,0.34285714285714286,98.25160982800617,15.998553346246688,83.12887553616508,164.7167382730022,0.582089552238806,False,432,108,pure_complete_games
router_gate,empirical,15,0.42857142857142855,97.47521113956414,15.718524128807251,91.05984013286061,164.57549547096136,0.5472636815920398,False,432,108,pure_complete_games
router_gate,empirical,18,0.5142857142857142,103.47565940797148,21.201997331928705,89.39857801294688,155.26392322942513,0.6368159203980099,False,432,108,pure_complete_games
router_gate,empirical,21,0.6,98.23941317928112,26.969812548908124,87.9305852942087,150.75635072691384,0.5572139303482587,False,432,108,pure_complete_games
router_gate,empirical,22,0.6285714285714286,89.05465956185941,24.61873697909518,94.40533422427993,153.62264705298765,0.43283582089552236,False,432,108,pure_complete_games
router_gate,empirical,24,0.6857142857142857,91.68457378674196,25.850896802018283,81.2861737341621,151.1369962353107,0.6069651741293532,False,432,108,pure_complete_games
router_gate,empirical,27,0.7714285714285715,92.40672747886934,28.511862293637318,88.40750228842072,151.93212272090585,0.5572139303482587,False,432,108,pure_complete_games
router_gate,empirical,30,0.8571428571428571,91.05266543278337,20.86485438947786,85.21187160467858,149.6486432695617,0.5223880597014925,False,432,108,pure_complete_games
router_gate,empirical,33,0.9428571428571428,73.93597477403385,30.746996187622457,88.93696033590595,148.25319446882565,0.3333333333333333,False,432,108,pure_complete_games
router_gate,empirical,35,1.0,67.13713864404734,27.512074471836787,92.15067039391936,155.91046648030948,0.26865671641791045,False,432,108,pure_complete_games
