model,layer,angle_decision_incentive_deg,null_median_deg,null_lo_deg,null_hi_deg,perm_p,below_null,row_scope,n_obs,n_games,n_perm,independent_shuffle_median_deg
gptoss,1,111.7144961246524,67.3422912993776,22.645436057858348,147.26473005304098,0.8407960199004975,False,pure_complete_games,432,108,200,
gptoss,2,106.04419187175506,70.35964155749413,24.742642446634186,130.64408228424918,0.8407960199004975,False,pure_complete_games,432,108,200,
gptoss,3,101.44122479397964,69.58907055490764,27.030668114690204,137.4104536267108,0.8009950248756219,False,pure_complete_games,432,108,200,
gptoss,4,96.63077992959634,75.66398384561954,29.35683055370655,133.99634930109164,0.7263681592039801,False,pure_complete_games,432,108,200,
gptoss,5,101.56308772282146,73.43248989005684,26.14049591032734,129.45954982989377,0.746268656716418,False,pure_complete_games,432,108,200,
gptoss,6,99.0756807742556,71.84916229862044,28.68051826646093,130.87807106567922,0.8009950248756219,False,pure_complete_games,432,108,200,
gptoss,7,116.17585495609852,66.74922734500527,21.19534931192394,148.9056241741566,0.8308457711442786,False,pure_complete_games,432,108,200,
gptoss,8,117.85550475198316,69.05841064010026,23.584645208405146,144.10304897006046,0.8059701492537313,False,pure_complete_games,432,108,200,
gptoss,9,119.19759886715626,64.3030278189805,17.75667489386865,148.37274195487555,0.8159203980099502,False,pure_complete_games,432,108,200,
gptoss,10,115.04172953050168,74.23037826040024,19.491943996464787,143.82673014286766,0.8507462686567164,False,pure_complete_games,432,108,200,
gptoss,11,111.60488265820332,73.03850484774608,22.25019925191299,145.07259555609647,0.7860696517412935,False,pure_complete_games,432,108,200,
gptoss,12,113.46323358921124,67.98831490478122,21.489818408128993,134.91238829296248,0.8656716417910447,False,pure_complete_games,432,108,200,
gptoss,13,103.6709294442177,76.70153647073042,26.69218500649192,144.87673938174206,0.746268656716418,False,pure_complete_games,432,108,200,
gptoss,14,99.57950887184656,75.51676246164018,26.072439904903742,144.65245217891874,0.7512437810945274,False,pure_complete_games,432,108,200,
gptoss,15,102.31760623850316,76.2456060797627,22.346420516494796,143.05100401485123,0.7114427860696517,False,pure_complete_games,432,108,200,
gptoss,16,98.02001131360238,69.06067972410531,22.458761976534745,131.83089087191195,0.736318407960199,False,pure_complete_games,432,108,200,
gptoss,17,92.6993703543271,72.27872360996875,25.8547831375077,136.03535976392772,0.6965174129353234,False,pure_complete_games,432,108,200,
gptoss,18,81.61771906109136,75.34797837540697,27.494665026637396,131.16352395598372,0.5870646766169154,False,pure_complete_games,432,108,200,
gptoss,19,82.77727599536723,75.92753127758344,30.75310718140247,130.0988085345331,0.6069651741293532,False,pure_complete_games,432,108,200,
gptoss,20,93.05316586665982,76.15229809518144,32.68737377372823,125.0941005182114,0.7910447761194029,False,pure_complete_games,432,108,200,
gptoss,21,96.87043489430197,82.460959655905,31.470333059711507,129.7400831226534,0.7213930348258707,False,pure_complete_games,432,108,200,
gptoss,22,97.54833581779808,70.16273973761416,36.70770439549086,126.40910731347655,0.8009950248756219,False,pure_complete_games,432,108,200,
gptoss,23,107.03649871820058,68.56012468203903,28.85496021510888,134.95498998983118,0.8208955223880597,False,pure_complete_games,432,108,200,
gptoss,24,104.42904757437852,79.07788863372616,30.767417535113346,132.8533023629468,0.8009950248756219,False,pure_complete_games,432,108,200,
gptoss,25,103.50609153996685,74.34176017668511,27.63975592749042,132.01474671761235,0.835820895522388,False,pure_complete_games,432,108,200,
gptoss,26,103.55662015935457,72.49886828839598,30.04731495138208,132.3212405431201,0.8159203980099502,False,pure_complete_games,432,108,200,
gptoss,27,104.01069620196633,73.31374569131327,28.34338959032757,142.94298721746276,0.7562189054726368,False,pure_complete_games,432,108,200,
gptoss,28,98.6014718739273,81.09009896990389,34.07826017348955,132.83685994515244,0.7164179104477612,False,pure_complete_games,432,108,200,
gptoss,29,98.568063200781,78.03121899856255,31.24033469036469,132.4264125556537,0.7014925373134329,False,pure_complete_games,432,108,200,
gptoss,30,96.6376853707269,81.65512456641306,30.547326535834873,131.9446953679616,0.6666666666666666,False,pure_complete_games,432,108,200,
gptoss,31,101.621524454305,72.88093037069596,32.996067876723316,133.89430816457994,0.7810945273631841,False,pure_complete_games,432,108,200,
gptoss,32,93.7684980309406,74.66056166837132,31.4719750777566,130.11313490812634,0.7064676616915423,False,pure_complete_games,432,108,200,
gptoss,33,95.56948959292444,76.5291146830448,27.542358134248417,132.89805783006668,0.7313432835820896,False,pure_complete_games,432,108,200,
gptoss,34,95.91931655214016,75.15372190046848,29.99258949469632,134.42295318707926,0.7213930348258707,False,pure_complete_games,432,108,200,
gptoss,35,97.56462733386984,78.28258127402145,34.87564054810574,134.97316624772566,0.7661691542288557,False,pure_complete_games,432,108,200,
gptoss,36,91.10072423763263,78.84948228753186,29.239953911932748,128.2349358816282,0.6517412935323383,False,pure_complete_games,432,108,200,89.322021484375
llama31_instruct,1,58.709282792758344,58.27796827404521,44.508976012633944,79.60336099417302,0.527363184079602,False,parsed_generated_choice,576,144,200,
llama31_instruct,2,58.835684601803834,58.99479561569035,49.69452336449561,68.81269521335278,0.4875621890547263,False,parsed_generated_choice,576,144,200,
llama31_instruct,3,59.58746422362595,59.15777580106096,49.271054047578424,68.33168587853282,0.527363184079602,False,parsed_generated_choice,576,144,200,
llama31_instruct,4,58.966706703066194,58.74484311937011,51.65087033401576,64.99166558094431,0.5522388059701493,False,parsed_generated_choice,576,144,200,
llama31_instruct,5,59.39075439645679,58.390142012135115,51.44583315851602,63.57500702314491,0.6467661691542289,False,parsed_generated_choice,576,144,200,
llama31_instruct,6,59.35731101877016,58.218641014578715,53.05262624480728,63.3176377057014,0.681592039800995,False,parsed_generated_choice,576,144,200,
llama31_instruct,7,59.638639742771,58.036466414963314,52.890565594782814,63.83692812672613,0.7014925373134329,False,parsed_generated_choice,576,144,200,
