period,model,cue,n_games,n_moved_real,mean_abs_real,mean_abs_real_lo,mean_abs_real_hi,mean_signed_target_real,mean_signed_target_real_lo,mean_signed_target_real_hi,frac_toward_real,frac_toward_real_nonzero,directional_efficiency_real,n_moved_pref,mean_abs_pref,mean_abs_pref_lo,mean_abs_pref_hi,mean_signed_target_pref,mean_signed_target_pref_lo,mean_signed_target_pref_hi,frac_toward_pref,frac_toward_pref_nonzero,directional_efficiency_pref
all10,gptoss,inequity,30,13,0.051111111111111114,0.02555555555555556,0.0811111111111111,-0.006666666666666664,-0.04111111111111111,0.02444444444444445,0.23333333333333334,0.5384615384615384,-0.1304347826086956,30,0.03518099619662143,0.02268728270497769,0.04982835301919525,0.009072619833061577,-0.008235425959298699,0.027744803512125337,0.5,0.5,0.2578841082940357
all10,gptoss,level1,67,32,0.06019900497512438,0.03880597014925372,0.08308457711442785,-0.01243781094527363,-0.041305970149253725,0.013930348258706466,0.208955223880597,0.4375,-0.20661157024793386,67,0.047470473700880915,0.035441643915196754,0.06107355521310564,-0.0007588781639314481,-0.018351175158702875,0.015595279194407867,0.5223880597014925,0.5223880597014925,-0.01598631959548711
all10,gptoss,level2,35,17,0.07047619047619048,0.04095238095238096,0.1019047619047619,-4.758098676964957e-18,-0.03714285714285715,0.041904761904761896,0.22857142857142856,0.47058823529411764,-6.751356230828653e-17,35,0.06841728096498353,0.04249447642780391,0.09822973540861107,0.0005875730480645935,-0.03448399678504495,0.037113938033447334,0.4,0.4,0.00858807949946619
all10,gptoss,loss,76,35,0.06578947368421054,0.046052631578947366,0.0868421052631579,7.304098846218135e-19,-0.025449561403508767,0.025,0.2236842105263158,0.4857142857142857,1.1102230246251563e-17,76,0.057302263340569745,0.043237208868028607,0.07232303560910466,0.0019023851514148066,-0.017645061835884292,0.021410355739651936,0.4868421052631579,0.4868421052631579,0.03319912758259108
all10,gptoss,maximin,76,59,0.1013157894736842,0.07763157894736843,0.1276315789473684,-0.006578947368421035,-0.04035087719298243,0.027631578947368427,0.5131578947368421,0.6610169491525424,-0.06493506493506476,76,0.053032819058388546,0.042148691611367604,0.06513069199368793,0.02662555615618421,0.011245432271110807,0.04193744908654373,0.75,0.75,0.5020580958909571
all10,gptoss,risk,76,34,0.05921052631578947,0.039473684210526314,0.07983552631578952,0.011842105263157899,-0.012719298245614028,0.03728070175438597,0.25,0.5588235294117647,0.20000000000000007,76,0.055065704576367495,0.042281458046948994,0.07013846844291369,0.012419614908631282,-0.005755701889630958,0.031694419116183724,0.5789473684210527,0.5789473684210527,0.22554174152819972
all10,gptoss,selfish,67,39,0.1,0.06815920398009952,0.13235074626865678,-0.002487562189054726,-0.04427860696517413,0.03781094527363184,0.2537313432835821,0.4358974358974359,-0.024875621890547258,67,0.06295657125629338,0.04876951388196371,0.07831322084468159,-0.009882831128681928,-0.030313209179685788,0.011674450430152172,0.417910447761194,0.417910447761194,-0.15697854777461379
all10,llama31_instruct,inequity,30,28,0.16333333333333336,0.1277777777777778,0.1988888888888889,0.04333333333333332,-0.025555555555555567,0.1111111111111111,0.5333333333333333,0.5714285714285714,0.2653061224489795,30,0.05036798023697833,0.0400383627878704,0.06186859445573925,0.013479372117329235,-0.007462092290354904,0.03401332738543974,0.6,0.6,0.26761788052468244
all10,llama31_instruct,level1,67,61,0.1582089552238806,0.1288557213930348,0.18955223880597014,-0.01890547263681592,-0.06865671641791044,0.02885572139303483,0.43283582089552236,0.47540983606557374,-0.11949685534591194,67,0.041611558345057045,0.03426563132795388,0.050020546509482566,-0.00417513778530121,-0.01736523694748664,0.007757685519881676,0.47761194029850745,0.47761194029850745,-0.10033601122744701
all10,llama31_instruct,level2,35,33,0.2419047619047619,0.18761904761904763,0.2961904761904762,-0.022857142857142868,-0.11904761904761903,0.07238095238095237,0.45714285714285713,0.48484848484848486,-0.094488188976378,35,0.06195646048083333,0.04966865639104671,0.07451617457832191,-0.0013186275795536487,-0.024317783595522603,0.023541506408401674,0.5142857142857142,0.5142857142857142,-0.021283132853620254
all10,llama31_instruct,loss,76,66,0.14956140350877192,0.12236842105263157,0.1793859649122807,0.01008771929824562,-0.03333333333333333,0.05350877192982456,0.4868421052631579,0.5606060606060606,0.0674486803519062,76,0.05540639077328522,0.04694767813858473,0.0647351817147601,0.007949169504712838,-0.007827744012530476,0.023462676660146203,0.5526315789473685,0.5526315789473685,0.1434702638769536
all10,llama31_instruct,maximin,76,66,0.13684210526315788,0.11622807017543858,0.16008771929824558,0.01929824561403509,-0.019298245614035082,0.057456140350877184,0.5263157894736842,0.6060606060606061,0.14102564102564105,76,0.036887551775447516,0.031110716089908223,0.04303095777365777,0.009550311052717465,-0.00043677710990064475,0.01952137296918255,0.618421052631579,0.618421052631579,0.2589033588039363
all10,llama31_instruct,risk,76,74,0.22543859649122808,0.1903508771929825,0.2631688596491229,0.010526315789473667,-0.051326754385964915,0.07149122807017542,0.5526315789473685,0.5675675675675675,0.04669260700389097,76,0.09233897375724472,0.07838367694089055,0.10773864860802601,-0.007584506175551349,-0.0324591404484865,0.017790371111364865,0.4868421052631579,0.4868421052631579,-0.08213764856744778
all10,llama31_instruct,selfish,67,67,0.24129353233830847,0.20796019900497512,0.27512437810945267,0.01840796019900497,-0.049763681592039796,0.08557213930348258,0.5373134328358209,0.5373134328358209,0.07628865979381441,67,0.04447531342287116,0.03623833658105584,0.053613965304324086,0.006187746032088705,-0.007458458434881351,0.01943263799800448,0.5522388059701493,0.5522388059701493,0.13912765432939467
all10,qwen,inequity,30,24,0.30444444444444446,0.2144444444444444,0.40447222222222234,0.21555555555555558,0.09333333333333332,0.34,0.5666666666666667,0.7083333333333334,0.708029197080292,30,0.1553439115974677,0.12080429606930936,0.1913929710008957,0.11252184018673327,0.06223141858951592,0.1652900037058397,0.7666666666666667,0.7666666666666667,0.7243402012323702
all10,qwen,level1,67,32,0.2338308457711443,0.16169154228855723,0.3129353233830846,0.0925373134328358,0.0059452736318407985,0.18308457711442785,0.29850746268656714,0.625,0.39574468085106373,67,0.1474887906366244,0.11822439363363846,0.17864930826324338,0.07410884135471507,0.03204307424045349,0.11864962166701991,0.5522388059701493,0.5522388059701493,0.5024710083717533
all10,qwen,level2,35,18,0.21238095238095236,0.12571428571428572,0.3085714285714286,-0.04095238095238096,-0.15621428571428572,0.07714285714285714,0.2,0.3888888888888889,-0.19282511210762338,35,0.13406580094198334,0.10329209263225979,0.16558308710714728,-0.06127387467643675,-0.11143762554245416,-0.010853877239343501,0.37142857142857144,0.37142857142857144,-0.4570432895332709
all10,qwen,loss,76,54,0.25131578947368416,0.19473684210526318,0.31052631578947365,-0.006578947368421058,-0.08464912280701756,0.0776315789473684,0.3026315789473684,0.42592592592592593,-0.026178010471204216,76,0.11747879844426812,0.09977994807011717,0.13632569561106442,-0.03308779166451744,-0.06366533626716742,-0.00015736734363395937,0.3026315789473684,0.3026315789473684,-0.28164904734035284
all10,qwen,maximin,76,35,0.18333333333333335,0.12805921052631575,0.24605263157894736,0.10526315789473684,0.03859649122807018,0.1758881578947369,0.3157894736842105,0.6857142857142857,0.5741626794258372,76,0.09006453019025723,0.0719466906636183,0.10966540822617853,0.0177852572765836,-0.008618714115644261,0.04782207915722384,0.40789473684210525,0.40789473684210525,0.1974723816247423
