period,model,cue,game,game_class,target_action,base_real0,cue_real0,delta_real0,abs_delta_real0,signed_target_real,toward_real,base_pref0,cue_pref0,delta_pref0,abs_delta_pref0,signed_target_pref,toward_pref
all10,gptoss,level1,CmAs,OD1,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,False,0.6321149807840397,0.7180051298006025,0.08589014901656278,0.08589014901656278,-0.08589014901656278,False
all10,gptoss,level1,CmBa,OD1,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.6753627852388511,0.6061622955509023,-0.06920048968794879,0.06920048968794879,0.06920048968794879,True
all10,gptoss,level1,CmCh,OD1,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.26375982053832475,0.3080177825212052,0.044257961982880456,0.044257961982880456,-0.044257961982880456,False
all10,gptoss,level1,CmCm,DD,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.20910933489914604,0.2260880569751604,0.016978722076014363,0.016978722076014363,-0.016978722076014363,False
all10,gptoss,level1,CmCo,OD2,1,0.6666666666666666,0.6666666666666666,0.0,0.0,-0.0,False,0.5966747737132028,0.610214079394214,0.013539305681011249,0.013539305681011249,-0.013539305681011249,False
all10,gptoss,level1,CmHr,OD2,1,0.4666666666666666,0.3333333333333333,-0.1333333333333333,0.1333333333333333,0.1333333333333333,True,0.6660567730394165,0.666156666003371,9.989296395451763e-05,9.989296395451763e-05,-9.989296395451763e-05,False
all10,gptoss,level1,CmNc,DD,1,0.6666666666666666,0.6666666666666666,0.0,0.0,-0.0,False,0.6028082671779383,0.6058979516359521,0.0030896844580137195,0.0030896844580137195,-0.0030896844580137195,False
all10,gptoss,level1,CmPc,DD,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.30564965808905237,0.3251767522192839,0.019527094130231515,0.019527094130231515,-0.019527094130231515,False
all10,gptoss,level1,CmPd,DD,1,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.26666666666666666,-0.26666666666666666,False,0.6554513995161779,0.9461680075952555,0.2907166080790776,0.2907166080790776,-0.2907166080790776,False
all10,gptoss,level1,CmSh,OD1,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.7250283320572426,0.7494708066009282,0.024442474543685644,0.024442474543685644,-0.024442474543685644,False
all10,gptoss,level1,CoAs,CO2,0,0.7666666666666666,0.7000000000000001,-0.06666666666666654,0.06666666666666654,-0.06666666666666654,False,0.5819640834487968,0.5907186709838981,0.008754587535101277,0.008754587535101277,0.008754587535101277,True
all10,gptoss,level1,CoBa,MP,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,False,0.42185859254660246,0.43032639441330806,0.008467801866705593,0.008467801866705593,0.008467801866705593,True
all10,gptoss,level1,CoCh,MP,0,0.16666666666666666,0.06666666666666667,-0.09999999999999999,0.09999999999999999,-0.09999999999999999,False,0.6009517418381317,0.6001389965745397,-0.0008127452635919852,0.0008127452635919852,-0.0008127452635919852,False
