model,round,cue,game,class,target_action,base_pref_target,cue_pref_target,shift_pref,base_real_target,cue_real_target,shift_real
gptoss,1,level1,CmAs,OD1,1,0.330041069872124,0.2027611214312941,-0.1272799484408299,0.6666666666666667,0.33333333333333337,-0.33333333333333337
gptoss,1,level1,CmBa,OD1,1,0.2718353442329119,0.32730361462965174,0.05546827039673985,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level1,CmCh,OD1,1,0.6722028325230667,0.6622710824922515,-0.009931750030815145,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level1,CmCm,DD,1,0.7725526973682492,0.7260181464614286,-0.04653455090682057,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level1,CmCo,OD2,1,0.3959136021469777,0.3997299747449067,0.0038163725979289964,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,level1,CmHr,OD2,1,0.3331232071195941,0.33325245307984475,0.00012924596025065682,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level1,CmNc,DD,1,0.37827800251120636,0.3880726385405544,0.009794636029348047,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,level1,CmPc,DD,1,0.7193374105698607,0.6709047052791219,-0.04843270529073873,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level1,CmPd,DD,1,0.41795689138949577,0.09611682711265457,-0.3218400642768412,1.0,0.6666666666666667,-0.33333333333333326
gptoss,1,level1,CmSh,OD1,1,0.27024856302025946,0.27074000887849825,0.0004914458582387926,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level1,CoAs,CO2,0,0.6001788760618975,0.6411479199072416,0.040969043845344166,1.0,1.0,0.0
gptoss,1,level1,CoBa,MP,0,0.44434675624344927,0.44069138728762036,-0.003655368955828908,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,level1,CoCh,MP,0,0.6233129745333521,0.6909960059716512,0.06768303143829912,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,level1,CoCo,CO1,0,0.20409921128057748,0.34154014671900623,0.13744093543842875,0.6666666666666666,0.6666666666666666,0.0
gptoss,1,level1,CoSh,CO2,0,0.21246457259887017,0.1319259080340079,-0.08053866456486228,0.0,0.0,0.0
gptoss,1,level1,DlAs,OD1,1,0.7252465284819777,0.7090077248624058,-0.016238803619571862,0.33333333333333337,0.0,-0.33333333333333337
gptoss,1,level1,DlBa,OD1,1,0.41613185052032786,0.3547264515049158,-0.06140539901541209,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,level1,DlCh,OD1,1,0.21851273422197603,0.22715626756344454,0.008643533341468501,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,level1,DlCm,DD,1,0.38498160900278877,0.6082848752627881,0.2233032662599993,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level1,DlCo,OD2,1,0.18749240697155123,0.38034415273614275,0.19285174576459152,0.6666666666666667,0.33333333333333337,-0.33333333333333337
