model,cue,round,raw_trait,raw_null,excess
qwen,level1,1,0.2631578947368421,0.0921052631578947,0.1710526315789474
qwen,level1,10,0.2719298245614034,0.0921052631578947,0.1798245614035087
qwen,level2,1,0.3333333333333333,0.0921052631578947,0.2412280701754386
qwen,level2,10,0.3333333333333333,0.0921052631578947,0.2412280701754385
qwen,maximin,1,0.1666666666666667,0.0921052631578947,0.0745614035087719
qwen,maximin,10,0.1885964912280702,0.0921052631578947,0.0964912280701754
qwen,selfish_maximizer,1,0.2192982456140351,0.0921052631578947,0.1271929824561403
qwen,selfish_maximizer,10,0.2017543859649123,0.0921052631578947,0.1096491228070176
qwen,inequity_aversion,1,0.3289473684210526,0.0921052631578947,0.2368421052631579
qwen,inequity_aversion,10,0.3596491228070175,0.0921052631578947,0.2675438596491228
qwen,risk_aversion,1,0.2631578947368421,0.0921052631578947,0.1710526315789473
qwen,risk_aversion,10,0.219298245614035,0.0921052631578947,0.1271929824561403
qwen,loss_aversion,1,0.2850877192982456,0.0921052631578947,0.1929824561403509
qwen,loss_aversion,10,0.2499999999999999,0.0921052631578947,0.1578947368421052
qwen_instruct,level1,1,0.1184210526315789,0.0526315789473684,0.0657894736842105
qwen_instruct,level1,10,0.1140350877192982,0.0745614035087719,0.0394736842105263
qwen_instruct,level2,1,0.1535087719298245,0.0526315789473684,0.1008771929824561
qwen_instruct,level2,10,0.219298245614035,0.0745614035087719,0.1447368421052631
qwen_instruct,maximin,1,0.0921052631578947,0.0526315789473684,0.0394736842105263
qwen_instruct,maximin,10,0.0921052631578947,0.0745614035087719,0.0175438596491228
qwen_instruct,selfish_maximizer,1,0.4605263157894737,0.0526315789473684,0.4078947368421052
qwen_instruct,selfish_maximizer,10,0.4605263157894737,0.0745614035087719,0.3859649122807017
qwen_instruct,inequity_aversion,1,0.2368421052631578,0.0526315789473684,0.1842105263157894
qwen_instruct,inequity_aversion,10,0.2280701754385965,0.0745614035087719,0.1535087719298246
qwen_instruct,risk_aversion,1,0.1754385964912281,0.0526315789473684,0.1228070175438596
qwen_instruct,risk_aversion,10,0.1359649122807017,0.0745614035087719,0.0614035087719298
qwen_instruct,loss_aversion,1,0.1578947368421052,0.0526315789473684,0.1052631578947368
qwen_instruct,loss_aversion,10,0.1578947368421052,0.0745614035087719,0.0833333333333333
llama31_instruct,level1,1,0.15350877192982457,0.17105263157894743,-0.01754385964912286
llama31_instruct,level1,10,0.20175438596491233,0.30701754385964913,-0.10526315789473681
llama31_instruct,level2,1,0.2894736842105264,0.17105263157894743,0.11842105263157895
llama31_instruct,level2,10,0.45614035087719307,0.30701754385964913,0.14912280701754393
llama31_instruct,maximin,1,0.12280701754385968,0.17105263157894743,-0.048245614035087744
llama31_instruct,maximin,10,0.1710526315789474,0.30701754385964913,-0.13596491228070173
llama31_instruct,selfish_maximizer,1,0.25438596491228077,0.17105263157894743,0.08333333333333334
llama31_instruct,selfish_maximizer,10,0.46929824561403516,0.30701754385964913,0.16228070175438603
llama31_instruct,inequity_aversion,1,0.21052631578947373,0.17105263157894743,0.0394736842105263
llama31_instruct,inequity_aversion,10,0.3026315789473685,0.30701754385964913,-0.00438596491228066
llama31_instruct,risk_aversion,1,0.324561403508772,0.17105263157894743,0.15350877192982457
llama31_instruct,risk_aversion,10,0.3991228070175438,0.30701754385964913,0.09210526315789469
llama31_instruct,loss_aversion,1,0.05701754385964912,0.17105263157894743,-0.11403508771929831
llama31_instruct,loss_aversion,10,0.16666666666666669,0.30701754385964913,-0.14035087719298245
gptoss,level1,1,0.061403508771929814,0.06578947368421051,-0.004385964912280695
gptoss,level1,10,0.10964912280701752,0.17543859649122806,-0.06578947368421054
gptoss,level2,1,0.06578947368421052,0.06578947368421051,1.3877787807814457e-17
gptoss,level2,10,0.09210526315789473,0.17543859649122806,-0.08333333333333333
gptoss,maximin,1,0.20614035087719298,0.06578947368421051,0.14035087719298248
gptoss,maximin,10,0.10087719298245615,0.17543859649122806,-0.07456140350877191
gptoss,selfish_maximizer,1,0.08771929824561403,0.06578947368421051,0.02192982456140352
gptoss,selfish_maximizer,10,0.13596491228070176,0.17543859649122806,-0.0394736842105263
gptoss,inequity_aversion,1,0.057017543859649134,0.06578947368421051,-0.008771929824561375
gptoss,inequity_aversion,10,0.11403508771929824,0.17543859649122806,-0.06140350877192982
gptoss,risk_aversion,1,0.039473684210526314,0.06578947368421051,-0.026315789473684195
gptoss,risk_aversion,10,0.08333333333333333,0.17543859649122806,-0.09210526315789473
gptoss,loss_aversion,1,0.04824561403508771,0.06578947368421051,-0.0175438596491228
gptoss,loss_aversion,10,0.09210526315789473,0.17543859649122806,-0.08333333333333333
