model,round,trait,family,n_games,magnitude,magnitude_lo,magnitude_hi,magnitude_null,flip_rate,flip_rate_aligned,dir_shift,dir_lo,dir_hi,dir_net,dir_net_lo,dir_net_hi,directionality_index,base_pref_mean,dose_slope,dose_slope_lo,dose_slope_hi,dose_r,dose_slope_null,n_movable,dir_net_movable,dir_net_movable_lo,dir_net_movable_hi,dose_slope_movable,dose_slope_movable_lo,dose_slope_movable_hi
gptoss,1,inequity,trait,30,0.04444444444444444,0.01111111111111111,0.08888888888888888,0.03333333333333333,0.044444444444444446,0.5,0.0,-0.04444444444444444,0.04444444444444444,0.01111111111111111,-0.04444444444444444,0.06666666666666667,0.0,0.511111111111111,0.01234567901234569,-0.015879416282642094,0.05179282868525892,0.1307440900921227,-0.012345679012345677,26,0.02564102564102564,-0.038461538461538464,0.08974358974358973,0.017879948914431672,-0.009082652134423254,0.05742149758454108
gptoss,1,level1,rule,67,0.06965174129353234,0.03980099502487562,0.10447761194029849,0.06467661691542288,0.06965174129353234,0.5,0.0,-0.03482587064676617,0.03482587064676617,0.0049751243781094535,-0.03980099502487562,0.04975124378109452,0.0,0.4975124378109453,0.0009286488159727581,-0.021691267275668103,0.02229755755503266,0.01123899249481742,-0.0027601506474745838,60,0.005555555555555556,-0.03333333333333333,0.05,-0.0006904033928395317,-0.023527601254955496,0.021435047297197037
gptoss,1,level2,rule,35,0.07142857142857142,0.028452380952380993,0.12857142857142856,0.047619047619047616,0.06796116504854369,0.2857142857142857,-0.023809523809523808,-0.08571428571428572,0.02857142857142857,-0.033333333333333326,-0.10476190476190476,0.038095238095238085,-0.3333333333333333,0.5142857142857143,-0.010416666666666666,-0.037282592256503336,0.011518730111424094,-0.12450690143095285,0.009259259259259259,31,-0.026881720430107524,-0.10752688172043011,0.04838709677419355,-0.009867891090704038,-0.040127424442536225,0.0129117160383224
gptoss,1,loss,trait,76,0.04824561403508771,0.02631578947368421,0.07456140350877194,0.06578947368421051,0.04824561403508772,0.45454545454545453,-0.004385964912280703,-0.03508771929824561,0.02192982456140351,-1.460819769243627e-18,-0.039473684210526314,0.03947368421052632,-0.09090909090909095,0.513157894736842,0.00039174719247845403,-0.019068872138337804,0.01870752910708752,0.005057630196939292,-0.0018716810307303853,67,0.0049751243781094474,-0.03980099502487563,0.04975124378109452,0.0003395009336275671,-0.020086050981225307,0.019820005348080216
gptoss,1,maximin,rule,76,0.20614035087719298,0.16228070175438597,0.24999999999999994,0.06578947368421051,0.27631578947368424,0.7619047619047619,0.14473684210526314,0.09210526315789473,0.1973684210526316,0.14912280701754385,0.09210526315789473,0.20614035087719298,0.702127659574468,0.513157894736842,0.08161399843301125,0.047938014242190234,0.11547443622479416,0.48576696117940255,-0.0018716810307303853,67,0.15422885572139305,0.0945273631840796,0.21890547263681592,0.08023538731398179,0.0446626658449265,0.1167471122124641
gptoss,1,risk,trait,76,0.039473684210526314,0.017543859649122806,0.06578947368421052,0.06578947368421051,0.04824561403508772,0.5454545454545454,0.004385964912280701,-0.02192982456140351,0.030701754385964907,0.008771929824561401,-0.030701754385964914,0.04824561403508772,0.11111111111111109,0.513157894736842,0.000391747192478456,-0.016531333802769405,0.017945990120431868,0.0055981939407523254,-0.0018716810307303853,67,0.014925373134328358,-0.024875621890547265,0.05472636815920398,0.0003395009336275668,-0.016167286649698707,0.0162885837219496
gptoss,1,selfish,trait,67,0.08955223880597014,0.05472636815920399,0.12437810945273632,0.06467661691542288,0.08955223880597014,0.3888888888888889,-0.01990049751243781,-0.05970149253731343,0.01990049751243781,-0.014925373134328356,-0.06965174129353233,0.03980099502487563,-0.22222222222222224,0.4975124378109453,-0.011169581592116801,-0.03416217613314767,0.012193843669105644,-0.11688553516838815,-0.0027601506474745838,60,-0.01111111111111111,-0.07222222222222222,0.05,-0.010191669132393081,-0.03397708302602107,0.012895001376085749
gptoss,10,inequity,trait,30,0.11111111111111113,0.05555555555555555,0.17777777777777776,0.13333333333333333,0.1111111111111111,0.6,0.022222222222222223,-0.044444444444444446,0.10000000000000002,0.044444444444444446,-0.044444444444444446,0.13333333333333333,0.19999999999999996,0.49999999999999994,0.009259259259259259,-0.0456232173623478,0.06696153076928836,0.05299989400031799,-0.009259259259259274,25,0.026666666666666675,-0.06666666666666667,0.12,4.0434167576788676e-19,-0.052708333333333315,0.05412242369789545
gptoss,10,level1,rule,67,0.12437810945273632,0.07960199004975124,0.17412935323383083,0.18407960199004977,0.12437810945273632,0.6,0.02487562189054727,-0.03482587064676616,0.08457711442786069,-0.05970149253731343,-0.11940298507462686,6.628197161941233e-18,0.20000000000000004,0.472636815920398,0.01263994221740702,-0.026066628717523254,0.04845784441203539,0.09270504453348662,0.04563277098488366,55,-0.06060606060606061,-0.11515151515151514,-0.006060606060606057,0.012943050577459184,-0.015797795446058718,0.041567376383289986
gptoss,10,level2,rule,35,0.11428571428571428,0.06666666666666665,0.1714285714285714,0.18095238095238095,0.11428571428571428,0.5833333333333334,0.01904761904761905,-0.047619047619047616,0.0761904761904762,-0.04761904761904761,-0.1238095238095238,0.028571428571428577,0.16666666666666669,0.4857142857142857,0.009259259259259259,-0.01671498901020354,0.036990550024793095,0.09668655851922026,0.032407407407407406,27,-0.04938271604938271,-0.1234567901234568,0.02469135802469136,0.015960712093308783,-0.0014670323046351887,0.04106534834992145
