model,trait,category,n,magnitude,net_dir,net_lo,net_hi,base_pref
qwen,risk,Dominance,56,0.13690476190476192,-0.0773809523809524,-0.1488095238095238,-0.011904761904761906,0.8809523809523812
qwen,risk,Coordination,11,0.5757575757575757,0.060606060606060635,-0.27272727272727276,0.3946969696969725,0.4848484848484848
qwen,risk,Mixed,9,0.6666666666666666,0.3703703703703704,-0.037037037037037035,0.7037037037037037,0.4074074074074074
qwen,loss,Dominance,56,0.17261904761904762,-0.1488095238095238,-0.2202380952380952,-0.08333333333333333,0.8809523809523812
qwen,loss,Coordination,11,0.5454545454545454,0.09090909090909088,-0.18181818181818182,0.3636363636363636,0.4848484848484848
qwen,loss,Mixed,9,0.6666666666666665,0.29629629629629634,-0.1481481481481481,0.6666666666666666,0.4074074074074074
qwen,inequity,Dominance,23,0.3043478260869565,0.30434782608695654,0.13043478260869565,0.49275362318840576,0.5652173913043479
qwen,inequity,Coordination,2,0.3333333333333333,0.16666666666666666,-0.3333333333333333,0.6666666666666666,0.6666666666666667
qwen,inequity,Mixed,5,0.6666666666666666,0.4666666666666666,0.2,0.7999999999999999,0.26666666666666666
qwen,selfish,Dominance,56,0.11904761904761904,0.023809523809523805,-0.02976190476190476,0.07738095238095237,0.8809523809523812
qwen,selfish,Coordination,6,0.5,0.16666666666666666,-0.16666666666666666,0.49999999999999994,0.6111111111111112
qwen,selfish,Mixed,5,0.4666666666666666,0.4666666666666667,0.13333333333333333,0.8,0.4666666666666667
qwen,maximin,Dominance,56,0.08333333333333333,0.011904761904761902,-0.029761904761904767,0.05357142857142857,0.8809523809523812
qwen,maximin,Coordination,11,0.3939393939393939,0.1212121212121212,-0.0606060606060606,0.303030303030303,0.4848484848484848
qwen,maximin,Mixed,9,0.4074074074074074,0.3333333333333333,0.1111111111111111,0.5185185185185186,0.4074074074074074
qwen_instruct,risk,Dominance,56,0.14285714285714285,-0.14285714285714285,-0.24404761904761904,-0.05357142857142857,0.9345238095238095
qwen_instruct,risk,Coordination,11,0.1818181818181818,-0.09090909090909091,-0.24242424242424246,0.0606060606060606,0.7878787878787878
qwen_instruct,risk,Mixed,9,0.37037037037037035,0.037037037037037056,-0.3333333333333333,0.4444444444444444,0.7777777777777778
qwen_instruct,loss,Dominance,56,0.125,-0.1488095238095238,-0.2202380952380952,-0.08333333333333333,0.9345238095238095
qwen_instruct,loss,Coordination,11,0.1818181818181818,-0.0303030303030303,-0.1515151515151515,0.09090909090909091,0.7878787878787878
qwen_instruct,loss,Mixed,9,0.3333333333333333,2.4671622769447922e-17,-0.37037037037037035,0.3703703703703704,0.7777777777777778
qwen_instruct,inequity,Dominance,23,0.30434782608695654,0.2608695652173913,0.07246376811594202,0.46376811594202894,0.5942028985507246
