model,layer,r_h1_h2,n
qwen,65,0.8839816026616815,54
qwen,79,0.40922477485717745,54
qwen_instruct,65,-0.8581175887291272,54
qwen_instruct,79,0.15978811231897902,54
llama31_instruct,65,-0.5562826495196829,54
llama31_instruct,79,0.5776718277452084,54
