model,layer,raw_slope,raw_lo,raw_hi,partial_slope,partial_lo,partial_hi,n_games
qwen,30,-0.03315607440629463,-0.13322139155752702,0.06738587312432262,0.014090254479967595,-0.03729089058921935,0.058663175426603334,144
qwen,65,0.5051114560465321,0.45245447087325075,0.5645411581994336,0.08916482123299428,-0.02449831710778348,0.18931378423910505,144
qwen,75,0.5055104175379532,0.45003990608533967,0.5676211121357588,0.07640814733532215,-0.05071153229989473,0.18055290355915388,144
qwen,78,0.4804969701117952,0.42750380935352755,0.5396095798492611,0.06512216487733657,-0.052281404758097,0.16601123554117012,144
qwen,79,0.42116065700430805,0.3553864850684114,0.4910975571065866,0.03199787479056927,-0.06402936387723711,0.1266832258739553,144
qwen,80,0.11415390846585918,0.014768476866896656,0.20926279083925353,-0.02534465120855928,-0.08414490332350359,0.03921747279213324,144
