model,layer,variant,row_scope,raw,raw_lo,raw_hi,partial,partial_lo,partial_hi,n_rows,n_games
gptoss,1,V1_gamez,pure_commitment,0.020662972938812557,-0.0033026379415331468,0.046777880216057686,0.0001466580638286044,-0.03035272487178338,0.03176625503651432,525,144
gptoss,1,V2_strength,pure_commitment,-0.0006041668732483333,-0.028310200154377595,0.022656195188118584,-3.103973765165491e-05,-0.029919712784371034,0.023413230780653434,525,144
gptoss,1,V3_perp,pure_commitment,0.016367888338985084,-0.009395892943295353,0.04417081988766339,-0.005898958843843315,-0.04045365155907426,0.02622632668902203,525,144
gptoss,1,V1_gamez,heterogeneous_all,0.08844722983121162,0.05959743384515903,0.1194532245513864,0.07141706773816035,0.03422372413376847,0.10914049966444557,576,144
gptoss,1,V2_strength,heterogeneous_all,-0.08885561585686338,-0.12172330047742522,-0.06099313295649937,-0.07242176587021865,-0.10937535935532454,-0.03777441383230505,576,144
gptoss,1,V3_perp,heterogeneous_all,0.042674346743844814,0.014963488601708642,0.07058898183723376,0.018296329650227813,-0.014571838243143042,0.049973237756712786,576,144
gptoss,1,V1_gamez,pure_complete_games,0.0035908248298763853,-0.020359183982813802,0.029710294828860104,-0.01194113325855402,-0.040544101061326145,0.015396220135956899,432,108
gptoss,1,V2_strength,pure_complete_games,-0.01327174364268152,-0.05107358768322476,0.018385566257125167,-0.010428839916456585,-0.04242343793196867,0.017870031930340518,432,108
gptoss,1,V3_perp,pure_complete_games,0.01566546759988137,-0.003872744996496123,0.03689868091477776,-0.0022307805597680712,-0.023770729743051434,0.018467455066692673,432,108
gptoss,6,V1_gamez,pure_commitment,0.02800156059524244,0.004849590032845444,0.05423215414500077,0.00465644327233554,-0.028801297813026937,0.035483569074813606,525,144
gptoss,6,V2_strength,pure_commitment,-0.003907789658649689,-0.024815596489721085,0.0161822095274558,0.004893634426007555,-0.01460581523366929,0.0247240130330417,525,144
gptoss,6,V3_perp,pure_commitment,0.022307559700479828,-0.0011417876881229104,0.047699864732864465,-0.0027879660175491807,-0.03813230184590393,0.028162700619930394,525,144
gptoss,6,V1_gamez,heterogeneous_all,0.09076050148925845,0.06229598085989747,0.12226470659962477,0.07363198067819753,0.03719813068775329,0.11136264616681538,576,144
gptoss,6,V2_strength,heterogeneous_all,-0.08590470163843412,-0.11740865004221152,-0.057884523329992166,-0.06999095317744586,-0.10646444458307931,-0.03455920707436341,576,144
gptoss,6,V3_perp,heterogeneous_all,0.05316063062026296,0.028975477011048897,0.08131597282974654,0.025186775383093538,-0.006793624196372164,0.05802159003098392,576,144
gptoss,6,V1_gamez,pure_complete_games,0.01827532228142254,-0.0030796014208781695,0.04249887727305044,-0.005397753161972144,-0.031823257964488115,0.019829895239350564,432,108
gptoss,6,V2_strength,pure_complete_games,-0.017524264950232408,-0.045828196803439435,0.002942178643226131,-0.0022350491409092064,-0.023163317411981247,0.01562229510100142,432,108
gptoss,6,V3_perp,pure_complete_games,0.01768812171132937,-0.0018211559974308745,0.042431529342355764,-0.007790538117766415,-0.03354903905923172,0.015760938690699524,432,108
gptoss,9,V1_gamez,pure_commitment,0.022895736232942936,-0.0021945320178547306,0.05004515969840483,0.003904520491394946,-0.028079409745010966,0.03342818413549142,525,144
gptoss,9,V2_strength,pure_commitment,0.0017557018566637067,-0.025122705097850914,0.025546497271014983,-0.004983455211685374,-0.031990623729680145,0.018365730375724514,525,144
gptoss,9,V3_perp,pure_commitment,0.018353059854825323,-0.007113579913817384,0.045262854304665964,-0.0029430450866954933,-0.03770231143009874,0.027934977342962228,525,144
gptoss,9,V1_gamez,heterogeneous_all,0.09167241458807689,0.06231985193242144,0.12351841911591771,0.07416600695238798,0.0371069291357072,0.11193552076849435,576,144
gptoss,9,V2_strength,heterogeneous_all,-0.08062202337438887,-0.11157333102137859,-0.05167581132679423,-0.06638662272034666,-0.09920165473407531,-0.03299893259897947,576,144
gptoss,9,V3_perp,heterogeneous_all,0.043324814516210314,0.0160710093959516,0.07137001584894803,0.018424191996332245,-0.016099207805029277,0.04985413392164216,576,144
gptoss,9,V1_gamez,pure_complete_games,0.006980270650137586,-0.016459396885709864,0.030118834413722567,-0.010604886522749392,-0.04014513224908562,0.01487561534648405,432,108
gptoss,9,V2_strength,pure_complete_games,-0.004941707731742118,-0.035697514323933366,0.02203998576790137,-0.004126642834623926,-0.03208374142908996,0.021720441849615052,432,108
gptoss,9,V3_perp,pure_complete_games,0.009877077546802008,-0.009129363207837513,0.033063463432649286,-0.012881570007949027,-0.04104272467493378,0.010818871612490195,432,108
gptoss,22,V1_gamez,pure_commitment,0.02583392383445496,-0.0007519871057644422,0.054754695808839314,0.002632055726605859,-0.034535866268554156,0.03456367746226388,525,144
gptoss,22,V2_strength,pure_commitment,-0.007454279854356686,-0.039964113260217725,0.021226855883206972,-0.003161213997236027,-0.03564444695214983,0.024058432907324866,525,144
gptoss,22,V3_perp,pure_commitment,0.02034211181891482,-0.007388655515589123,0.048258559129852635,-0.0031861985367239824,-0.04053062061756236,0.028950782817112015,525,144
gptoss,22,V1_gamez,heterogeneous_all,0.09219449070101485,0.06338606478320648,0.1228399940379086,0.07435267618116491,0.03579498810232745,0.11216503639903301,576,144
gptoss,22,V2_strength,heterogeneous_all,-0.0743036861473368,-0.10541833591208202,-0.046958247894431364,-0.06218281187169609,-0.09459942483943454,-0.02960767658790779,576,144
gptoss,22,V3_perp,heterogeneous_all,0.04421216617823419,0.016555793064679945,0.07348699933892437,0.015749614966344465,-0.02136506948765271,0.04930302501553542,576,144
gptoss,22,V1_gamez,pure_complete_games,0.01346751838418859,-0.010655082866496001,0.03917946946161378,-0.009810180643782803,-0.04306327245890123,0.019780210574053433,432,108
gptoss,22,V2_strength,pure_complete_games,-0.019543532685134618,-0.05493434319525423,0.005989517127359214,-0.0052790551985949265,-0.031765311104128446,0.018021139689364092,432,108
gptoss,22,V3_perp,pure_complete_games,0.011490375590070108,-0.01059999603151151,0.036901389598585764,-0.013209076744313,-0.04637790058041547,0.015822820809735332,432,108
gptoss,24,V1_gamez,pure_commitment,0.02267628017196271,-0.004368786625210383,0.05029618356216751,0.0024997257390934557,-0.03409465005523184,0.0350153415848544,525,144
gptoss,24,V2_strength,pure_commitment,0.0006893612572286454,-0.030406754749856706,0.02594829049919313,-0.006546725125797487,-0.037774330361629305,0.01745575519462985,525,144
gptoss,24,V3_perp,pure_commitment,0.01990708186908547,-0.008745623804990275,0.04779050663907775,-0.0014589067497296577,-0.040710610110632976,0.0315649955629414,525,144
gptoss,24,V1_gamez,heterogeneous_all,0.0900166272570003,0.060747020935149276,0.11953741558894482,0.0717528198090506,0.03249308785567004,0.10983464573240997,576,144
gptoss,24,V2_strength,heterogeneous_all,-0.07264412215424765,-0.10271568121538648,-0.045298101980734896,-0.06109410006951485,-0.09329326716935027,-0.03055134502781796,576,144
gptoss,24,V3_perp,heterogeneous_all,0.03816970865302168,0.00934667095962266,0.06735047625616761,0.012590570813673528,-0.02426612022411472,0.04466317484004622,576,144
