model,onset_depth,final_angle,median_null,independent_shuffle_final,n_below_null
gptoss,,91.10072423763263,74.28606921854268,89.322021484375,0
llama31_instruct,0.46,29.972817572065455,63.228485229323454,90.05081939697266,44
qwen,0.7,26.68876138172859,55.310872308296496,92.47813415527344,22
qwen_instruct,0.7,30.957383683131575,59.31498814205714,87.8273696899414,24
