model,layer,variant,raw,raw_lo,raw_hi,partial,partial_lo,partial_hi,match
qwen,30,V1_gamez,-0.015137364691607622,-0.06082206126147706,0.03076493688745066,0.006432888225764597,-0.017025109897107885,0.026782600060508442,False
qwen,30,V2_strength,-0.006665580472804014,-0.059128542152697916,0.04031143335644873,0.011414066514825315,-0.014381002046056015,0.0387117954873418,False
qwen,30,V3_perp,-0.01814322486666287,-0.0614287986623235,0.028272606554702918,-0.0020806400058816835,-0.025821203421497223,0.019313923649008653,False
qwen,63,V1_gamez,0.2175511734151432,0.19249008636918472,0.2454673527485379,0.03778525330128117,-0.0076369672487662564,0.07876756903961415,False
qwen,63,V2_strength,0.19932159570144184,0.17631907523609666,0.2279463045772193,0.014433113862026377,-0.019667149348122224,0.050601147901528434,False
qwen,63,V3_perp,0.16744205711103866,0.139338432450321,0.194817702322829,0.008015125037409107,-0.03369541540022643,0.046155996557400984,False
qwen,65,V1_gamez,0.2180412795746811,0.19531085782659544,0.24369527761222912,0.0384897461381251,-0.010575179686907191,0.08172101278339827,False
qwen,65,V2_strength,0.2062112071173659,0.18354330908601932,0.23371502282161552,0.024204007833011243,-0.011441134307822213,0.061814861718943716,False
qwen,65,V3_perp,0.15745663254640882,0.1263649062295739,0.18589403562950818,0.010034937321066998,-0.03394018638708707,0.04832463913023985,False
qwen,75,V1_gamez,0.20500055598523126,0.1825054989220063,0.23018841855627928,0.03098593449731723,-0.020565139620611114,0.07321994627656794,False
qwen,75,V2_strength,0.2112324764122947,0.1863664540742328,0.2417492138564069,0.03251082769153984,-0.0016923921248213182,0.06845395351061832,False
qwen,75,V3_perp,0.14226459367936717,0.10817492313398035,0.17349299866596674,0.00947180075900812,-0.03170131804806119,0.04696983354958747,False
qwen,78,V1_gamez,0.20578646643071366,0.18309064111697362,0.23110311947129497,0.02789041561137712,-0.02239099560336349,0.07109902387493885,False
qwen,78,V2_strength,0.20478953557063026,0.17922162090241417,0.23767063182713552,0.03134604656402449,-0.00016337035993098088,0.06580452565255525,False
qwen,78,V3_perp,0.14244627999288664,0.10865695480503114,0.17427401864582728,0.009030837137173479,-0.029436145507448,0.046669888843686544,False
qwen,79,V1_gamez,0.18325978071490961,0.15463944278635072,0.2136914479741166,0.013923246200565396,-0.027861119001287925,0.055123715398898064,False
qwen,79,V2_strength,0.20538111558124877,0.179533722908738,0.2374484787377973,0.04146752890809401,0.007609619019447152,0.07561526283163918,False
qwen,79,V3_perp,0.13611678723964335,0.09979915779213352,0.17298816725112853,0.022332155522359416,-0.007315618731138598,0.0517693400563684,False
qwen,80,V1_gamez,0.05466493958358614,0.007072187948010077,0.10020977793976858,-0.01213680587640429,-0.04029451219203508,0.018780090928240664,True
qwen,80,V2_strength,0.10647914684760794,0.06406094192401461,0.14923278029055337,-1.2001397274499954e-05,-0.02762783699654669,0.029772736727300773,False
qwen,80,V3_perp,0.07554835603581497,0.03230457184318707,0.12905215317194219,0.019698983638789132,-0.00887266449045279,0.04781140919372623,False
