model,layer,variant,raw,raw_lo,raw_hi,partial,partial_lo,partial_hi,match
qwen_instruct,30,V1_gamez,0.008013905018201291,-0.04146857491097056,0.06290372558333533,0.021443181375503693,-0.005427744649625923,0.04918451854964674,False
qwen_instruct,30,V2_strength,0.019724575995120744,-0.03691249452725733,0.07441957081933674,0.0030558363120183176,-0.02704097911255631,0.032308695370913354,False
qwen_instruct,30,V3_perp,-0.009311558687316387,-0.056368823617080024,0.039935374824226884,0.0003929349061028294,-0.02519232271821718,0.0256877981451793,False
qwen_instruct,62,V1_gamez,0.2236675175575923,0.198971809591873,0.2502336014518968,0.06324447257251115,0.012533509031277883,0.11127793720875305,False
qwen_instruct,62,V2_strength,0.17265854871037167,0.1455842515002983,0.20607855328309885,-0.01901559515447384,-0.05611597528862079,0.015514175417373054,False
qwen_instruct,62,V3_perp,0.15739795862889527,0.1282417214655062,0.1812007154341512,-0.004248723131726825,-0.05081513698311282,0.04339434796280494,False
qwen_instruct,65,V1_gamez,0.22360263891959095,0.20311289485011513,0.24671650749045507,0.06274804698142802,0.013287618956908113,0.11380317813808487,False
qwen_instruct,65,V2_strength,0.1704074229479235,0.14069009442287655,0.20819941885796994,-0.021495983265970894,-0.0552651238589684,0.011192272358503435,False
qwen_instruct,65,V3_perp,0.15122013531688383,0.12083912504094751,0.17661331031475153,-0.004661758971431087,-0.05139261918354527,0.04500264834564577,False
qwen_instruct,75,V1_gamez,0.22013455467221443,0.20264831301923317,0.23996426615468724,0.06052939401068524,0.011690004876064372,0.11446870274960869,False
qwen_instruct,75,V2_strength,0.18099277649452578,0.15071173089677087,0.21855921697279004,-0.01801950259235181,-0.053364636075631806,0.019143147140864715,False
qwen_instruct,75,V3_perp,0.13467355523727614,0.10062124340130506,0.16261394360761552,-0.01808297976750467,-0.06402773682132357,0.029682007467726798,False
qwen_instruct,78,V1_gamez,0.21962199722376283,0.20224082189990975,0.2389919051432877,0.06160119123756305,0.012508135763102345,0.11357386877112324,False
qwen_instruct,78,V2_strength,0.17422337006101268,0.14408672875264594,0.21156101568490743,-0.022574439993442552,-0.05745150433656029,0.014433991122678083,False
qwen_instruct,78,V3_perp,0.13172357836291057,0.0963720276039818,0.16057837359104254,-0.019651832272365125,-0.06603606793750497,0.02844505884869999,False
qwen_instruct,79,V1_gamez,0.21515085280864968,0.19835281883122696,0.2344361279951423,0.0542600757094115,0.00451610768536778,0.10853993496068762,False
qwen_instruct,79,V2_strength,0.18081583376115298,0.14929089841783463,0.21765227183835342,-0.0031223813617301498,-0.039968995095329626,0.03647685732893087,False
qwen_instruct,79,V3_perp,0.11869385841919959,0.08073030513302974,0.15129457079764744,-0.027809337069743225,-0.0707224125174804,0.0192115302748439,False
qwen_instruct,80,V1_gamez,0.17931019936024772,0.1494786163464533,0.21116757774557945,0.04665784604986566,0.01083364499454394,0.08479640249177738,True
qwen_instruct,80,V2_strength,0.12514528264848257,0.08397439807790627,0.1686125975158793,-0.0014373831654270351,-0.03681035357488673,0.03593077021893113,False
qwen_instruct,80,V3_perp,0.11780906046786516,0.07670241261374267,0.15249957975557935,-0.01319688397535138,-0.055617202484647334,0.03207381223359992,False
