model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
qwen,CoDl,0.25,-7.7981182471840995,-1.0,4,-0.9363566510582062,-2.108406543164886,parsed_generated_choice,80
qwen,CoHa,0.75,-3.0284996008412817,1.0,4,-0.3589705935728909,0.09166984970282117,parsed_generated_choice,80
qwen,CoHr,0.75,-2.6651251944132204,1.0,4,-0.3149823145352286,0.09166984970282117,parsed_generated_choice,80
qwen,CoNc,0.75,4.534728798169344,1.0,4,0.5565958176986082,0.09166984970282117,parsed_generated_choice,80
qwen,CoPc,0.75,3.9029015730903946,1.0,4,0.48010998988930426,0.09166984970282117,parsed_generated_choice,80
qwen,CoPd,0.25,-8.97290557491896,-1.0,4,-1.0785704995520773,-2.108406543164886,parsed_generated_choice,80
qwen,CoSh,1.0,-15.913492530656704,1.0,4,-1.9187630675847775,0.09166984970282117,parsed_generated_choice,80
qwen,DlAs,1.0,2.857703715963987,2.0,4,0.35358359128906264,1.191708046136675,parsed_generated_choice,80
qwen,DlBa,1.0,-7.434994818515861,2.0,4,-0.8923987541265371,1.191708046136675,parsed_generated_choice,80
qwen,DlCh,1.0,0.579396100832454,2.0,4,0.07778312396066948,1.191708046136675,parsed_generated_choice,80
qwen,DlCm,1.0,6.684020443330821,2.0,4,0.8167782602377925,1.191708046136675,parsed_generated_choice,80
qwen,DlCo,1.0,-1.9314786381833633,2.0,4,-0.2261707503205432,1.191708046136675,parsed_generated_choice,80
qwen,DlDl,1.0,2.0645899902668265,2.0,4,0.25757323046725966,1.191708046136675,parsed_generated_choice,80
qwen,DlHa,1.0,15.185706734488583,2.0,4,1.8459496665078514,1.191708046136675,parsed_generated_choice,80
qwen,DlHr,1.0,2.1746905837890598,2.0,4,0.27090145486719974,1.191708046136675,parsed_generated_choice,80
qwen,DlNc,1.0,4.2439151170282265,2.0,4,0.521391375317117,1.191708046136675,parsed_generated_choice,80
qwen,DlPc,1.0,2.829218358740583,2.0,4,0.3501352971333248,1.191708046136675,parsed_generated_choice,80
qwen,DlPd,1.0,-2.0123493561864407,2.0,4,-0.23596055292239412,1.191708046136675,parsed_generated_choice,80
qwen,DlSh,1.0,10.26775467103436,2.0,4,1.2506071111870227,1.191708046136675,parsed_generated_choice,80
qwen,HaAs,1.0,-2.2311015316207126,2.0,4,-0.262441591660612,1.191708046136675,parsed_generated_choice,80
qwen,HaBa,1.0,-5.094882671262551,2.0,4,-0.6091165408174921,1.191708046136675,parsed_generated_choice,80
qwen,HaCh,1.0,9.114719313986747,2.0,4,1.1110264469220994,1.191708046136675,parsed_generated_choice,80
qwen,HaCm,1.0,0.23166816686877123,2.0,4,0.03568892822811319,1.191708046136675,parsed_generated_choice,80
qwen,HaCo,1.0,-2.954185324889503,2.0,4,-0.34997448088795463,1.191708046136675,parsed_generated_choice,80
qwen,HaDl,1.0,-4.987024827292788,2.0,4,-0.5960598124045574,1.191708046136675,parsed_generated_choice,80
qwen,HaHa,1.0,-13.107548798524233,2.0,4,-1.5790896242448478,1.191708046136675,parsed_generated_choice,80
qwen,HaHr,1.0,15.475278219381472,2.0,4,1.8810037348557838,1.191708046136675,parsed_generated_choice,80
qwen,HaNc,1.0,5.18124006062575,2.0,4,0.634859221259348,1.191708046136675,parsed_generated_choice,80
qwen,HaPc,1.0,-9.179785110426337,2.0,4,-1.1036142961819375,1.191708046136675,parsed_generated_choice,80
qwen,HaPd,1.0,0.5604999276063634,2.0,4,0.07549564821689325,1.191708046136675,parsed_generated_choice,80
qwen,HaSh,1.0,-7.575620258012782,2.0,4,-0.9094221629383767,1.191708046136675,parsed_generated_choice,80
qwen,HrAs,1.0,11.496278121040742,1.0,4,1.3993259845232242,0.09166984970282117,parsed_generated_choice,80
qwen,HrBa,1.0,0.1581058231336574,1.0,4,0.026783840677525785,0.09166984970282117,parsed_generated_choice,80
qwen,HrCh,1.0,-9.09595976931785,1.0,4,-1.0934668217591967,0.09166984970282117,parsed_generated_choice,80
qwen,HrCm,0.0,-5.495505929201297,-1.0,4,-0.6576139785771208,-2.108406543164886,parsed_generated_choice,80
qwen,HrCo,0.75,-1.0137807265287848,1.0,4,-0.11507885420448212,0.09166984970282117,parsed_generated_choice,80
qwen,HrDl,0.0,-8.022970369617582,-1.0,4,-0.9635761187170346,-2.108406543164886,parsed_generated_choice,80
qwen,HrHa,1.0,19.59526066195833,1.0,4,2.379748099093829,0.09166984970282117,parsed_generated_choice,80
qwen,HrHr,1.0,8.961868340433178,1.0,4,1.0925230764124765,0.09166984970282117,parsed_generated_choice,80
qwen,HrNc,0.5,-5.11024547191134,1.0,4,-0.6109762842385598,0.09166984970282117,parsed_generated_choice,80
