model,layer,variant,row_scope,raw,raw_lo,raw_hi,partial,partial_lo,partial_hi,n_rows,n_games
llama31_instruct,30,V1_gamez,parsed_generated_choice,-0.014176074898566553,-0.06552864397751017,0.03573450484777613,-0.016315316777935907,-0.04469302786807751,0.011687276764254781,576,144
llama31_instruct,30,V2_strength,parsed_generated_choice,0.008564326054573471,-0.04326167799296359,0.05600181849827761,0.0007893440841821392,-0.027122430861304357,0.029402898036612928,576,144
llama31_instruct,30,V3_perp,parsed_generated_choice,-0.03207210727351126,-0.08174292283877505,0.02624308560364178,-0.03799644635834371,-0.06654750169784784,-0.01257366647995335,576,144
llama31_instruct,60,V1_gamez,parsed_generated_choice,0.1634107596189714,0.12820493508993605,0.2023901092551222,0.008416587673311889,-0.038202693319165724,0.06458580339707791,576,144
llama31_instruct,60,V2_strength,parsed_generated_choice,0.1237250604451164,0.09352693400645401,0.1567478848985363,-0.009788528130561202,-0.04576945224694335,0.02170639702038641,576,144
llama31_instruct,60,V3_perp,parsed_generated_choice,0.1266533211238529,0.08781784241811971,0.16349109269863846,-0.008514823675422603,-0.04889876911825223,0.03180108334331915,576,144
llama31_instruct,65,V1_gamez,parsed_generated_choice,0.1611532105857828,0.12544301286754825,0.2000595588680844,0.009493352956134665,-0.03602179203292736,0.06456582163128864,576,144
llama31_instruct,65,V2_strength,parsed_generated_choice,0.1175075078074341,0.08489794653980506,0.1510960801424449,-0.011648247400689355,-0.04873184031611579,0.018844781411838343,576,144
llama31_instruct,65,V3_perp,parsed_generated_choice,0.12833243559706212,0.09126198272633579,0.16324537039691114,-0.005584575933856475,-0.04693814202168845,0.03443580420396959,576,144
llama31_instruct,75,V1_gamez,parsed_generated_choice,0.17843458769982543,0.1484026467801284,0.21140020874948956,0.018395987878148508,-0.03090406811482247,0.07186088936580355,576,144
llama31_instruct,75,V2_strength,parsed_generated_choice,0.14954633137189577,0.12007185302194698,0.1839707815396283,-0.00033695168006108686,-0.03377549067278038,0.030146664480951896,576,144
llama31_instruct,75,V3_perp,parsed_generated_choice,0.12111235271755133,0.0867795656823378,0.15418452960309112,0.0023230258886807473,-0.039864952115167475,0.041074454391136224,576,144
llama31_instruct,78,V1_gamez,parsed_generated_choice,0.18154469631477968,0.15266203638535195,0.21249993260136044,0.02102082352945465,-0.026384398215975435,0.0696943358634076,576,144
llama31_instruct,78,V2_strength,parsed_generated_choice,0.1571758666321713,0.12604355787631522,0.19297871635864836,0.006915863511520546,-0.02617908911642757,0.03866048096053559,576,144
llama31_instruct,78,V3_perp,parsed_generated_choice,0.106451773727916,0.06835309434049987,0.14260286926256682,0.009424645534864577,-0.031147494556231812,0.04568750646388002,576,144
llama31_instruct,79,V1_gamez,parsed_generated_choice,0.17425596437041221,0.14355314789708137,0.20836591037893684,0.01931915482975375,-0.026854202437632934,0.06855224925111358,576,144
llama31_instruct,79,V2_strength,parsed_generated_choice,0.14831676650337608,0.11808233969839863,0.1838399609438251,0.0032284279300357943,-0.028711503827663003,0.03193162190432814,576,144
llama31_instruct,79,V3_perp,parsed_generated_choice,0.10214153008124147,0.06209414752573432,0.1403351760087066,0.010027777612698307,-0.030527653679672535,0.04693930599393816,576,144
llama31_instruct,80,V1_gamez,parsed_generated_choice,0.13459935602401782,0.09823954467408079,0.17326472024087733,0.005600389193300734,-0.032627751210942336,0.0456278742633562,576,144
llama31_instruct,80,V2_strength,parsed_generated_choice,0.07743007007637076,0.037387724343732984,0.12077382713182643,-0.0156377806333611,-0.04816179449270554,0.014266723081505102,576,144
llama31_instruct,80,V3_perp,parsed_generated_choice,0.08718448847952054,0.04747033064754598,0.12547259620954815,0.008372783668080915,-0.031624982761011486,0.04224454925582767,576,144
