model,control_shift,lo,hi
qwen,0.1257595486111111,0.07852918836805556,0.17123480902777777
qwen_instruct,0.6761067708333334,0.5430745442708333,0.8034098307291666
llama31_instruct,0.3396267361111111,0.24129774305555557,0.43946397569444445
