model,layer,n,lambda_lens,lambda_lo,lambda_hi,r,p_sign,p_sign_lo,p_sign_hi,lambda_apmean,p_sign_apmean,behavioral_lambda
qwen,40,576,0.01394542191876785,0.002921601126983093,0.02634994684693947,0.005321805962278667,0.5,0.5,0.5,0.02145154936974796,0.5,2.04
qwen,79,576,0.16990546218487373,0.13697096476774795,0.19890869696813765,0.13258925819703674,0.4982638888888889,0.4947916666666667,0.5,0.13780017215219414,0.5017361111111112,2.04
qwen_instruct,40,576,-0.003653219100139839,-0.015545555193538056,0.007783286652751896,-0.0014777149039345095,0.5,0.5,0.5,0.010722526315213692,0.5,1.92
qwen_instruct,79,576,1.431777398459385,1.2994561371719893,1.5773565337582356,0.7348061735723095,0.7465277777777778,0.6891927083333333,0.8003472222222222,0.642443175186742,0.7482638888888888,1.92
llama31_instruct,40,576,0.5848241640406163,0.5276691027071884,0.641327066697851,0.45634247433185854,0.6961805555555556,0.6614583333333334,0.7326822916666665,0.11103684027321867,0.5711805555555556,1.89
llama31_instruct,79,576,0.7891719187675077,0.7240820230836233,0.8588640857269392,0.6609613124761766,0.7309027777777778,0.6770833333333334,0.7847222222222222,0.17476066354276104,0.5,1.89
