layer,condition,cb_id,region,contrib_incr,mean_abs,mean_score,model,game_code
40,cue_inequity_aversion,3,question,2.2734375,1.1956612723214286,1.0515485491071428,qwen,AsAs
40,cue_inequity_aversion,3,answer_prefix,0.0390625,1.8489583333333333,1.421875,qwen,AsAs
40,cue_length_match_null,0,cue_prefix,0.8828125,3.127576104525862,-2.94677734375,qwen,AsAs
40,cue_length_match_null,0,intro,-1.375,3.54296875,-3.4091796875,qwen,AsAs
40,cue_length_match_null,0,rule,-24.3984375,1.8117167154947917,-1.5354105631510417,qwen,AsAs
40,cue_length_match_null,0,label_token,10.89453125,1.46728515625,-1.29345703125,qwen,AsAs
40,cue_length_match_null,0,own_payoff,-2.234375,0.984375,0.984375,qwen,AsAs
40,cue_length_match_null,0,opponent_payoff,17.265625,2.01171875,2.01171875,qwen,AsAs
40,cue_length_match_null,0,question,-2.94921875,1.6210239955357142,-1.3220563616071428,qwen,AsAs
40,cue_length_match_null,0,answer_prefix,0.8203125,2.3255208333333335,-1.2421875,qwen,AsAs
40,cue_length_match_null,1,cue_prefix,1.0078125,3.0709859913793105,-2.8597790948275863,qwen,AsAs
40,cue_length_match_null,1,intro,-1.015625,3.47821044921875,-3.36602783203125,qwen,AsAs
40,cue_length_match_null,1,rule,-25.42578125,1.7955118815104167,-1.5350138346354167,qwen,AsAs
40,cue_length_match_null,1,label_token,11.40234375,1.45947265625,-1.24755859375,qwen,AsAs
40,cue_length_match_null,1,own_payoff,-2.5625,0.98046875,0.89453125,qwen,AsAs
40,cue_length_match_null,1,opponent_payoff,17.4921875,1.90234375,1.90234375,qwen,AsAs
40,cue_length_match_null,1,question,-2.6875,1.5915178571428572,-1.3058035714285714,qwen,AsAs
40,cue_length_match_null,1,answer_prefix,0.5625,2.0208333333333335,-1.3854166666666667,qwen,AsAs
40,cue_length_match_null,2,cue_prefix,-1.0546875,3.0986496497844827,2.9022595635775863,qwen,AsAs
40,cue_length_match_null,2,intro,1.515625,3.5440673828125,3.4183349609375,qwen,AsAs
40,cue_length_match_null,2,rule,20.078125,1.8462320963541667,1.5206298828125,qwen,AsAs
40,cue_length_match_null,2,label_token,-11.14453125,1.37548828125,1.25830078125,qwen,AsAs
40,cue_length_match_null,2,own_payoff,4.1875,1.41015625,-0.77734375,qwen,AsAs
40,cue_length_match_null,2,opponent_payoff,-14.87890625,1.9453125,-1.6875,qwen,AsAs
40,cue_length_match_null,2,question,3.2421875,1.5926339285714286,1.2555803571428572,qwen,AsAs
40,cue_length_match_null,2,answer_prefix,-0.953125,2.1380208333333335,1.0807291666666667,qwen,AsAs
40,cue_length_match_null,3,cue_prefix,-0.8828125,3.0835466056034484,2.8843952047413794,qwen,AsAs
40,cue_length_match_null,3,intro,1.25,3.5675048828125,3.4476318359375,qwen,AsAs
