model,region,strat_slope,lo,hi,n
qwen,own_payoff,-0.06982391825241949,-0.11293147282242338,-0.028603988561097627,2304
qwen_instruct,own_payoff,-0.10787565707893637,-0.16991090653221083,-0.044391345753414406,2304
llama31_instruct,own_payoff,-0.03013356953535873,-0.09450427366694893,0.02747836489881627,2304
