layer,condition,cb_id,final_score_canonical,final_score_trait,ap_score_canonical,ap_score_trait,n_ap,cp_score_trait,model,game_code,delta1c
79,cue_risk_aversion,3,-3.5625,3.5625,-2.03125,2.03125,3,-1.5333806818181819,qwen,AsAs,0.0
79,cue_selfish_maximizer,0,2.25,,1.9375,,3,,qwen,AsAs,0.0
79,cue_selfish_maximizer,1,2.5,,1.8645833333333333,,3,,qwen,AsAs,0.0
79,cue_selfish_maximizer,2,-2.0,,-1.9375,,3,,qwen,AsAs,0.0
79,cue_selfish_maximizer,3,-2.3125,,-1.9895833333333333,,3,,qwen,AsAs,0.0
40,baseline,0,2.1875,,0.8541666666666666,,3,,qwen,AsBa,-0.0
40,baseline,1,2.40625,,1.0989583333333333,,3,,qwen,AsBa,-0.0
40,baseline,2,-2.265625,,-0.984375,,3,,qwen,AsBa,-0.0
40,baseline,3,-2.5625,,-1.0885416666666667,,3,,qwen,AsBa,-0.0
40,cue_inequity_aversion,0,1.28125,1.28125,1.1953125,1.1953125,3,0.3864933894230769,qwen,AsBa,-0.0
40,cue_inequity_aversion,1,1.71875,1.71875,1.5260416666666667,1.5260416666666667,3,0.36087740384615385,qwen,AsBa,-0.0
40,cue_inequity_aversion,2,-1.1875,-1.1875,-1.078125,-1.078125,3,-0.4314528245192308,qwen,AsBa,-0.0
40,cue_inequity_aversion,3,-1.6015625,-1.6015625,-1.3697916666666667,-1.3697916666666667,3,-0.45150991586538464,qwen,AsBa,-0.0
40,cue_length_match_null,0,1.546875,,1.046875,,3,,qwen,AsBa,-0.0
40,cue_length_match_null,1,1.6875,,1.2682291666666667,,3,,qwen,AsBa,-0.0
40,cue_length_match_null,2,-1.8359375,,-1.3463541666666667,,3,,qwen,AsBa,-0.0
40,cue_length_match_null,3,-1.8046875,,-1.3333333333333333,,3,,qwen,AsBa,-0.0
40,cue_loss_aversion,0,1.1328125,1.1328125,0.9895833333333334,0.9895833333333334,3,1.2262731481481481,qwen,AsBa,-0.0
40,cue_loss_aversion,1,0.921875,0.921875,1.0677083333333333,1.0677083333333333,3,1.3187934027777777,qwen,AsBa,-0.0
40,cue_loss_aversion,2,-1.078125,-1.078125,-1.1640625,-1.1640625,3,-1.2546296296296295,qwen,AsBa,-0.0
40,cue_loss_aversion,3,-1.3125,-1.3125,-1.2421875,-1.2421875,3,-1.236328125,qwen,AsBa,-0.0
40,cue_maximin,0,1.9453125,1.9453125,1.7786458333333333,1.7786458333333333,3,0.7724609375,qwen,AsBa,-0.0
40,cue_maximin,1,2.203125,2.203125,1.8489583333333333,1.8489583333333333,3,0.8348214285714286,qwen,AsBa,-0.0
40,cue_maximin,2,-2.109375,-2.109375,-2.0989583333333335,-2.0989583333333335,3,-0.8257068452380952,qwen,AsBa,-0.0
40,cue_maximin,3,-2.234375,-2.234375,-2.1041666666666665,-2.1041666666666665,3,-0.8164992559523809,qwen,AsBa,-0.0
40,cue_risk_aversion,0,1.2109375,1.2109375,1.1614583333333333,1.1614583333333333,3,2.62890625,qwen,AsBa,-0.0
40,cue_risk_aversion,1,1.625,1.625,1.5286458333333333,1.5286458333333333,3,2.6349431818181817,qwen,AsBa,-0.0
40,cue_risk_aversion,2,-1.265625,-1.265625,-1.5208333333333333,-1.5208333333333333,3,-2.7421875,qwen,AsBa,-0.0
40,cue_risk_aversion,3,-1.65625,-1.65625,-1.8229166666666667,-1.8229166666666667,3,-2.6635298295454546,qwen,AsBa,-0.0
40,cue_selfish_maximizer,0,1.8203125,,1.5208333333333333,,3,,qwen,AsBa,-0.0
40,cue_selfish_maximizer,1,2.15625,,1.7109375,,3,,qwen,AsBa,-0.0
40,cue_selfish_maximizer,2,-1.90625,,-1.5481770833333333,,3,,qwen,AsBa,-0.0
40,cue_selfish_maximizer,3,-2.140625,,-1.796875,,3,,qwen,AsBa,-0.0
79,baseline,0,-1.3125,,-0.9479166666666666,,3,,qwen,AsBa,-0.0
79,baseline,1,-1.5625,,-0.8854166666666666,,3,,qwen,AsBa,-0.0
79,baseline,2,1.0,,0.7083333333333334,,3,,qwen,AsBa,-0.0
79,baseline,3,1.0625,,0.7395833333333334,,3,,qwen,AsBa,-0.0
79,cue_inequity_aversion,0,-1.5,-1.5,-0.3854166666666667,-0.3854166666666667,3,1.5054086538461537,qwen,AsBa,-0.0
79,cue_inequity_aversion,1,-2.0625,-2.0625,-0.5104166666666666,-0.5104166666666666,3,1.4344951923076923,qwen,AsBa,-0.0
79,cue_inequity_aversion,2,3.1875,3.1875,1.3541666666666667,1.3541666666666667,3,-1.4320913461538463,qwen,AsBa,-0.0
79,cue_inequity_aversion,3,3.3125,3.3125,1.2604166666666667,1.2604166666666667,3,-1.4423076923076923,qwen,AsBa,-0.0
79,cue_length_match_null,0,-1.25,,-1.0520833333333333,,3,,qwen,AsBa,-0.0
79,cue_length_match_null,1,-1.5,,-0.609375,,3,,qwen,AsBa,-0.0
79,cue_length_match_null,2,0.75,,0.6354166666666666,,3,,qwen,AsBa,-0.0
79,cue_length_match_null,3,0.9375,,0.2734375,,3,,qwen,AsBa,-0.0
