model,opp_share_incr,incr_lo,incr_hi,opp_share_absscore,abs_lo,abs_hi
qwen,0.47772350104863076,0.46800985256372185,0.4863450453910586,0.5977969314719958,0.5890765109411064,0.6058048606811529
qwen_instruct,0.5841921951699397,0.5714547792349229,0.5960529998801805,0.529977354407409,0.5235482941194265,0.5363588745685116
llama31_instruct,0.499988350553637,0.492512470273463,0.5077511036451828,0.49440915499538973,0.4895700810837927,0.499354874842628
