model,trait,n_games,cue_token_projection,cue_token_projection_lo,cue_token_projection_hi,final_target_projection,final_target_projection_lo,final_target_projection_hi,answer_prefix_target_projection
qwen,risk_aversion,76,0.0010267923893540732,-0.004607570228394127,0.006317927164324155,0.3608141447368421,0.3040347450657895,0.4103772615131579,0.3682154605263157
qwen,loss_aversion,76,0.0012554443835282635,-0.001989008436890839,0.004911485935977089,0.19983552631578946,0.15706722861842104,0.23560855263157895,0.2602453399122807
qwen,inequity_aversion,30,-0.0028545673076923127,-0.007176482371794861,0.0015527343749999576,0.478125,0.3379296875,0.6135546875,0.32638888888888895
qwen,maximin,76,0.00029553865131581213,-0.0023315429687499876,0.002869050066572681,0.2806332236842105,0.2331260279605263,0.3250462582236842,0.32134046052631576
qwen,selfish_maximizer,67,4.6906801221139146e-05,-0.0022804125678426083,0.0023391123219131814,0.9575559701492538,0.8997143190298508,1.0109666511194029,0.6608753109452735
qwen_instruct,risk_aversion,76,0.006576611094497621,0.0014744808799342253,0.011853231767718304,1.975123355263158,1.5113949424342106,2.404029605263158,0.9190481085526315
qwen_instruct,loss_aversion,76,-0.002232958698830396,-0.005235650432504858,0.0008795011345638292,0.6233552631578947,0.36305509868421054,0.8812499999999999,0.3613109923245614
qwen_instruct,inequity_aversion,30,-0.0010316506410256647,-0.006822791466346165,0.0046778595753205,4.44375,3.5939713541666665,5.2281640625,1.8099826388888889
qwen_instruct,maximin,76,0.0005054139254386101,-0.0032925330905388315,0.004333603172971501,2.8229851973684212,2.536780427631579,3.069711143092105,1.1620065789473684
qwen_instruct,selfish_maximizer,67,0.00012773490502036007,-0.0020387232869742305,0.0023198858336160055,3.9430970149253732,3.6683535447761195,4.202664412313433,1.7003264925373134
llama31_instruct,risk_aversion,76,0.008358844957853617,0.0024060935304875994,0.014977421676903437,-0.05057565789473684,-0.25743215460526314,0.1451583059210526,0.01011858488384046
llama31_instruct,loss_aversion,76,0.0008061224954170102,-0.005340518449482162,0.006946823304159601,0.2216282894736842,0.09251644736842106,0.33965871710526313,0.10452170121042352
llama31_instruct,inequity_aversion,30,-0.0020307074652777765,-0.013554796006944456,0.010041273328993053,2.1125,1.7576822916666668,2.4198177083333334,0.5279032389322916
llama31_instruct,maximin,76,-0.0021933572334155724,-0.009355280022872123,0.0046796189692982475,1.5203536184210527,1.31220703125,1.7142269736842106,0.29167496530633225
llama31_instruct,selfish_maximizer,67,-0.003509065998134325,-0.010221914414742694,0.0029359641003964543,2.4153451492537314,2.2585879197761196,2.566826026119403,0.5220801510027985
